ID,Absatz,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
4.354,"Die Kategorien der Modalität haben das Besondere an sich: daß sie den Begriff, dem sie als Prädicate beigefügt werden, als Bestimmung des Objects nicht im mindesten vermehren, sondern nur das Verhältniß zum Erkenntnißvermögen ausdrücken. Wenn der Begriff eines Dinges schon ganz vollständig ist, so kann ich doch noch von diesem Gegenstande fragen, ob er blos möglich oder auch wirklich, oder wenn er das letztere ist, ob er gar auch nothwendig sei. Hiedurch werden keine Bestimmungen mehr im Objecte selbst gedacht, sondern es frägt sich nur, wie es sich (sammt allen seinen Bestimmungen) zum Verstande und dessen empirischen Gebrauche, zur empirischen Urtheilskraft und zur Vernunft (in ihrer Anwendung auf Erfahrung) verhalte.",
3.418,"Die Kategorien der Modalität haben das Besondere an sich: daß sie den Begriff, dem sie als Prädicate beigefügt werden, als Bestimmung des Objects nicht im mindesten vermehren, sondern nur das Verhältniß zum Erkenntnißvermögen ausdrücken. Wenn der Begriff eines Dinges schon ganz vollständig ist, so kann ich doch noch von diesem Gegenstande fragen, ob er bloß möglich oder auch wirklich, oder, wenn er das letztere ist, ob er gar auch nothwendig sei? Hiedurch werden keine Bestimmungen mehr im Objecte selbst gedacht, sondern es frägt sich nur, wie es sich (sammt allen seinen Bestimmungen) zum Verstande und dessen empirischen Gebrauche, zur empirischen Urtheilskraft und zur Vernunft (in ihrer Anwendung auf Erfahrung) verhalte.",
9.416,"An jedem Begriffe ist Materie und Form zu unterscheiden. Die Materie der Begriffe ist der Gegenstand, die Form derselben die Allgemeinheit.",
9.643,"Die Gattungs- und Art-Begriffe sind nämlich allgemeine Merkmale aller der Dinge, die unter diesen Begriffen stehen. Es gilt demnach hier die Regel: Was der Gattung oder Art zukommt oder widerspricht, das kommt auch zu oder widerspricht allen den Objecten, die unter jener Gattung oder Art enthalten sind. Und diese Regel heißt eben das Dictum de omni et nullo.",
9.486,"Die Unterschiede der Urtheile in Rücksicht auf ihre Form lassen sich auf die vier Hauptmomente der Quantität, Qualität, Relation und Modalität zurückführen, in Ansehung deren eben so viele verschiedene Arten von Urtheilen bestimmt sind.",
9.788,"Anmerkung. Die Bedingung: daß der Gattungsbegriff und der Begriff des specifischen Unterschiedes ( genus und differentia specifica ) die Definition ausmachen sollen, gilt nur in Ansehung der Nominal-Definitionen in der Vergleichung, aber nicht für die Real-Definitionen in der Ableitung.",
9.410,§. 1. Begriff überhaupt und dessen Unterschied von der Anschauung.,
9.275,"Es giebt unter den Merkmalen mancherlei specifische Unterschiede, auf die sich folgende Classification derselben gründet.",
3.476,"4. Materie und Form. Dieses sind zwei Begriffe, welche aller",
9.140,"In jeder Erkenntniß muß unterschieden werden Materie, d. i. der Gegenstand, und Form, d. i. die Art, wie wir den Gegenstand erkennen. Sieht z. B. ein Wilder ein Haus aus der Ferne, dessen Gebrauch er nicht kennt: so hat er zwar eben dasselbe Object wie ein Anderer, der es bestimmt als eine für Menschen eingerichtete Wohnung kennt, in der Vorstellung vor sich. Aber der Form nach ist dieses Erkenntniß eines und desselben Objects in beiden verschieden. Bei dem Einen ist es bloße Anschauung, bei dem Andern Anschauung und Begriff zugleich.",
2.233,1. Die Einheit in dem Mannigfaltigen der Wesen der Dinge gewiesen an den Eigenschaften des Raums.,
2.239,"2. Die Einheit im Mannigfaltigen der Wesen der Dinge, gewiesen an demjenigen, was in den Bewegungsgesetzen nothwendig ist.",
9.483,§. 19. Gegenstand der logischen Reflexion die bloße Form der Urtheile.,
5.790,§ 66. Vom Princip der Beurtheilung der innern Zweckmäßigkeit in organisirten Wesen.,
2.262,Vierte Betrachtung. Gebrauch unseres Beweisgrundes in Beurtheilung der Vollkommenheit einer Welt nach dem Laufe der Natur.,
1.679,"Kurzer Abriß der nöthigsten Grundbegriffe der Newtonischen Weltwissenschaft, *) die zu dem Verstande des nachfolgenden erfordert werden.",
3.214,§ 16. Von der ursprünglich=synthetischen Einheit der Apperception.,
4.99,"1) Als allgemeine Logik abstrahirt sie von allem Inhalt der Verstandeserkenntniß und der Verschiedenheit ihrer Gegenstände und hat mit nichts, als der bloßen Form des Denkens zu tun.",
8.345,"IIIte Art des Zweckwidrigen in der Welt gedacht werden können, nämlich das Mißverhältniß der Verbrechen und Strafen in der Welt.",
3.189,"3te Anmerk. Von einer einzigen Kategorie, nämlich der der Gemeinschaft, die unter dem dritten Titel befindlich ist, ist die Übereinstimmung mit der in der Tafel der logischen Functionen ihm correspondirenden Form eines disjunctiven Urtheils nicht so in die Augen fallend, als bei den übrigen.",
4.310,Zweite Analogie. Grundsatz der Erzeugung.,
8.123,Beweis des Untersatzes.,
8.111,Beweis des Untersatzes.,
4.339,Dritte Analogie. Grundsatz der Gemeinschaft.,
9.435,"Die logischen Verstandes-Actus, wodurch Begriffe ihrer Form nach erzeugt werden, sind:",
8.109,Beweis des Obersatzes.,
8.121,Beweis des Obersatzes.,
3.94,Metaphysische Erörterung des Begriffs der Zeit.,
2.524,Erste Betrachtung. Allgemeine Vergleichung der Art zur Gewißheit im mathematischen Erkenntnisse zu gelangen mit der im philosophischen.,
4.631,§ 3. Anmerkung zur allgemeinen Eintheilung der Urtheile in analytische und synthetische.,
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind,
6.385,Eintheilung der Metaphysik der Sitten überhaupt.,
7.123,Friedens=Abschluß und Beilegung des Streits der Facultäten.,
4.368,Der Transscendentalen Doctrin der Urtheilskraft (Analytik der Grundsätze),
6.900,XVII. Vorbegriffe zur Eintheilung der Tugendlehre.,
9.470,§. 15. Bedingungen der Entstehung höherer und niederer Begriffe: Logische Abstraction und logische Determination.,
9.494,"§. 22. Qualität der Urtheile: Bejahende, Verneinende, Unendliche.",
6.456,Eintheilung der Erwerbung des äußeren Mein und Dein.,
6.287,Einleitung in die Metaphysik der Sitten.,
9.822,"Anmerkung. Diese beiden Methoden unterscheiden sich also der Art und nicht dem bloßen Vortrage nach, und Popularität in der Methode ist mithin etwas anders als Popularität im Vortrage.",
5.669,"2) Die bildenden Künste oder die des Ausdrucks für Ideen in der Sinnenanschauung (nicht durch Vorstellungen der bloßen Einbildungskraft, die durch Worte aufgeregt werden) sind entweder die der Sinnenwahrheit oder des Sinnenscheins. Die erste heißt die Plastik, die zweite die Malerei. Beide machen Gestalten im Raume zum Ausdrucke für Ideen: jene macht Gestalten für zwei Sinne kennbar, dem Gesichte und Gefühl (obzwar dem letzteren nicht in Absicht auf Schönheit), diese nur für den erstern. Die ästhetische Idee ( Archetypon , Urbild) liegt zu beiden in der Einbildungskraft zum Grunde: die Gestalt aber, welche den Ausdruck derselben ausmacht ( Ektypon , Nachbild), wird entweder in ihrer körperlichen Ausdehnung (wie der Gegenstand selbst existirt) oder nach der Art, wie diese sich im Auge malt (nach ihrer Apparenz in einer Fläche), gegeben; oder, was auch das erstere ist, entweder die Beziehung auf einen wirklichen Zweck, oder nur der Anschein desselben der Reflexion zur Bedingung gemacht.",
5.664,"Wenn wir also die schönen Künste eintheilen wollen, so können wir, wenigstens zum Versuche, kein bequemeres Princip dazu wählen, als die Analogie der Kunst mit der Art des Ausdrucks, dessen sich Menschen im Sprechen bedienen, um sich so vollkommen, als möglich ist, einander, d. i. nicht bloß ihren Begriffen, sondern auch Empfindungen nach, mitzutheilen **) . - Dieser besteht in dem Worte, der Geberdung und dem Tone (Articulation, Gesticulation und Modulation). Nur die Verbindung dieser drei Arten des Ausdrucks macht die vollständige Mittheilung des Sprechenden aus. Denn Gedanke, Anschauung und Empfindung werden dadurch zugleich und vereinigt auf den andern übergetragen.",
