ID,Absatz,Welchen Einfluß hat die Sprache auf die Gedanken?
7.447,"Art der Gedankenbezeichnung ist die durch Sprache, dieses größte Mittel, sich selbst und andere zu verstehen. Denken ist Reden mit sich selbst (die Indianer auf Otaheite nennen das Denken: die Sprache im Bauch), folglich sich auch innerlich (durch reproductive Einbildungskraft) Hören. Dem Taubgebornen ist sein Sprechen ein Gefühl des Spiels seiner Lippen, Zunge und Kinnbackens, und es ist kaum möglich, sich vorzustellen, daß er bei seinem Sprechen etwas mehr thue als ein Spiel mit körperlichen Gefühlen zu treiben, ohne eigentliche Begriffe zu haben und zu denken. Aber auch die, so sprechen und hören können, verstehen darum nicht immer sich selbst oder Andere, und an dem Mangel des Bezeichnungsvermögens, oder dem fehlerhaften Gebrauch desselben (da Zeichen für Sachen und umgekehrt genommen werden) liegt es, vornehmlich in Sachen der Vernunft, daß Menschen, die der Sprache nach einig sind, in Begriffen himmelweit von einander abstehen; welches nur zufälligerweise, wenn ein jeder nach dem seinigen handelt, offenbar wird.",
9.2061,"Von den Wissenschaften, der Sprache und den Gesetzen.",
7.339,"§ 18. Der Sinn des Gehörs ist einer der Sinne von blos mittelbarer Wahrnehmung. - Durch die Luft, die uns umgiebt, und vermittelst derselben wird ein entfernter Gegenstand in großem Umfange erkannt, und durch eben dieses Mittel, welches durch das Stimmorgan, den Mund, in Bewegung gesetzt wird, können sich Menschen am leichtesten und vollständigsten mit andern in Gemeinschaft der Gedanken und Empfindungen bringen, vornehmlich wenn die Laute, die jeder den andern hören läßt, articulirt sind und in ihrer gesetzlichen Verbindung durch den Verstand eine Sprache ausmachen. - Die Gestalt des Gegenstandes wird durchs Gehör nicht gegeben, und die Sprachlaute führen nicht unmittelbar zur Vorstellung desselben, sind aber eben darum, und weil sie an sich nichts, wenigstens keine Objecte, sondern allenfalls nur innere Gefühle bedeuten, die geschicktesten Mittel der Bezeichnung der Begriffe, und Taubgeborne, die eben darum auch stumm (ohne Sprache) bleiben müssen) können nie zu etwas Mehrerem, als einem Analogon der Vernunft gelangen.",
9.269,"Das menschliche Erkennen ist von Seiten des Verstandes discursiv, d. h. es geschieht durch Vorstellungen, die das, was mehreren Dingen gemein ist, zum Erkenntnißgrunde machen, mithin durch Merkmale als solche. Wir erkennen also Dinge nur durch Merkmale und das heißt eben Erkennen, welches von Kennen herkommt.",
9.2374,"2) Die besondere Cultur der Gemüthskräfte. Hier kommt vor die Cultur des Erkenntnißvermögens, der Sinne, der Einbildungskraft, des Gedächtnisses, der Stärke der Aufmerksamkeit und des Witzes, was also die untern Kräfte des Verstandes betrifft. Von der Cultur der Sinne, z. E. des Augenmaßes, ist schon oben geredet worden. Was die Cultur der Einbildungskraft anlangt, so ist folgendes zu merken. Kinder haben eine ungemein starke Einbildungskraft, und sie braucht gar nicht erst durch Märchen mehr gespannt und extendirt zu werden. Sie muß vielmehr gezügelt und unter Regeln gebracht werden, aber doch muß man sie auch nicht ganz unbeschäftigt lassen.",
8.163,"Der Instinct, diese Stimme Gottes, der alle Thiere gehorchen, mußte den Neuling anfänglich allein leiten. Dieser erlaubte ihm einige Dinge zur Nahrung, andere verbot er ihm ( III , 2. 3). - Es ist aber nicht nöthig, einen besondern jetzt verlorenen Instinct zu diesem Behuf anzunehmen; es konnte bloß der Sinn des Geruchs und dessen Verwandtschaft mit dem Organ des Geschmacks, dieses letzteren bekannte Sympathie aber mit den Werkzeugen der Verdauung und also gleichsam das Vermögen der Vorempfindung der Tauglichkeit oder Untauglichkeit einer Speise zum Genusse, dergleichen man auch noch jetzt wahrnimmt, gewesen sein. Sogar darf man diesen Sinn im ersten Paare nicht schärfer, als er jetzt ist, annehmen; denn es ist bekannt genug, welcher Unterschied in der Wahrnehmungskraft zwischen den bloß mit ihren Sinnen und den zugleich mit ihren Gedanken beschäftigten, dadurch aber von ihren Empfindungen abgewandten Menschen angetroffen werde.",
9.21,"So wie nun alle unsre Kräfte insgesammt, so ist auch insbesondre der Verstand bei seinen Handlungen an Regeln gebunden, die wir untersuchen können. Ja, der Verstand ist als der Quell und das Vermögen anzusehen, Regeln überhaupt zu denken. Denn so wie die Sinnlichkeit das Vermögen der Anschauungen ist, so ist der Verstand das Vermögen zu denken, d. h. die Vorstellungen der Sinne unter Regeln zu bringen. Er ist daher begierig, Regeln zu suchen, und befriedigt, wenn er sie gefunden hat. Es frägt sich also, da der Verstand die Quelle der Regeln ist, nach welchen Regeln er selber verfahre?",
2.479,"Da unsere Absicht ist über Empfindungen zu urtheilen, so kann es nicht unangenehm sein die Verschiedenheit des Eindrucks, den die Gestalt und Gesichtszüge des schönen Geschlechts auf das männliche machen, wo möglich unter Begriffe zu bringen. Diese ganze Bezauberung ist im Grunde über den Geschlechtertrieb verbreitet. Die Natur verfolgt ihre große Absicht, und alle Feinigkeiten, die sich hinzugesellen, sie mögen nun so weit davon abzustehen scheinen, wie sie wollen, sind nur Verbrämungen und entlehnen ihren Reiz doch am Ende aus eben derselben Quelle. Ein gesunder und derber Geschmack, der sich jederzeit sehr nahe bei diesem Triebe hält, wird durch die Reize des Anstandes, der Gesichtszüge, der Augen etc. etc. an einem Frauenzimmer wenig angefochten, und indem er eigentlich nur aufs Geschlecht geht, so sieht er mehrentheils die Delicatesse anderer als leere Tändelei an.",
8.616,A. Von den physischen Ursachen der Philosophie des Menschen.,
9.1337,"Anmerkung 1. Es scheint, daß der Mensch mit jedem Fortschritte seiner geistigen Cultur an einer gewissen Schärfe seiner Sinne eine merklichere Abnahme erleide, und es kann jenes auch keinen andern Erfolg haben, indem es ihm an einer Übung seiner sinnlichen Organe um so mehr mangelt, je ausschließlicher er in einer Welt der abgezogenen Contemplation und Betrachtung lebt. Kein Wunder, wenn der Matrose schon Schiffe, der Jäger schon einen Vogel erblickt, wo wir nicht jene, nicht diesen wahrzunehmen im Stande sind. Aber noch mehr, wir haben glaubwürdige Data, daß Menschen bloß vermittelst des Gefühls, oder wohl gar des Geruchs Metalle von einander unterscheiden. Ja, in unsern gebildeten Ständen giebt es noch immer Leute, die das Anwesendsein gewisser Thiere bloß durch den Sinn des Geruches empfinden; und wie viele finden sich, die oft bei dem heitersten Himmel bereits die Herannäherung eines Gewitters oder die größere Menge elektrischer Bestandtheile der Luft verspüren? Bei der offenbar größern Schärfe der Sinne bei den Thieren darf es uns also nicht Wunder nehmen, wenn sie und besonders einige von ihnen auch die uns unbemerkbaren Symptome eines bevorstehenden Erdbebens lebhafter empfinden.",
