ID,Absatz,ratio cognoscendi
1.918,"Huius phaenomeni ratio, quantum mihi equidem constat, nondum physicis satis perspecta est. Igitur eam indagare aggrediar.",6
1.939,RATIO INSTITUTI.,0
1.1005,"CONSECTARIUM. Quantitas realitatis absolutae in mundo naturaliter non mutatur, nec augescendo nec decrescendo.",0
1.1170,"Cum in composito in infinitum divisibili nunquam perveniatur dividendo in partes omni compositione exutas, quae autem dividendo non tolli potest compositio, tolli plane non possit, nisi omnem compositi exsistentiam abrogaveris; quia vero, quae in composito remanent compositione omni sublata, partes audiunt simplices Prop. 1: compositum infinities divisibile talibus non constare liquet.",0
1.887,"Cum vero e prop. 4. constet, secundum hypothesin nostram vires distendentes quantitati distensionis proportionales esse oportere, hoc in casu liquet, vires elastrum comprimentes spatio compressionis proportionales fore.",0
9.720,§. 86. Ratiocinatio polysyllogistica.,6
1.1023,"Fac, substantiam aliquam simplicem nexu aliarum solutam solitario exsistere; dico nullam status interni permutationem ipsi contingere posse. Cum enim, quae iam competunt substantiae internae determinationes, rationibus internis ponantur cum exclusione oppositi, si aliam determinationem succedere vis, alia tibi ratio ponenda est, cuius cum oppositum sit in internis, et nulla externa ratio accedat, per supposita, illam enti induci non posse, aperte liquet.",6
1.966,"Omnis propositio vera indicat subiectu respectu praedicati esse determinatum, i. e. hoc poni cum exclusione oppositi: in omni itaque propositione vera oppositum praedicati competentis excludatur necesse est. Excluditur autem praedicatum, cui ab alia notione posita repugnatur, vi principii contradictionis. Ergo exclusio locum non habet, ubi non adest notio, quae repugnat opposito excludendo. In omni itaque veritate est quiddam, quod excludendo praedicatum oppositum veritatem propositionis determinat. Quod cum nomine rationis determinantis veniat, nihil verum esse sine ratione determinante statuendum est.",5
1.886,"Verum nunc, quanam ratione vires spatii compressionis comparatae se habeant, indagandum. Margo xb in situ 2, quantumlibet aliquantulum incurvatus, tamen in casu compressionum mediocrium pro recto haberi potest, item Wie Fig.1. S.374; einziger Unterschied Gerade f nicht vorhanden linea kb in situ 3; ponatur porro, sectionem elastri horizontalem ec no. 1 continuatam per puncta i et g transire, quod, quoniam in mediocri compressionis gradu quam proxime accidit, hic absque errore sumi poterit. Est itaque in triangulo ixs angulus x - angulo c , quippe eadem est sectio elastri, quae no. 1, angulus s aequatur verticali suo o , ideoque triangula scb et ixs sunt similia. Pariter in triangulo gkh no. 3 omnia cum triangulo hcb eadem ratione se habent, ideoque argumentatio sequens prodit: ix xs bc sc kh gk ( ix ) hc bc xs kh sc hc hoc est: quantitates xs et kh quibus distenditur elastri margo extimus bc sunt in ratione spatiorum compressionis sc et hc .",0
1.865,INSTITUTI RATIO.,0
1.989,Confutatio dubiorum.,6
1.934,2. Causae investigatio.,0
2.739,COROLLARIUM.,0
1.1035,II. Principium coexsistentiae.,0
3.661,II. zur Antithesis.,0
3.703,II. zur Antithesis.,0
3.724,II. zur Antithesis.,0
3.683,II. zur Antithesis.,0
1.1017,I. Principium successionis.,0
1.960,Adstructio realitatis definitionis.,4
1.942,SECTIO I. De principio contradictionis.,5
2.770,"1. Eadem condicio sensitiva, sub qua sola intuitus obiecti est possibilis, est condicio ipsius possibilitatis obiecti.",6
2.742,SECTIO IV. De principio formae mundi intelligibilis.,0
2.771,"2. Eadem condicio sensitiva, sub qua sola data sibi conferri possunt ad formandum conceptum obiecti intellectualem, est etiam condicio ipsius possibilitatis obiecti.",6
2.772,"3. Eadem condicio sensitiva, sub qua subsumptio obiecti alicuius obvii sub dato conceptu intellectuali solum possibilis est, est etiam condicio possibilitatis ipsius obiecti.",6
9.585,§. 50. c. Verstandesschlüsse per judicia subcontrarie opposita .,3
2.719,SECTIO III. De principiis formae mundi sensibilis.,4
9.581,§. 48. a. Verstandesschlüsse per judicia contradictorie opposita.,3
9.1797,g . Der Seeteufel,0
9.1659,3. Das surinamische Hirschchen,0
1.958,DEFINITIO.,0
9.1995,1. Naphtha,0
9.1842,a . Cochenille.,0
9.1836,g . Der Nautilus,0
1.920,PROP. XI.,0
1.994,Additamenta problematis IX.,0
1.978,PROP. VIII. Nihil contingenter exsistens potest carere ratione exsistentiam antecedenter determinante.,4
