ID,Absatz,"Autonomie, Dualismus von Natur und Freiheit"
4.1047,Der Begriff der Freiheit ist der Schlüssel zur Erklärung der Autonomie des Willens.,
4.1035,Die Autonomie des Willens als oberstes Princip der Sittlichkeit.,
5.67,"Die Autonomie des Willens ist das alleinige Princip aller moralischen Gesetze und der ihnen gemäßen Pflichten: alle Heteronomie der Willkür gründet dagegen nicht allein gar keine Verbindlichkeit, sondern ist vielmehr dem Princip derselben und der Sittlichkeit des Willens entgegen. In der Unabhängigkeit nämlich von aller Materie des Gesetzes (nämlich einem begehrten Objecte) und zugleich doch Bestimmung der Willkür durch die bloße allgemeine gesetzgebende Form, deren eine Maxime fähig sein muß, besteht das alleinige Princip der Sittlichkeit. Jene Unabhängigkeit aber ist Freiheit im negativen, diese eigene Gesetzgebung aber der reinen und als solche praktischen Vernunft ist Freiheit im positiven Verstande. Also drückt das moralische Gesetz nichts anders aus, als die Autonomie der reinen praktischen Vernunft, d. i. der Freiheit, und diese ist selbst die formale Bedingung aller Maximen, unter der sie allein mit dem obersten praktischen Gesetze zusammenstimmen können. Wenn daher die Materie des wollens, welche nichts anders als das Object einer Begierde sein kann, die mit dem Gesetz verbunden wird, in das praktische Gesetz als Bedingung der Möglichkeit desselben hineinkommt, so wird daraus Heteronomie der Willkür, nämlich Abhängigkeit vom Naturgesetze, irgend einem Antriebe oder Neigung zu folgen, und der Wille giebt sich nicht selbst das Gesetz, sondern nur die Vorschrift zur vernünftigen Befolgung pathologischer Gesetze; die Maxime aber, die auf solche Weise niemals die allgemein-gesetzgebende Form in sich enthalten kann, stiftet auf diese Weise nicht allein keine Verbindlichkeit, sondern ist selbst dem Princip einer reinen praktischen Vernunft, hiemit also auch der sittlichen Gesinnung entgegen, wenn gleich die Handlung, die daraus entspringt, gesetzmäßig sein sollte.",
4.1051,Freiheit muß als Eigenschaft des Willens aller vernünftigen Wesen vorausgesetzt werden.,
4.1064,"Als ein vernünftiges, mithin zur intelligibelen Welt gehöriges Wesen kann der Mensch die Causalität seines eigenen Willens niemals anders als unter der Idee der Freiheit denken; denn Unabhängigkeit von den bestimmenden Ursachen der Sinnenwelt (dergleichen die Vernunft jederzeit sich selbst beilegen muß) ist Freiheit. Mit der Idee der Freiheit ist nun der Begriff der Autonomie unzertrennlich verbunden, mit diesem aber das allgemeine Princip der Sittlichkeit, welches in der Idee allen Handlungen vernünftiger Wesen eben so zum Grunde liegt, als das Naturgesetz allen Erscheinungen.",
4.1036,"Autonomie des Willens ist die Beschaffenheit des Willens, dadurch derselbe ihm selbst (unabhängig von aller Beschaffenheit der Gegenstände des Wollens) ein Gesetz ist. Das Princip der Autonomie ist also: nicht anders zu wählen als so, daß die Maximen seiner Wahl in demselben Wollen zugleich als allgemeines Gesetz mit Begriffen seien. Daß diese praktische Regel ein Imperativ sei, d. i. der Wille jedes vernünftigen Wesens an sie als Bedingung nothwendig gebunden sei, kann durch bloße Zergliederung der in ihm vorkommenden Begriffe nicht bewiesen werden, weil es ein synthetischer Satz ist; man müßte über die Erkenntniß der Objecte und zu einer Kritik des Subjects, d. i. der reinen praktischen Vernunft, hinausgehen, denn völlig a priori muß dieser synthetische Satz, der apodiktisch gebietet, erkannt werden können, dieses Geschäft aber gehört nicht in gegenwärtigen Abschnitt. Allein daß gedachtes Princip der Autonomie das alleinige Princip der Moral sei, läßt sich durch bloße Zergliederung der Begriffe der Sittlichkeit gar wohl darthun. Denn dadurch findet sich, daß ihr Princip ein kategorischer Imperativ sein müsse, dieser aber nichts mehr oder weniger als gerade diese Autonomie gebiete.",
3.827,"Dagegen verstehe ich unter Freiheit im kosmologischen Verstande das Vermögen, einen Zustand von selbst anzufangen, deren Causalität also nicht nach dem Naturgesetze wiederum unter einer anderen Ursache steht, welche sie der Zeit nach bestimmte. Die Freiheit ist in dieser Bedeutung eine reine transscendentale Idee, die erstlich nichts von der Erfahrung Entlehntes enthält, zweitens deren Gegenstand auch in keiner Erfahrung bestimmt gegeben werden kann, weil es ein allgemeines Gesetz selbst der Möglichkeit aller Erfahrung ist, daß alles, was geschieht, eine Ursache, mithin auch die Causalität der Ursache, die selbst geschehen oder entstanden, wiederum eine Ursache haben müsse; wodurch denn das ganze Feld der Erfahrung, so weit es sich erstrecken mag, in einem Inbegriff bloßer Natur verwandelt wird. Da aber auf solche Weise keine absolute Totalität der Bedingungen im Causalverhältnisse heraus zu bekommen ist, so schafft sich die Vernunft die Idee von einer Spontaneität, die von selbst anheben könne zu handeln, ohne daß eine andere Ursache vorangeschickt werden dürfe, sie wiederum nach dem Gesetze der Causalverknüpfung zur Handlung zu bestimmen.",
6.382,"Freiheit (Unabhängigkeit von eines Anderen nöthigender Willkür), sofern sie mit jedes Anderen Freiheit nach einem allgemeinen Gesetz zusammen bestehen kann, ist dieses einzige, ursprüngliche, jedem Menschen kraft seiner Menschheit zustehende Recht. - Die angeborne Gleichheit, d. i. die Unabhängigkeit nicht zu mehrerem von Anderen verbunden zu werden, als wozu man sie wechselseitig auch verbinden kann; mithin die Qualität des Menschen sein eigener Herr ( sui iuris ) zu sein, imgleichen die eines unbescholtenen Menschen ( iusti ), weil er vor allem rechtlichen Act keinem Unrecht gethan hat; endlich auch die Befugniß, das gegen andere zu thun, was an sich ihnen das Ihre nicht schmälert, wenn sie sich dessen nur nicht annehmen wollen; dergleichen ist ihnen bloß seine Gedanken mitzutheilen, ihnen etwas zu erzählen oder zu versprechen, es sei wahr und aufrichtig, oder unwahr und unaufrichtig ( veriloquium aut falsiloquium ), weil es bloß auf ihnen beruht, ob sie ihm glauben wollen oder nicht *) ; - alle diese Befugnisse liegen schon im Princip der angebornen Freiheit und sind wirklich von ihr nicht (als Glieder der Eintheilung unter einem höheren Rechtsbegriff) unterschieden.",
8.406,"1. Die Freiheit jedes Gliedes der Societät, als Menschen. 2. Die Gleichheit desselben mit jedem Anderen, als Unterthan. 3. Die Selbstständigkeit jedes Gliedes eines gemeinen Wesens, als Bürgers.",
4.1049,"Die angeführte Erklärung der Freiheit ist negativ und daher, um ihr Wesen einzusehen, unfruchtbar; allein es fließt aus ihr ein positiver Begriff derselben, der desto reichhaltiger und fruchtbarer ist. Da der Begriff einer Causalität den von Gesetzen bei sich führt, nach welchen durch etwas, was wir Ursache nennen, etwas anderes, nämlich die Folge, gesetzt werden muß: so ist die Freiheit, ob sie zwar nicht eine Eigenschaft des Willens nach Naturgesetzen ist, darum doch nicht gar gesetzlos, sondern muß vielmehr eine Causalität nach unwandelbaren Gesetzen, aber von besonderer Art sein; denn sonst wäre ein freier Wille ein Unding. Die Naturnothwendigkeit war eine Heteronomie der wirkenden Ursachen; denn jede Wirkung war nur nach dem Gesetze möglich, daß etwas anderes die wirkende Ursache zur Causalität bestimmte; was kann denn wohl die Freiheit des Willens sonst sein als Autonomie, d. i. die Eigenschaft des Willens, sich selbst ein Gesetz zu sein? Der Satz aber: der Wille ist in allen Handlungen sich selbst ein Gesetz, bezeichnet nur das Princip, nach keiner anderen Maxime zu handeln, als die sich selbst auch als ein allgemeines Gesetz zum Gegenstande haben kann. Dies ist aber gerade die Formel des kategorischen Imperativs und das Princip der Sittlichkeit: also ist ein freier Wille und ein Wille unter sittlichen Gesetzen einerlei.",
