ID,Absatz,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
4.1021,"Moralität besteht also in der Beziehung aller Handlung auf die Gesetzgebung, dadurch allein ein Reich der Zwecke möglich ist. Diese Gesetzgebung muß aber in jedem vernünftigen Wesen selbst angetroffen werden und aus seinem Willen entspringen können, dessen Princip also ist: keine Handlung nach einer andern Maxime zu thun, als so, daß es auch mit ihr bestehen könne, daß sie ein allgemeines Gesetz sei, und also nur so, daß der Wille durch seine Maxime sich selbst zugleich als allgemein gesetzgebend betrachten könne. Sind nun die Maximen mit diesem objectiven Princip der vernünftigen Wesen, als allgemein gesetzgebend, nicht durch ihre Natur schon nothwendig einstimmig, so heißt die Nothwendigkeit der Handlung nach jenem Princip praktische Nöthigung, d. i. Pflicht. Pflicht kommt nicht dem Oberhaupte im Reiche der Zwecke, wohl aber jedem Gliede und zwar allen in gleichem Maße zu.",
8.541,"Die Moral ist schon an sich selbst eine Praxis in objectiver Bedeutung, als Inbegriff von unbedingt gebietenden Gesetzen, nach denen wir handeln sollen, und es ist offenbare Ungereimtheit, nachdem man diesem Pflichtbegriff seine Autorität zugestanden hat, noch sagen zu wollen, daß man es doch nicht könne. Denn alsdann fällt dieser Begriff aus der Moral von selbst weg ( ultra posse nemo obligatur ); mithin kann es keinen Streit der Politik als ausübender Rechtslehre mit der Moral als einer solchen, aber theoretischen (mithin keinen Streit der Praxis mit der Theorie) geben: man müßte denn unter der letzteren eine allgemeine Klugheitslehre, d. i. eine Theorie der Maximen verstehen, zu seinen auf Vortheil berechneten Absichten die tauglichsten Mittel zu wählen, d. i. läugnen, daß es überhaupt eine Moral gebe.",
5.150,"Das moralische Gesetz ist nämlich für den Willen eines allervollkommensten Wesens ein Gesetz der Heiligkeit, für den Willen jedes endlichen vernünftigen Wesens aber ein Gesetz der Pflicht, der moralischen Nöthigung, und der Bestimmung der Handlungen desselben durch Achtung für dies Gesetz und aus Ehrfurcht für seine Pflicht. Ein anderes subjectives Princip muß zur Triebfeder nicht angenommen werden, denn sonst kann zwar die Handlung, wie das Gesetz sie vorschreibt, ausfallen, aber da sie zwar pflichtmäßig ist, aber nicht aus Pflicht geschieht, so ist die Gesinnung dazu nicht moralisch, auf die es doch in dieser Gesetzgebung eigentlich ankommt.",
6.332,"Der oberste Grundsatz der Sittenlehre ist also: handle nach einer Maxime, die zugleich als allgemeines Gesetz gelten kann. - jede Maxime, die sich hiezu nicht qualificirt, ist der Moral zuwider.",
6.795,"Die Rechtslehre hatte es blos mit der formalen Bedingung der äußeren Freiheit (durch die Zusammenstimmung mit sich selbst, wenn ihre Maxime zum allgemeinen Gesetz gemacht wurde), d. i. mit dem Recht, zu thun. Die Ethik dagegen giebt noch eine Materie (einen Gegenstand der freien Willkür), einen Zweck der reinen Vernunft, der zugleich als objectiv nothwendiger Zweck, d. i. für den Menschen als Pflicht, vorgestellt wird, an die Hand. - Denn da die sinnlichen Neigungen zu Zwecken (als der Materie der Willkür) verleiten, die der Pflicht zuwider sein können, so kann die gesetzgebende Vernunft ihrem Einfluß nicht anders wehren, als wiederum durch einen entgegengesetzten moralischen Zweck, der also von der Neigung unabhängig a priori gegeben sein muß.",
5.185,"Das moralische Gesetz ist der alleinige Bestimmungsgrund des reinen Willens. Da dieses aber blos formal ist (nämlich allein die Form der Maxime als allgemein gesetzgebend fordert), so abstrahirt es als Bestimmungsgrund von aller Materie, mithin von allem Objecte des Wollens. Mithin mag das höchste Gut immer der ganze Gegenstand einer reinen praktischen Vernunft, d. i. eines reinen Willens, sein, so ist es darum doch nicht für den Bestimmungsgrund desselben zu halten, und das moralische Gesetz muß allein als der Grund angesehen werden, jenes und dessen Bewirkung oder Beförderung sich zum Objecte zu machen. Diese Erinnerung ist in einem so delicaten Falle, als die Bestimmung sittlicher Principien ist, wo auch die kleinste Mißdeutung Gesinnungen verfälscht, von Erheblichkeit. Denn man wird aus der Analytik ersehen haben, daß, wenn man vor dem moralischen Gesetze irgend ein Object unter dem Namen eines Guten als Bestimmungsgrund des Willens annimmt und von ihm dann das oberste praktische Princip ableitet, dieses alsdann jederzeit Heteronomie herbeibringen und das moralische Princip verdrängen würde.",
5.87,"Dagegen giebt das moralische Gesetz, wenn gleich keine Aussicht, dennoch ein schlechterdings aus allen Datis der Sinnenwelt und dem ganzen Umfange unseres theoretischen Vernunftgebrauchs unerklärliches Factum an die Hand, das auf eine reine Verstandeswelt Anzeige giebt, ja diese sogar positiv bestimmt und uns etwas von ihr, nämlich ein Gesetz, erkennen läßt.",
5.63,"Reine Vernunft ist für sich allein praktisch und giebt (dem Menschen) ein allgemeines Gesetz, welches wir das Sittengesetz nennen.",
5.951,"Das moralische Gesetz als formale Vernunftbedingung des Gebrauchs unserer Freiheit verbindet uns für sich allein, ohne von irgend einem Zwecke als materialer Bedingung abzuhängen; aber es bestimmt uns doch auch und zwar a priori einen Endzweck, welchem nachzustreben es uns verbindlich macht: und dieser ist das höchste durch Freiheit mögliche Gut in der Welt.",
5.214,"Das moralische Gesetz führte in der vorhergehenden Zergliederung zur praktischen Aufgabe, welche ohne allen Beitritt sinnlicher Triebfedern, blos durch reine Vernunft vorgeschrieben wird, nämlich der nothwendigen Vollständigkeit des ersten und vornehmsten Theils des höchsten Guts, der Sittlichkeit, und, da diese nur in einer Ewigkeit völlig aufgelöset werden kann, zum Postulat der Unsterblichkeit. Eben dieses Gesetz muß auch zur Möglichkeit des zweiten Elements des höchsten Guts, nämlich der jener Sittlichkeit angemessenen Glückseligkeit, eben so uneigennützig wie vorher, aus bloßer unparteiischer Vernunft, nämlich auf die Voraussetzung des Daseins einer dieser Wirkung adäquaten Ursache führen, d. i. die Existenz Gottes, als zur Möglichkeit des höchsten Guts (welches Object unseres Willens mit der moralischen Gesetzgebung der reinen Vernunft nothwendig verbunden ist) nothwendig gehörig, postuliren. Wir wollen diesen Zusammenhang überzeugend darstellen.",
