ID,Absatz,Handeln
8.3,Nachricht.,0
7.78,Resultat.,0
8.634,Resultat.,0
4.296,A.,0
5.62,Folgerung.,0
8.416,Folgerung.,0
5.37,Folgerung.,0
4.1315,Erklärung.,0
9.1543,Es ist,0
6.864,b. Vom Gewissen.,0
9.2243,Schweden,0
9.2127,Ceylon,0
9.2241,Portugal,0
8.678,1800,0
5.275,Einleitung.,0
3.507,Einleitung.,0
2.522,Einleitung.,0
3.26,Einleitung.,0
2.8,Abhandlung.,0
6.919,Einleitung.,0
4.1133,Grundsatz.,0
4.1241,Zusatz.,0
4.1223,Zusatz.,0
4.1174,Zusatz.,0
4.1282,Zusatz.,0
7.183,Beschluß.,0
7.222,Beschluß.,0
6.772,Beschluß.,0
8.578,1796,0
8.245,1790,0
5.264,1790,0
2.85,1760,0
2.686,1770,0
8.377,1793,0
6.1,1793,0
7.352,Fragen.,0
3.669,Beweis.,0
3.403,Beweis.,0
3.674,Beweis.,0
3.350,Beweis.,0
3.360,Beweis.,0
3.372,Beweis.,0
3.653,Beweis.,0
8.187,Was heißt: Sich im Denken orientiren?,6
2.198,2. Es existirt ein schlechterdings nothwendiges Wesen.,0
9.245,"Wie Wahrheit möglich sei, das ist leicht einzusehen, da hier der Verstand nach seinen wesentlichen Gesetzen handelt.",5
4.311,"Alles, was geschieht (anhebt zu sein), setzt etwas voraus, worauf es nach einer Regel folgt.",0
8.596,"Nun findet jeder Mensch in seiner Vernunft die Idee der Pflicht und zittert beim Anhören ihrer ehernen Stimme, wenn sich in ihm Neigungen regen, die ihn zum Ungehorsam gegen sie versuchen. Er ist überzeugt: daß, wenn auch die letztern insgesammt vereinigt sich gegen jene verschwören, die Majestät des Gesetzes, welches ihm seine eigene Vernunft vorschreibt, sie doch alle unbedenklich überwiegen müsse, und sein Wille also auch dazu vermögend sei. Alles dieses kann und muß dem Menschen, wenn gleich nicht wissenschaftlich, doch deutlich vorgestellt werden, damit er sowohl der Autorität seiner ihm gebietenden Vernunft, als auch ihrer Gebote selbst gewiß sei; und ist so fern Theorie. - Nun stelle ich den Menschen auf, wie er sich selbst fragt: Was ist das in mir, welches macht, daß ich die innigsten Anlockungen meiner Triebe und alle Wünsche, die aus meiner Natur hervorgehen, einem Gesetze aufopfern kann, welches mir keinen Vortheil zum Ersatz verspricht und keinen Verlust bei Übertretung desselben androht; ja das ich nur um desto inniglicher verehre, je strenger es gebietet und je weniger es dafür anbietet? Diese Frage regt durch das Erstaunen über die Größe und Erhabenheit der inneren Anlage in der Menschheit und zugleich die Undurchdringlichkeit des Geheimnisses, welches sie verhüllt (denn die Antwort: es ist die Freiheit, wäre tautologisch, weil diese eben das Geheimniß selbst ausmacht), die ganze Seele auf. Man kann nicht satt werden sein Augenmerk darauf zu richten und in sich selbst eine Macht zu bewundern, die keiner Macht der Natur weicht; und diese Bewunderung ist eben das aus Ideen erzeugte Gefühl, welches, wenn über die Lehren der Moral von Schulen und Kanzeln noch die Darstellung dieses Geheimnisses eine besondere, oft wiederholte Beschäftigung der Lehrer ausmachte, tief in die Seele eindringen und nicht ermangeln würde die Menschen moralisch besser zu machen.",3
9.311,Der erste Grad der Erkenntniß ist: sich etwas vorstellen;,0
9.309,"Wären wir uns alles dessen bewußt, was wir wissen, so müßten wir über die große Menge unserer Erkenntnisse staunen.",0
1.452,"Obgleich die bisherige Betrachtungen und Beweise von der Art sind, daß sie, so viel als nur die Natur der",0
