ID,Absatz,"Wollen, Absicht, Handlung"
9.324,"1) Meinen. Das Meinen oder das Fürwahrhalten aus einem Erkenntnißgrunde, der weder subjectiv noch objectiv hinreichend ist, kann als ein vorläufiges Urtheilen ( sub conditione suspensiva ad interim ) angesehen werden, dessen man nicht leicht entbehren kann. Man muß erst meinen, ehe man annimmt und behauptet, sich dabei aber auch hüten, eine Meinung für etwas mehr als bloße Meinung zu halten. Vom Meinen fangen wir größtenteils bei allem unserm Erkennen an. Zuweilen haben wir ein dunkles Vorgefühl von der Wahrheit, eine Sache scheint uns Merkmale der Wahrheit zu enthalten; wir ahnen ihre Wahrheit schon, noch ehe wir sie mit bestimmter Gewißheit erkennen.",
5.37,Folgerung.,
5.62,Folgerung.,
8.416,Folgerung.,
6.322,"That heißt eine Handlung, sofern sie unter Gesetzen der Verbindlichkeit steht, folglich auch sofern das Subject in derselben nach der Freiheit seiner Willkür betrachtet wird. Der Handelnde wird durch einen solchen Act als Urheber der Wirkung betrachtet, und diese zusammt der Handlung selbst können ihm zugerechnet werden, wenn man vorher das Gesetz kennt, kraft welches auf ihnen eine Verbindlichkeit ruht.",
6.864,b. Vom Gewissen.,
9.2415,"Das letzte ist die Gründung des Charakters. Dieser besteht in dem festen Vorsatze, etwas thun zu wollen, und dann auch in der wirklichen Ausübung desselben. Vir propositi tenax , sagt Horaz, und das ist ein guter Charakter! z. E. wenn ich Jemanden etwas versprochen habe, so muß ich es auch halten, gesetzt gleich, daß es mir Schaden brächte. Denn ein Mann, der sich etwas vorsetzt, es aber nicht thut, kann sich selbst nicht mehr trauen, z. E. wenn Jemand es sich vornimmt, immer frühe aufzustehn, um zu studiren, oder dies oder jenes zu thun, oder um einen Spaziergang zu machen, und sich im Frühlinge nun damit entschuldigt, daß es noch des Morgens zu kalt sei, und es ihm schaden könne; im Sommer aber, daß es sich so gut schlafen lasse, und der Schlaf ihm angenehm sei, und so seinen Vorsatz immer von einem Tage zum andern verschiebt: so traut er sich am Ende selbst nicht mehr.",
9.326,"2) Glauben. Das Glauben oder das Fürwahrhalten aus einem Grunde, der zwar objectiv unzureichend, aber subjectiv zureichend ist, bezieht sich auf Gegenstände, in Ansehung deren man nicht allein nichts wissen, sondern auch nichts meinen, ja auch nicht einmal Wahrscheinlichkeit vorwenden, sondern bloß gewiß sein kann, daß es nicht widersprechend ist, sich dergleichen Gegenstände so zu denken, wie man sie sich denkt. Das Übrige hierbei ist ein freies Fürwahrhalten, welches nur in praktischer, a priori gegebener Absicht nöthig ist, also ein Fürwahrhalten dessen, was ich aus moralischen Gründen annehme und zwar so, daß ich gewiß bin, das Gegentheil könne nie bewiesen werden. *)",
5.354,"Gut ist das, was vermittelst der Vernunft durch den bloßen Begriff gefällt. Wir nennen einiges wozu gut (das Nützliche), was nur als Mittel gefällt; ein anderes aber an sich gut, was für sich selbst gefällt. In beiden ist immer der Begriff eines Zwecks, mithin das Verhältniß der Vernunft zum (wenigstens möglichen) Wollen, folglich ein Wohlgefallen am Dasein eines Objects oder einer Handlung, d. i. irgend ein Interesse, enthalten.",
5.279,"Der Wille, als Begehrungsvermögen, ist nämlich eine von den mancherlei Naturursachen in der Welt, nämlich diejenige, welche nach Begriffen wirkt; und Alles, was als durch einen Willen möglich (oder nothwendig) vorgestellt wird, heißt praktisch-möglich (oder nothwendig): zum Unterschiede von der physischen Möglichkeit oder Nothwendigkeit einer Wirkung, wozu die Ursache nicht durch Begriffe (sondern wie bei der leblosen Materie durch Mechanism und bei Thieren durch Instinct) zur Causalität bestimmt wird. - Hier wird nun in Ansehung des Praktischen unbestimmt gelassen: ob der Begriff, der der Causalität des Willens die Regel giebt, ein Naturbegriff, oder ein Freiheitsbegriff sei.",
7.724,II. Temperamente der Thätigkeit.,
9.704,III . Schlüsse der Urtheilskraft.,
9.741,§. 94. Manier und Methode.,
7.543,1) Selbst denken.,
6.1138,C. Die Verhöhnung.,
9.2072,Cochin=China.,
9.1791,d . Der Hammerfisch,
7.619,Von den Affecten insbesondere.,
9.1975,"3. Kupfer,",
9.272,"Erstlich, als Vorstellung an sich selbst;",
9.2051,Sitten und Charakter der Nation.,
6.95,c) Schwierigkeiten gegen die Realität dieser Idee und Auflösung derselben.,
6.840,"2. Fremde Glückseligkeit als Zweck, der zugleich Pflicht ist.",
4.1133,Grundsatz.,
6.1053,"Erstes Hauptstück. Von den Pflichten gegen Andere, blos als Menschen.",
9.792,"2) als ein Begriff, deutlich sei,",
9.604,In Absicht auf die Contraposition gilt die allgemeine Regel:,
6.618,Des öffentlichen Rechts,
6.688,Des öffentlichen Rechts,
4.890,"Nur zwei Dinge muß ich im Fall, daß die Ausforderung angenommen wird, verbitten: erstlich das Spielwerk von Wahrscheinlichkeit und Muthmaßung, welches der Metaphysik eben so schlecht ansteht als der Geometrie; zweitens die Entscheidung vermittelst der Wünschelruthe des so genannten gesunden Menschenverstandes, die nicht jedermann schlägt, sondern sich nach persönlichen Eigenschaften richtet.",
9.2320,"Sie besteht demnach 1) aus der scholastisch-mechanischen Bildung in Ansehung der Geschicklichkeit, ist also didaktisch (Informator), 2) aus der pragmatischen in Ansehung der Klugheit (Hofmeister), 3) aus der moralischen in Ansehung der Sittlichkeit.",
5.74,"Die Maxime der Selbstliebe (Klugheit) räth blos an; das Gesetz der Sittlichkeit gebietet. Es ist aber doch ein großer Unterschied zwischen dem, wozu man uns anräthig ist, und dem, wozu wir verbindlich sind.",
2.146,§ 6. Schlußbetrachtung.,
3.638,"Die Fragen, welche bei einer solchen Dialektik der reinen Vernunft sich natürlich darbieten, sind also: 1. Bei welchen Sätzen denn eigentlich die reine Vernunft einer Antinomie unausbleiblich unterworfen sei. 2. Auf welchen Ursachen diese Antinomie beruhe. 3. Ob und auf welche Art dennoch der Vernunft unter diesem Widerspruch ein Weg zur Gewißheit offen bleibe.",
9.353,"Die Zurückhaltung des Urtheils kann in zwiefacher Absicht geschehen: entweder, um die Gründe des bestimmenden Urtheils aufzusuchen, oder um niemals zu urtheilen. Im erstern Falle heißt die Aufschiebung des Urtheils eine kritische ( suspensio judicii indagatoria ), im letztern eine skeptische ( suspensio judicii sceptica ). Denn der Skeptiker thut auf alles Urtheilen Verzicht, der wahre Philosoph dagegen suspendirt bloß sein Urtheil, wofern er noch nicht genugsame Gründe hat, etwas für wahr zu halten.",
4.989,"Der kategorische Imperativ ist also nur ein einziger und zwar dieser: handle nur nach derjenigen Maxime, durch die du zugleich wollen kannst, daß sie ein allgemeines Gesetz werde.",
9.649,"4) Die Conclusion richtet sich allemal nach dem schwächern Theile des Schlusses; d. h. nach dem verneinenden und besondern Satze in den Prämissen, als welcher der schwächere Theil des kategorischen Vernunftschlusses genannt wird ( conclusio sequitur partem debiliorem ). Ist daher",
1.942,SECTIO I. De principio contradictionis.,
9.2299,"2) Muß der Mensch cultivirt werden. Cultur begreift unter sich die Belehrung und die Unterweisung. Sie ist die Verschaffung der Geschicklichkeit. Diese ist der Besitz eines Vermögens, welches zu allen beliebigen Zwecken zureichend ist. Sie bestimmt also gar keine Zwecke, sondern überläßt das nachher den Umständen.",
6.835,"1. Eigene Vollkommenheit als Zweck, der zugleich Pflicht ist.",
6.1094,C. Theilnehmende Empfindung ist überhaupt Pflicht.,
7.614,"Die durch die Vernunft des Subjects schwer oder gar nicht bezwingliche Neigung ist Leidenschaft. Dagegen ist das Gefühl einer Lust oder Unlust im gegenwärtigen Zustande, welches im Subject die Überlegung (die Vernunftvorstellung, ob man sich ihm überlassen oder weigern solle) nicht aufkommen läßt, der Affect.",
