ID,Absatz,Der Wille in der Welt existiert.
6.868,c. Von der Menschenliebe.,0
3.694,"Es ist keine Freiheit, sondern alles in der Welt geschieht lediglich nach Gesetzen der Natur.",2
2.109,1. Ein Geist sein ist Merkmal des Vernünftigen;,0
6.864,b. Vom Gewissen.,0
6.86,"Das, was allein eine Welt zum Gegenstande des göttlichen Rathschlusses und zum Zwecke der Schöpfung machen kann, ist die Menschheit (das vernünftige Weltwesen überhaupt) in ihrer moralischen, ganzen Vollkommenheit, wovon als oberster Bedingung die Glückseligkeit die unmittelbare Folge in dem Willen des höchsten Wesens ist. Dieser allein Gott wohlgefällige Mensch ""ist in ihm von Ewigkeit her"" ; die Idee desselben geht von seinem Wesen aus; er ist sofern kein erschaffenes Ding, sondern sein eingeborner Sohn, ""das Wort (das Werde!) durch welches alle andre Dinge sind, und ohne das nichts existirt, was gemacht ist"" (denn um seinet-, d. i. des vernünftigen Wesens in der Welt, Willen, so wie es seiner moralischen Bestimmung nach gedacht werden kann, ist alles gemacht). - ""Er ist der Abglanz seiner Herrlichkeit."" ""In ihm hat Gott die Welt geliebt"", und nur in ihm und durch Annehmung seiner Gesinnungen können wir hoffen ""Kinder Gottes zu werden""; u. s. w..",2
9.2458,"Auf Menschenliebe gegen Andere und dann auch auf weltbürgerliche Gesinnungen. In unserer Seele ist etwas, daß wir Interesse nehmen 1) an unserm Selbst, 2) an Andern, mit denen wir aufgewachsen sind, und dann muß 3) noch ein Interesse am Weltbesten Statt finden. Man muß Kinder mit diesem Interesse bekannt machen, damit sie ihre Seelen daran erwärmen mögen. Sie müssen sich freuen über das Weltbeste, wenn es auch nicht der Vortheil ihres Vaterlandes oder ihr eigner Gewinn ist.",0
2.93,"Daß jeder seinen Kreis vollende, den ihm der Himmel ausersehn. Pope.",0
2.219,2. Es ist ein Gott.,6
7.252,"§ 1. Daß der Mensch in seiner Vorstellung das Ich haben kann, erhebt ihn unendlich über alle andere auf Erden lebende Wesen. Dadurch ist er eine Person und vermöge der Einheit des Bewußtseins bei allen Veränderungen, die ihm zustoßen mögen, eine und dieselbe Person, d. i. ein von Sachen, dergleichen die vernunftlosen Thiere sind, mit denen man nach Belieben schalten und walten kann, durch Rang und Würde ganz unterschiedenes Wesen, selbst wenn er das Ich noch nicht sprechen kann, weil er es doch in Gedanken hat: wie es alle Sprachen, wenn sie in der ersten Person reden, doch denken müssen, ob sie zwar diese Ichheit nicht durch ein besonderes Wort ausdrücken. Denn dieses Vermögen (nämlich zu denken) ist der Verstand.",6
8.176,"Der denkende Mensch fühlt einen Kummer, der wohl gar Sittenverderbni werden kann, von welchem der Gedankenlose nichts weiß: nämlich Unzufriedenheit mit der Vorsehung, die den Weltlauf im Ganzen regiert, wenn er die Übel überschlägt, die das menschliche Geschlecht so sehr und (wie es scheint) ohne Hoffnung eines Bessern drücken. Es ist aber von der größten Wichtigkeit: mit der Vorsehung zufrieden zu sein (ob sie uns gleich auf unserer Erdenwelt eine so mühsame Bahn vorgezeichnet hat): theils um unter den Mühseligkeiten immer noch Muth zu fassen, theils um, indem wir die Schuld davon aufs Schicksal schieben, nicht unsere eigene, die vielleicht die einzige Ursache aller dieser Übel sein mag, darüber aus dem Auge zu setzen und in der Selbstbesserung die Hülfe dagegen zu versäumen.",6
6.381,Das angeborne Recht ist nur ein einziges.,0
2.207,6. Das nothwendige Wesen enthält die höchste Realität.,0
4.239,Das Schema der Wirklichkeit ist das Dasein in einer bestimmten Zeit.,0
3.289,Das Schema der Wirklichkeit ist das Dasein in einer bestimmten Zeit.,0
4.240,Das Schema der Nothwendigkeit ist das Dasein eines Gegenstandes zu aller Zeit.,0
3.290,Das Schema der Nothwendigkeit ist das Dasein eines Gegenstandes zu aller Zeit.,0
7.628,Von der Furchtsamkeit und der Tapferkeit.,0
4.447,C. Von dem reinen Gebrauche der Vernunft.,0
3.528,C. Von dem reinen Gebrauche der Vernunft.,0
5.128,Von der Typik der reinen praktischen Urtheilskraft.,0
3.714,"Es existirt überall kein schlechthin nothwendiges Wesen weder in der Welt, noch außer der Welt als ihre Ursache.",0
9.1815,"g . Der Krake, das größte Thier in der Welt.",0
6.130,IV. Die Idee eines Volks Gottes ist (unter menschlicher Veranstaltung) nicht anders als in der Form einer Kirche auszuführen.,0
8.345,"IIIte Art des Zweckwidrigen in der Welt gedacht werden können, nämlich das Mißverhältniß der Verbrechen und Strafen in der Welt.",0
8.378,"Über den Gemeinspruch Das mag in der Theorie richtig sein, taugt aber nicht für die Praxis.",0
3.673,"Kein zusammengesetztes Ding in der Welt besteht aus einfachen Theilen, und es existirt überall nichts Einfaches in derselben.",0
6.113,Drittes Stück. Der Sieg des guten Princips über das böse und die Gründung eines Reichs Gottes auf Erden.,6
2.200,3. Das nothwendige Wesen ist einig.,0
8.463,Das Ende aller Dinge.,0
6.922,§ 2. Es giebt doch Pflichten des Menschen gegen sich selbst.,4
2.198,2. Es existirt ein schlechterdings nothwendiges Wesen.,0
4.1260,Allgemeiner Zusatz zur Dynamik.,0
2.203,4. Das nothwendige Wesen ist einfach.,0
