ID,Absatz,Künstliche Intelligenz
9.2113,Java.,0
7.391,"§ 30. Die Originalität (nicht nachgeahmte Production) der Einbildungskraft, wenn sie zu Begriffen zusammenstimmt, heißt Genie; stimmt sie dazu nicht zusammen, Schwärmerei. - Es ist merkwürdig, daß wir uns für ein vernünftiges Wesen keine andere schickliche Gestalt, als die eines Menschen denken können. Jede andere würde allenfalls wohl ein Symbol von einer gewissen Eigenschaft des Menschen - z. B. die Schlange als Bild der boshaften Schlauigkeit -, aber nicht das vernünftige Wesen selbst vorstellig machen. So bevölkern wir alle andere Weltkörper in unserer Einbildungskraft mit lauter Menschengestalten, obzwar es wahrscheinlich ist, daß sie nach Verschiedenheit des Bodens, der sie trägt und ernährt, und der Elemente, daraus sie bestehen, sehr verschieden gestaltet sein mögen. Alle andere Gestalten, die wir ihnen geben möchten, sind Fratzen *) .",3
7.533,C. Von der Originalität des Erkenntnißvermögens oder dem Genie.,3
3.875,( Prototypon transscendentale ).,0
5.631,"Man sieht hieraus, daß Genie 1) ein Talent sei, dasjenige, wozu sich keine bestimmte Regel geben läßt, hervorzubringen: nicht Geschicklichkeitsanlage zu dem, was nach irgend einer Regel gelernt werden kann; folglich daß Originalität seine erste Eigenschaft sein müsse. 2) Daß, da es auch originalen Unsinn geben kann, seine Producte zugleich Muster, d. i. exemplarisch, sein müssen; mithin, selbst nicht durch Nachahmung entsprungen, anderen doch dazu, d. i. zum Richtmaße oder Regel der Beurtheilung, dienen müssen. 3) Daß es, wie es sein Product zu Stande bringe, selbst nicht beschreiben, oder wissenschaftlich anzeigen könne, sondern daß es als Natur die Regel gebe; und daher der Urheber eines Products, welches er seinem Genie verdankt, selbst nicht weiß, wie sich in ihm die Ideen dazu herbei finden, auch es nicht in seiner Gewalt hat, dergleichen nach Belieben oder planmäßig auszudenken und anderen in solchen Vorschriften mitzutheilen, die sie in Stand setzen, gleichmäßige Producte hervorzubringen. (Daher denn auch vermuthlich das Wort Genie von genius , dem eigenthümlichen, einem Menschen bei der Geburt mitgegebenen, schützenden und leitenden Geist, von dessen Eingebung jene originale Ideen herrührten, abgeleitet ist.) 4) Daß die Natur durch das Genie nicht der Wissenschaft, sondern der Kunst die Regel vorschreibe und auch dieses nur, in sofern diese letztere schöne Kunst sein soll.",4
9.315,"Der fünfte: etwas verstehen ( intelligere ), d. h. durch den Verstand vermöge der Begriffe erkennen oder concipiren. Dieses ist vom Begreifen sehr unterschieden. Concipiren kann man Vieles, obgleich man es nicht begreifen kann. z. B. ein perpetuum mobile , dessen Unmöglichkeit in der Mechanik gezeigt wird.",3
5.628,"Genie ist das Talent (Naturgabe), welches der Kunst die Regel giebt. Da das Talent als angebornes productives Vermögen des Künstlers selbst zur Natur gehört, so könnte man sich auch so ausdrücken: Genie ist die angeborne Gemüthsanlage ( ingenium ), durch welche die Natur der Kunst die Regel giebt.",3
6.313,( Philosophia practica universalis. ),0
5.656,"Nach diesen Voraussetzungen ist Genie: die musterhafte Originalität der Naturgabe eines Subjects im freien Gebrauche seiner Erkenntnißvermögen. Auf solche Weise ist das Product eines Genies (nach demjenigen, was in demselben dem Genie, nicht der möglichen Erlernung oder der Schule zuzuschreiben ist) ein Beispiel nicht der Nachahmung (denn da würde das, was daran Genie ist und den Geist des Werks ausmacht, verloren gehen), sondern der Nachfolge für ein anderes Genie, welches dadurch zum Gefühl seiner eigenen Originalität aufgeweckt wird, Zwangsfreiheit von Regeln so in der Kunst auszuüben, daß diese dadurch selbst eine neue Regel bekommt, wodurch das Talent sich als musterhaft zeigt. Weil aber das Genie ein Günstling der Natur ist, dergleichen man nur als seltene Erscheinung anzusehen hat: so bringt sein Beispiel für andere gute Köpfe eine Schule hervor, d. i. eine methodische Unterweisung nach Regeln, soweit man sie aus jenen Geistesproducten und ihrer Eigenthümlichkeit hat ziehen können; und für diese ist die schöne Kunst sofern Nachahmung, der die Natur durch ein Genie die Regel gab.",3
7.381,"Die Einbildungskraft ist (mit andern Worten) entweder dichtend (productiv), oder blos zurückrufend (reproductiv). Die productive aber ist dennoch darum eben nicht schöpferisch, nämlich nicht vermögend, eine Sinnenvorstellung, die vorher unserem Sinnesvermögen nie gegeben war, hervorzubringen, sondern man kann den Stoff zu derselben immer nachweisen. Dem, der unter den sieben Farben die rothe nie gesehen hätte, kann man diese Empfindung nie faßlich machen, dem Blindgebornen aber gar keine; selbst nicht die Mittelfarbe, die aus der Vermischung zweier hervorgebracht wird; z. B. die grüne. Gelb und blau, mit einander gemischt, geben grün; aber die Einbildungskraft würde nicht die mindeste Vorstellung von dieser Farbe, ohne sie vermischt gesehen zu haben, hervorbringen.",0
