ID,Absatz,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
5.501,B. Vom Dynamisch=Erhabenen der Natur.,0
3.212,"Das Mannigfaltige der Vorstellungen kann in einer Anschauung gegeben werden, die bloß sinnlich, d. i. nichts als Empfänglichkeit ist, und die Form dieser Anschauung kann a priori in unserm Vorstellungsvermögen liegen, ohne doch etwas andres als die Art zu sein, wie das Subject afficirt wird. Allein die Verbindung ( conjunctio ) eines Mannigfaltigen überhaupt kann niemals durch Sinne in uns kommen und kann also auch nicht in der reinen Form der sinnlichen Anschauung zugleich mit enthalten sein; denn sie ist ein Actus der Spontaneität der Vorstellungskraft, und da man diese zum Unterschiede von der Sinnlichkeit Verstand nennen muß, so ist alle Verbindung, wir mögen uns ihrer bewußt werden oder nicht, es mag eine Verbindung des Mannigfaltigen der Anschauung oder mancherlei Begriffe, und an der ersteren der sinnlichen oder nichtsinnlichen Anschauung sein, eine Verstandeshandlung, die wir mit der allgemeinen Benennung Synthesis belegen würden, um dadurch zugleich bemerklich zu machen, daß wir uns nichts als im Object verbunden vorstellen können, ohne es vorher selbst verbunden zu haben, und unter allen Vorstellungen die Verbindung die einzige ist, die nicht durch Objecte gegeben, sondern nur vom Subjecte selbst verrichtet werden kann, weil sie ein Actus seiner Selbstthätigkeit ist. Man wird hier leicht gewahr, daß diese Handlung ursprünglich einig und für alle Verbindung gleichgeltend sein müsse, und daß die Auflösung, Analysis, die ihr Gegentheil zu sein scheint, sie doch jederzeit voraussetze; denn wo der Verstand vorher nichts verbunden hat, da kann er auch nichts auflösen, weil es nur durch ihn als verbunden der Vorstellungskraft hat gegeben werden können.",3
3.985,"Man sieht aber hieraus nur, daß die systematische oder Vernunfteinheit der mannigfaltigen Verstandeserkenntniß ein logisches Princip sei, um da, wo der Verstand allein nicht zu Regeln hinlangt, ihm durch Ideen fortzuhelfen und zugleich der Verschiedenheit seiner Regeln Einhelligkeit unter einem Princip (systematische) und dadurch Zusammenhang zu verschaffen, so weit als es sich thun läßt. Ob aber die Beschaffenheit der Gegenstände oder die Natur des Verstandes, der sie als solche erkennt, an sich zur systematischen Einheit bestimmt sei, und ob man diese a priori auch ohne Rücksicht auf ein solches Interesse der Vernunft in gewisser Maße postuliren und also sagen könne: alle mögliche Verstandeserkenntnisse (darunter die empirischen) haben Vernunfteinheit und stehen unter gemeinschaftlichen Principien, woraus sie unerachtet ihrer Verschiedenheit abgeleitet werden können: das würde ein transscendentaler Grundsatz der Vernunft sein, welcher die systematische Einheit nicht bloß subjectiv und logisch-, als Methode, sondern objectiv nothwendig machen würde.",6
3.491,"Die Begriffe der Reflexion haben, wie wir gezeigt haben, durch eine gewisse Mißdeutung einen solchen Einfluß auf den Verstandesgebrauch, daß sie sogar einen der scharfsichtigsten unter allen Philosophen zu einem vermeinten System intellectueller Erkenntniß, welches seine Gegenstände ohne Dazukunft der Sinne zu bestimmen unternimmt, zu verleiten im Stande gewesen. Eben um deswillen ist die Entwickelung der täuschenden Ursache der Amphibolie dieser Begriffe in Veranlassung falscher Grundsätze von großem Nutzen, die Grenzen des Verstandes zuverlässig zu bestimmen und zu sichern.",0
4.412,"Die Begriffe der Reflexion haben, wie wir gezeigt haben, durch eine gewisse Mißdeutung einen solchen Einfluß auf den Verstandesgebrauch, daß sie sogar einen der scharfsichtigsten unter allen Philosophen zu einem vermeinten System intellectueller Erkenntniß, welches seine Gegenstände ohne Dazukunft der Sinne zu bestimmen unternimmt, zu verleiten im Stande gewesen. Eben um deswillen ist die Entwickelung der täuschenden Ursache der Amphibolie dieser Begriffe in Veranlassung falscher Grundsätze von großem Nutzen, die Gränzen des Verstandes zuverlässig zu bestimmen und zu sichern.",0
5.526,"Buchstäblich genommen und logisch betrachtet, können Ideen nicht dargestellt werden. Aber wenn wir unser empirisches Vorstellungsvermögen (mathematisch, oder dynamisch) für die Anschauung der Natur erweitern: so tritt unausbleiblich die Vernunft hinzu, als Vermögen der Independenz der absoluten Totalität, und bringt die, obzwar vergebliche, Bestrebung des Gemüths hervor, die Vorstellung der Sinne dieser angemessen zu machen. Diese Bestrebung und das Gefühl der Unerreichbarkeit der Idee durch die Einbildungskraft ist selbst eine Darstellung der subjectiven Zweckmäßigkeit unseres Gemüths im Gebrauche der Einbildungskraft für dessen übersinnliche Bestimmung und nöthigt uns, subjectiv die Natur selbst in ihrer Totalität, als Darstellung von etwas Übersinnlichem, zu denken, ohne diese Darstellung objectiv zu Stande bringen zu können.",6
3.128,Einleitung. Idee einer transscendentalen Logik.,0
4.92,Einleitung. Idee einer transscendentalen Logik.,0
3.241,"Diese Synthesis des Mannigfaltigen der sinnlichen Anschauung, die a priori möglich und nothwendig ist, kann figürlich ( synthesis speciosa ) genannt werden zum Unterschiede von derjenigen, welche in Ansehung des Mannigfaltigen einer Anschauung überhaupt in der bloßen Kategorie gedacht würde und Verstandesverbindung ( synthesis intellectualis ) heißt; beide sind transscendental, nicht bloß weil sie selbst a priori vorgehen, sondern auch die Möglichkeit anderer Erkenntniß a priori gründen.",0
3.242,"Allein die figürliche Synthesis, wenn sie bloß auf die ursprünglich synthetische Einheit der Apperception, d. i. diese transscendentale Einheit, geht, welche in den Kategorien gedacht wird, muß zum Unterschiede von der bloß intellectuellen Verbindung die transscendentale Synthesis der Einbildungskraft heißen. Einbildungskraft ist das Vermögen, einen Gegenstand auch ohne dessen Gegenwart in der Anschauung vorzustellen. Da nun alle unsere Anschauung sinnlich ist, so gehört die Einbildungskraft der subjectiven Bedingung wegen, unter der sie allein den Verstandesbegriffen eine correspondirende Anschauung geben kann, zur Sinnlichkeit; so fern aber doch ihre Synthesis eine Ausübung der Spontaneität ist, welche bestimmend und nicht wie der Sinn bloß bestimmbar ist, mithin a priori den Sinn seiner Form nach der Einheit der Apperception gemäß bestimmen kann, so ist die Einbildungskraft so fern ein Vermögen, die Sinnlichkeit a priori zu bestimmen, und ihre Synthesis der Anschauungen, den Kategorien gemäß, muß die transscendentale Synthesis der Einbildungskraft sein, welches eine Wirkung des Verstandes auf die Sinnlichkeit und die erste Anwendung desselben (zugleich der Grund aller übrigen) auf Gegenstände der uns möglichen Anschauung ist. Sie ist als figürlich von der intellectuellen Synthesis ohne alle Einbildungskraft, bloß durch den Verstand, unterschieden. So fern die Einbildungskraft nun Spontaneität ist, nenne ich sie auch bisweilen die productive Einbildungskraft und unterscheide sie dadurch von der reproductiven, deren Synthesis lediglich empirischen Gesetzen, nämlich denen der Association, unterworfen ist, und welche daher zur Erklärung der Möglichkeit der Erkenntniß a priori nichts beiträgt und um deswillen nicht in die Transscendentalphilosophie, sondern in die Psychologie gehört.",4
9.583,§. 49. b. Verstandesschlüsse per judicia Contrarie opposita.,0
9.555,"§. 39. Theoreme, Corollarien, Lehnsätze und Scholien.",0
6.51,Vitiis nemo sine nascitur. Horat..,0
1.1163,PROP. II. THEOREMA. Corpora constant monadibus.,0
9.820,§. 115. 1. Scientifische oder populare Methode.,3
9.702,§. 80. Förmliche und versteckte Vernunftschlüsse ( ratiocinia formalia und cryptica. ),6
1.891,"SECTIO II. De materia ignis eiusque modificationibus, calore et frigore.",0
9.831,§. 119. 5. Akroamatische oder erotematische Methode.,0
