ID,Absatz,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
5.5,"Mit diesem Vermögen steht auch die transscendentale Freiheit nunmehr fest, und zwar in derjenigen absoluten Bedeutung genommen, worin die speculative Vernunft beim Gebrauche des Begriffs der Causalität sie bedurfte, um sich wider die Antinomie zu retten, darin sie unvermeidlich geräth, wenn sie in der Reihe der Causalverbindung sich das Unbedingte denken will, welchen Begriff sie aber nur problematisch, als nicht unmöglich zu denken, aufstellen konnte, ohne ihm seine objective Realität zu sichern, sondern allein um nicht durch vorgebliche Unmöglichkeit dessen, was sie doch wenigstens als denkbar gelten lassen muß, in ihrem Wesen angefochten und in einen Abgrund des Scepticisms gestürzt zu werden.",
3.839,"Ob es aber gleich hiebei lediglich nach einer Kette von Ursachen aussieht, die im Regressus zu ihren Bedingungen gar keine absolute Totalität verstattet, so hält uns diese Bedenklichkeit doch gar nicht auf; denn sie ist schon in der allgemeinen Beurtheilung der Antinomie der Vernunft, wenn sie in der Reihe der Erscheinungen aufs Unbedingte ausgeht, gehoben worden. Wenn wir der Täuschung des transscendentalen Realismus nachgeben wollen, so bleibt weder Natur, noch Freiheit übrig. Hier ist nur die Frage: ob, wenn man in der ganzen Reihe aller Begebenheiten lauter Naturnothwendigkeit anerkennt, es doch möglich sei, eben dieselbe, die einerseits bloße Naturwirkung ist, doch andererseits als Wirkung aus Freiheit anzusehen, oder ob zwischen diesen zwei Arten von Causalität ein gerader Widerspruch angetroffen werde.",
3.1003,"Was bei diesen Principien merkwürdig ist und uns auch allein beschäftigt, ist dieses: daß sie transscendental zu sein scheinen, und, ob sie gleich bloße Ideen zur Befolgung des empirischen Gebrauchs der Vernunft enthalten, denen der letztere nur gleichsam asymptotisch, d. i. bloß annähernd, folgen kann, ohne sie jemals zu erreichen, sie gleichwohl als synthetische Sätze a priori objective, aber unbestimmte Gültigkeit haben und zur Regel möglicher Erfahrung dienen, auch wirklich in Bearbeitung derselben als heuristische Grundsätze mit gutem Glücke gebraucht werden, ohne daß man doch eine transscendentale Deduction derselben zu Stande bringen kann, welches, wie oben bewiesen worden, in Ansehung der Ideen jederzeit unmöglich ist.",
3.696,"Setzet: es gebe eine Freiheit im transscendentalen Verstande als eine besondere Art von Causalität, nach welcher die Begebenheiten der Welt erfolgen könnten, nämlich ein Vermögen, einen Zustand, mithin auch eine Reihe von Folgen desselben schlechthin anzufangen; so wird nicht allein eine Reihe durch diese Spontaneität, sondern die Bestimmung dieser Spontaneität selbst zur Hervorbringung der Reihe, d. i. die Causalität, wird schlechthin anfangen, so daß nichts vorhergeht, wodurch diese geschehende Handlung nach beständigen Gesetzen bestimmt sei. Es setzt aber ein jeder Anfang zu handeln einen Zustand der noch nicht handelnden Ursache voraus und ein dynamisch erster Anfang der Handlung einen Zustand, der mit dem vorhergehenden eben derselben Ursache gar keinen Zusammenhang der Causalität hat, d. i. auf keine Weise daraus erfolgt. Also ist die transscendentale Freiheit dem Causalgesetze entgegen und eine solche Verbindung der successiven Zustände wirkender Ursachen, nach welcher keine Einheit der Erfahrung möglich ist, die also auch in keiner Erfahrung angetroffen wird, mithin ein leeres Gedankending.",
3.701,"Die transscendentale Idee der Freiheit macht zwar bei weitem nicht den ganzen Inhalt des psychologischen Begriffs dieses Namens aus, welcher großen Theils empirisch ist, sondern nur den der absoluten Spontaneität der Handlung als den eigentlichen Grund der Imputabilität derselben, ist aber dennoch der eigentliche Stein des Anstoßes für die Philosophie, welche unüberwindliche Schwierigkeiten findet, dergleichen Art von unbedingter Causalität einzuräumen. Dasjenige also in der Frage über die Freiheit des Willens, was die speculative Vernunft von jeher in so große Verlegenheit gesetzt hat, ist eigentlich nur transscendental und geht lediglich darauf, ob ein Vermögen angenommen werden müsse, eine Reihe von successiven Dingen oder Zuständen von selbst anzufangen. Wie ein solches möglich sei, ist nicht eben so nothwendig beantworten zu können, da wir uns eben sowohl bei der Causalität nach Naturgesetzen damit begnügen müssen, a priori zu erkennen, daß eine solche vorausgesetzt werden müsse, ob wir gleich die Möglichkeit, wie durch ein gewisses Dasein das Dasein eines andern gesetzt werde, auf keine Weise begreifen und uns desfalls lediglich an die Erfahrung halten müssen. Nun haben wir diese Nothwendigkeit eines ersten Anfangs einer Reihe von Erscheinungen aus Freiheit zwar nur eigentlich in so fern dargethan, als zur Begreiflichkeit eines Ursprungs der Welt erforderlich ist, indessen daß man alle nachfolgende Zustände für eine Abfolge nach bloßen Naturgesetzen nehmen kann. Weil aber dadurch doch einmal das Vermögen, eine Reihe in der Zeit Schwierigkeit belästigt, die Abstammung der Begebenheiten in der Reihe der Ursachen immer höher hinauf zu suchen, weil die Causalität an ihnen jederzeit bedingt ist, aber zur Schadloshaltung durchgängige und gesetzmäßige Einheit der Erfahrung verspricht, da hingegen das Blendwerk von Freiheit zwar dem forschenden Verstande in der Kette der Ursachen Ruhe verheißt, indem sie ihn zu einer unbedingten Causalität führt, die von selbst zu handeln anhebt, die aber, da sie selbst blind ist, den Leitfaden der Regeln abreißt, an welchem allein eine durchgängig zusammenhängende Erfahrung möglich ist.",
3.1143,"Die apagogische Beweisart ist auch das eigentliche Blendwerk, womit die Bewunderer der Gründlichkeit unserer dogmatischen Vernünftler jederzeit hingehalten worden: sie ist gleichsam der Champion, der die Ehre und das unstreitige Recht seiner genommenen Partei dadurch beweisen will, daß er sich mit jedermann zu raufen anheischig macht, der es bezweifeln wollte; obgleich durch solche Großsprecherei nichts in der Sache, sondern nur der respectiven Stärke der Gegner ausgemacht wird und zwar auch nur auf der Seite desjenigen, der sich angreifend verhält. Die Zuschauer, indem sie sehen, daß ein jeder in seiner Reihe bald Sieger ist, bald unterliegt, nehmen oftmals daraus Anlaß, das Object des Streits selbst sceptisch zu bezweifeln. Aber sie haben nicht Ursache dazu, und es ist genug, ihnen zuzurufen: non defensoribus istis tempus eget . Ein jeder muß seine Sache vermittelst eines durch transscendentale Deduction der Beweisgründe geführten rechtlichen Beweises, d. i. direct, führen, damit man sehe, was seine Vernunftansprüche für sich selbst anzuführen haben. Denn fußt sich sein Gegner auf subjective Gründe, so ist er freilich leicht zu widerlegen, aber ohne Vortheil für den Dogmatiker, der gemeiniglich eben so den subjectiven Ursachen des Urtheils anhängt und gleichergestalt von seinem Gegner in die Enge getrieben werden kann. Verfahren aber beide Theile bloß direct, so werden sie entweder die Schwierigkeit, ja Unmöglichkeit, den Titel ihrer Behauptungen auszufinden, von selbst bemerken und sich zuletzt nur auf Verjährung berufen können, oder die Kritik wird den dogmatischen Schein leicht entdecken und die reine Vernunft nöthigen, ihre zu hoch getriebene Anmaßungen im speculativen Gebrauch aufzugeben und sich innerhalb die Grenzen ihres eigenthümlichen Bodens, nämlich praktischer Grundsätze, zurückzuziehen.",
3.829,"Man sieht leicht, daß, wenn alle Causalität in der Sinnenwelt bloß Natur wäre, so würde jede Begebenheit durch eine andere in der Zeit nach nothwendigen Gesetzen bestimmt sein; und mithin, da die Erscheinungen, so fern sie die Willkür bestimmen, jede Handlung als ihren natürlichen Erfolg nothwendig machen müßten, so würde die Aufhebung der transscendentalen Freiheit zugleich alle praktische Freiheit vertilgen. Denn diese setzt voraus, daß, obgleich etwas nicht geschehen ist, es doch habe geschehen sollen, und seine Ursache in der Erscheinung also nicht so bestimmend war, daß nicht in unserer Willkür eine Causalität liege, unabhängig von jenen Naturursachen und selbst wider ihre Gewalt und Einfluß etwas hervorzubringen, was in der Zeitordnung nach empirischen Gesetzen bestimmt ist, mithin eine Reihe von Begebenheiten ganz von selbst anzufangen.",
5.196,"In der Antinomie der reinen speculativen Vernunft findet sich ein ähnlicher Widerstreit zwischen Naturnothwendigkeit und Freiheit in der Causalität der Begebenheiten in der Welt. Er wurde dadurch gehoben, daß bewiesen wurde, es sei kein wahrer Widerstreit, wenn man die Begebenheiten und selbst die Welt, darin sie sich ereignen, (wie man auch soll) nur als Erscheinungen betrachtet; da ein und dasselbe handelnde Wesen als Erscheinung (selbst vor seinem eignen innern Sinne) eine Causalität in der Sinnenwelt hat, die jederzeit dem Naturmechanism gemäß ist, in Ansehung derselben Begebenheit aber, so fern sich die handelnde Person zugleich als Noumenon betrachtet (als reine Intelligenz, in seinem nicht der Zeit nach bestimmbaren Dasein), einen Bestimmungsgrund jener Causalität nach Naturgesetzen, der selbst von allem Naturgesetze frei ist, enthalten könne.",
4.1068,"Und so sind kategorische Imperativen möglich, dadurch daß die Idee der Freiheit mich zu einem Gliede einer intelligibelen Welt macht, wodurch, wenn ich solches allein wäre, alle meine Handlungen der Autonomie des Willens jederzeit gemäß sein würden, da ich mich aber zugleich als Glied der Sinnenwelt anschaue, gemäß sein sollen, welches kategorische Sollen einen synthetischen Satz a priori vorstellt, dadurch daß über meinen durch sinnliche Begierden afficirten Willen noch die Idee ebendesselben, aber zur Verstandeswelt gehörigen reinen, für sich selbst praktischen Willens hinzukommt, welcher die oberste Bedingung des ersteren nach der Vernunft enthält; ungefähr so, wie zu den Anschauungen der Sinnenwelt Begriffe des Verstandes, die für sich selbst nichts als gesetzliche Form überhaupt bedeuten, hinzu kommen und dadurch synthetische Sätze a priori, auf welchen alle Erkenntniß einer Natur beruht, möglich machen.",
3.1139,"Die dritte eigenthümliche Regel der reinen Vernunft, wenn sie in Ansehung transscendentaler Beweise einer Disciplin unterworfen wird, ist: daß ihre Beweise niemals apagogisch, sondern jederzeit ostensiv sein müssen. Der directe oder ostensive Beweis ist in aller Art der Erkenntniß derjenige, welcher mit der Überzeugung von der Wahrheit zugleich Einsicht in die Quellen derselben verbindet; der apagogische dagegen kann zwar Gewißheit, aber nicht Begreiflichkeit der Wahrheit in Ansehung des Zusammenhanges mit den Gründen ihrer Möglichkeit hervorbringen. Daher sind die letzteren mehr eine Nothhülfe, als ein Verfahren, welches allen Absichten der Vernunft ein Genüge thut. Doch haben diese einen Vorzug der Evidenz vor den directen Beweisen darin: daß der Widerspruch allemal mehr Klarheit in der Vorstellung bei sich führt, als die beste Verknüpfung und sich dadurch dem Anschaulichen einer Demonstration mehr nähert.",
