ID,Absatz,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
3.1013,"Es ist ein großer Unterschied, ob etwas meiner Vernunft als ein Gegenstand schlechthin, oder nur als ein Gegenstand in der Idee gegeben wird. In dem ersteren Falle gehen meine Begriffe dahin, den Gegenstand zu bestimmen; im zweiten ist es wirklich nur ein Schema, dem direct kein Gegenstand, auch nicht einmal hypothetisch zugegeben wird, sondern welches nur dazu dient, um andere Gegenstände vermittelst der Beziehung auf diese Idee nach ihrer systematischen Einheit, mithin indirect uns vorzustellen. So sage ich, der Begriff einer höchsten Intelligenz ist eine bloße Idee, d. i. seine objective Realität soll nicht darin bestehen, daß er sich geradezu auf einen Gegenstand bezieht (denn in solcher Bedeutung würden wir seine objective Gültigkeit nicht rechtfertigen können), sondern er ist nur ein nach Bedingungen der größten Vernunfteinheit geordnetes Schema von dem Begriffe eines Dinges überhaupt, welches nur dazu dient, um die größte systematische Einheit im empirischen Gebrauche unserer Vernunft zu erhalten, indem man den Gegenstand der Erfahrung gleichsam von dem eingebildeten Gegenstande dieser Idee als seinem Grunde oder Ursache ableitet. Alsdann heißt es z. B.: die Dinge der Welt müssen so betrachtet werden, als ob sie von einer höchsten Intelligenz ihr Dasein hätten. Auf solche Weise ist die Idee eigentlich nur ein heuristischer und nicht ostensiver Begriff und zeigt an, nicht wie ein Gegenstand beschaffen ist, sondern wie wir unter der Leitung desselben die Beschaffenheit und Verknüpfung der Gegenstände der Erfahrung überhaupt suchen sollen. Wenn man nun zeigen kann, daß, obgleich die dreierlei transscendentalen Ideen (psychologische, kosmologische und theologische) direct auf keinen ihnen correspondirenden Gegenstand und dessen Bestimmung bezogen werden, dennoch alle Regeln des empirischen Gebrauchs der Vernunft unter Voraussetzung eines solchen Gegenstandes in der Idee auf systematische Einheit führen und die Erfahrungserkenntniß jederzeit erweitern, niemals aber derselben zuwider sein können: so ist es eine nothwendige Maxime der Vernunft, nach dergleichen Ideen zu Verfahren. Und dieses ist die transscendentale Deduction aller Ideen der speculativen Vernunft, nicht als constitutiver Principien der Erweiterung unserer Erkenntniß über mehr Gegenstände, als Erfahrung geben kann, sondern als regulativer Principien der systematischen Einheit des Mannigfaltigen der empirischen Erkenntniß überhaupt, welche dadurch in ihren eigenen Grenzen mehr angebauet und berichtigt wird, als es ohne solche Ideen, durch den bloßen Gebrauch der Verstandesgrundsätze, geschehen könnte. Ich will dieses deutlicher machen. Wir wollen den genannten Ideen als Principien zu Folge erstlich (in der Psychologie) alle Erscheinungen, Handlungen und Empfänglichkeit unseres Gemüths an dem Leitfaden der inneren Erfahrung so verknüpfen, als ob dasselbe eine einfache Substanz wäre, die mit persönlicher Identität beharrlich (wenigstens im Leben) existirt, indessen daß ihre Zustände, zu welchen die des Körpers nur als äußere Bedingungen gehören, continuirlich wechseln. Wir müssen zweitens (in der Kosmologie) die Bedingungen der inneren sowohl als der äußeren Naturerscheinungen in einer solchen nirgend zu vollendenden Untersuchung verfolgen, als ob dieselbe an sich unendlich und ohne ein erstes oder oberstes Glied sei, obgleich wir darum außerhalb aller Erscheinungen die bloß intelligibelen ersten Gründe derselben nicht leugnen, aber sie doch niemals in den Zusammenhang der Naturerklärungen bringen dürfen, weil wir sie gar nicht kennen. Endlich und drittens müssen wir (in Ansehung der Theologie) alles, was nur immer in den Zusammenhang der möglichen Erfahrung gehören mag, so betrachten, als ob diese eine absolute, aber durch und durch abhängige und immer noch innerhalb der Sinnenwelt bedingte Einheit ausmache, doch aber zugleich, als ob der Inbegriff aller Erscheinungen (die Sinnenwelt selbst) einen einzigen obersten und allgenugsamen Grund außer ihrem Umfange habe, nämlich eine gleichsam selbstständige, ursprüngliche und schöpferische Vernunft, in Beziehung auf welche wir allen empirischen Gebrauch unserer Vernunft in seiner größten Erweiterung so richten, als ob die Gegenstände selbst aus jenem Urbilde aller Vernunft entsprungen wären. Das heißt: nicht von einer einfachen, denkenden Substanz die innern Erscheinungen der Seele, sondern nach der Idee eines einfachen Wesens jene von einander ableiten; nicht von einer höchsten Intelligenz die Weltordnung und systematische Einheit derselben ableiten, sondern von der Idee einer höchstweisen Ursache die Regel hernehmen, nach welcher die Vernunft bei der Verknüpfung der Ursachen und Wirkungen in der Welt zu ihrer eigenen Befriedigung am besten zu brauchen sei.",4
6.1037,"Geisteskräfte sind diejenigen, deren Ausübung nur durch die Vernunft möglich ist. Sie sind so fern schöpferisch, als ihr Gebrauch nicht aus Erfahrung geschöpft, sondern a priori aus Principien abgeleitet wird. Dergleichen sind Mathematik, Logik und Metaphysik der Natur, welche zwei letztere auch zur Philosophie, nämlich der theoretischen, gezählt werden, die zwar alsdann nicht, wie der Buchstabe lautet, Weisheitslehre, sondern nur Wissenschaft bedeutet, aber doch der ersteren zu ihrem Zwecke beförderlich sein kann.",0
5.932,"Wozu die Dinge in der Welt einander nützen; wozu das Mannigfaltige in einem Dinge für dieses Ding selbst gut ist; wie man sogar Grund habe anzunehmen, daß nichts in der Welt umsonst, sondern alles irgend wozu in der Natur, unter der Bedingung daß gewisse Dinge (als Zwecke) existiren sollten, gut sei, wobei mithin unsere Vernunft für die Urtheilskraft kein anderes Princip der Möglichkeit des Objects ihrer unvermeidlichen teleologischen Beurtheilung in ihrem Vermögen hat, als das, den Mechanism der Natur der Architektonik eines verständigen Welturhebers unterzuordnen: das alles leistet die teleologische Weltbetrachtung sehr herrlich und zur äußersten Bewunderung. Weil aber die Data, mithin die Principien, jenen Begriff einer intelligenten Weltursache (als höchsten Künstlers) zu bestimmen, bloß empirisch sind: so lassen sie auf keine Eigenschaften weiter schließen, als uns die Erfahrung an den Wirkungen derselben offenbart, welche, da sie nie die gesammte Natur als System befassen kann, oft auf (dem Anscheine nach) jenem Begriffe und unter einander widerstreitende Beweisgründe stoßen muß, niemals aber, wenn wir gleich vermögend wären auch das ganze System, sofern es bloße Natur betrifft, empirisch zu überschauen, uns über die Natur zu dem Zwecke ihrer Existenz selber und dadurch zum bestimmten Begriffe jener obern Intelligenz erheben kann.",5
1.358,"Herr Wolff hatte in seiner Abhandlung das Vorhaben uns die erste Grundlage zu einer Dynamik zu liefern. Sein Unternehmen ist unglücklich ausgefallen. So haben wir denn noch zur Zeit keine dynamische Grundsätze, auf welche wir mit Recht bauen können. Unsere Schrift, welche die wahre Schätzung der lebendigen Kräfte darzulegen verspricht, sollte diesen Mangel ergänzen. Das dritte Capitel soll hievon einen Versuch machen; allein darf man wohl hoffen, daß man das Ziel treffen werde, da es einem von den Versuchtesten in dieser Art der Betrachtung nicht gelungen ist es zu erreichen?",0
3.1229,"Eben deswegen ist Metaphysik auch die Vollendung aller Cultur der menschlichen Vernunft, die unentbehrlich ist, wenn man gleich ihren Einfluß als Wissenschaft auf gewisse bestimmte Zwecke bei Seite setzt. Denn sie betrachtet die Vernunft nach ihren Elementen und obersten Maximen, die selbst der Möglichkeit einiger Wissenschaften und dem Gebrauche aller zum Grunde liegen müssen. Daß sie als bloße Speculation mehr dazu dient, Irrthümer abzuhalten, als Erkenntniß zu erweitern, thut ihrem Werthe keinen Abbruch, sondern giebt ihr vielmehr Würde und Ansehen durch das Censoramt, welches die allgemeine Ordnung und Eintracht, ja den Wohlstand des wissenschaftlichen gemeinen Wesens sichert und dessen muthige und fruchtbare Bearbeitungen abhält, sich nicht von dem Hauptzwecke, der allgemeinen Glückseligkeit, zu entfernen.",6
3.56,"Nun ist aber diese Art von Erkenntniß in gewissem Sinne doch auch als gegeben anzusehen, und Metaphysik ist, wenn gleich nicht als Wissenschaft, doch als Naturanlage ( metaphysica naturalis ) wirklich. Denn die menschliche Vernunft geht unaufhaltsam, ohne daß bloße Eitelkeit des Vielwissens sie dazu bewegt, durch eigenes Bedürfniß getrieben, bis zu solchen Fragen fort, die durch keinen Erfahrungsgebrauch der Vernunft und daher entlehnte Principien beantwortet werden können; und so ist wirklich in allen Menschen, so bald Vernunft sich in ihnen bis zur Speculation erweitert, irgend eine Metaphysik zu aller Zeit gewesen und wird auch immer darin bleiben. Und nun ist auch von dieser die Frage: Wie ist Metaphysik als Naturanlage möglich? d. i. wie entspringen die Fragen, welche reine Vernunft sich aufwirft, und die sie, so gut als sie kann, zu beantworten durch ihr eigenes Bedürfniß getrieben wird, aus der Natur der allgemeinen Menschenvernunft?",6
4.657,1) Wie ist reine Mathematik möglich? 2) Wie ist reine Naturwissenschaft möglich? 3) Wie ist Metaphysik überhaupt möglich? 4) wie ist Metaphysik als Wissenschaft möglich?,0
7.534,"§ 57. Etwas erfinden ist ganz was anderes als etwas entdecken. Denn die Sache, welche man entdeckt, wird als vorher schon existirend angenommen, nur daß sie noch nicht bekannt war, z. B. Amerika vor dem Columbus; was man aber erfindet, z. B. das Schießpulver, war vor dem Künstler *) , der es machte, noch gar nicht gekannt. Beides kann Verdienst sein. Man kann aber etwas finden, was man gar nicht sucht (wie der Goldkoch den Phosphor), und da ist es auch gar kein Verdienst. - Nun heißt das Talent zum Erfinden das Genie. Man legt aber diesen Namen immer nur einem Künstler bei, also dem, der etwas zu machen versteht, nicht dem, der blos vieles kennt und weiß; aber auch nicht einem blos nachahmenden, sondern einem seine Werke ursprünglich hervorzubringen aufgelegten Künstler; endlich auch diesem nur, wenn sein Product musterhaft ist, d. i. wenn es verdient als Beispiel (exemplar) nachgeahmt zu werden. - Also ist das Genie eines Menschen ""die musterhafte Originalität seines Talents"" (in Ansehung dieser oder jener Art von Kunstproducten). Man nennt aber auch einen Kopf, der die Anlage dazu hat, ein Genie; da alsdann dieses Wort nicht blos die Naturgabe einer Person, sondern auch die Person selbst bedeuten soll. - In vielen Fächern Genie zu sein ist ein vastes Genie (wie Leonardo da Vinci). Das eigentliche Feld für das Genie ist das der Einbildungskraft: weil diese schöpferisch ist und weniger als andere Vermögen unter dem Zwange der Regeln steht, dadurch aber der Originalität desto fähiger ist. - Der Mechanism der Unterweisung, weil diese jederzeit den Schüler zur Nachahmung nöthigt, ist dem Aufkeimen eines Genies, nämlich was seine Originalität betrifft zwar allerdings nachtheilig. Aber jede Kunst bedarf doch gewisser mechanischer Grundregeln, nämlich der Angemessenheit des Products zur untergelegten Idee, d. i. Wahrheit in der Darstellung des Gegenstandes, der gedacht wird. Das muß nun mit Schulstrenge gelernt werden und ist allerdings eine Wirkung der Nachahmung. Die Einbildungskraft aber auch von diesem Zwange zu befreien und das eigenthümliche Talent, sogar der Natur zuwider, regellos verfahren und schwärmen zu lassen, würde vielleicht originale Tollheit abgeben, die aber freilich nicht musterhaft sein und also auch nicht zum Genie gezählt werden würde.",3
6.241,"Der Mensch nun, welcher Handlungen, die für sich selbst nichts Gott Wohlgefälliges (Moralisches) enthalten, doch als Mittel braucht, das göttliche unmittelbare Wohlgefallen an ihm und hiemit die Erfüllung seiner Wünsche zu erwerben, steht in dem Wahn des Besitzes einer Kunst, durch ganz natürliche Mittel eine übernatürliche Wirkung zuwege zu bringen; dergleichen Versuche man das Zaubern zu nennen pflegt, welches Wort wir aber (da es den Nebenbegriff einer Gemeinschaft mit dem bösen Princip bei sich führt, dagegen jene Versuche doch auch als übrigens in guter moralischer Absicht aus Mißverstande unternommen gedacht werden können) gegen das sonst bekannte Wort des Fetischmachens austauschen wollen. Eine übernatürliche Wirkung aber eines Menschen würde diejenige sein, die nur dadurch in seinen Gedanken möglich ist, daß er vermeintlich auf Gott wirkt und sich desselben als Mittels bedient, um eine Wirkung in der Welt hervorzubringen, dazu seine Kräfte, ja nicht einmal seine Einsicht, ob sie auch Gott wohlgefällig sein möchte, für sich nicht zulangen; welches schon in seinem Begriffe eine Ungereimtheit enthält.",6
5.633,"Darin ist jedermann einig, daß Genie dem Nachahmungsgeiste gänzlich entgegen zu setzen sei. Da nun Lernen nichts als Nachahmen ist, so kann die größte Fähigkeit, Gelehrigkeit (Capacität) als Gelehrigkeit, doch nicht für Genie gelten. Wenn man aber auch selbst denkt oder dichtet und nicht bloß, was andere gedacht haben, auffaßt, ja sogar für Kunst und Wissenschaft manches erfindet: so ist doch dieses auch noch nicht der rechte Grund, um einen solchen (oftmals großen) Kopf (im Gegensatze mit dem, welcher, weil er niemals etwas mehr als bloß lernen und nachahmen kann, ein Pinsel heißt) ein Genie zu nennen: weil eben das auch hätte können gelernt werden, also doch auf dem natürlichen Wege des Forschens und Nachdenkens nach Regeln liegt und von dem, was durch Fleiß vermittelst der Nachahmung erworben werden kann, nicht specifisch unterschieden ist. So kann man alles, was Newton in seinem unsterblichen Werke der Principien der Naturphilosophie, so ein großer Kopf auch erforderlich war, dergleichen zu erfinden, vorgetragen hat, gar wohl lernen; aber man kann nicht geistreich dichten lernen, so ausführlich auch alle Vorschriften für die Dichtkunst und so vortrefflich auch die Muster derselben sein mögen. Die Ursache ist, daß Newton alle seine Schritte, die er von den ersten Elementen der Geometrie an bis zu seinen großen und tiefen Erfindungen zu thun hatte, nicht allein sich selbst, sondern jedem andern ganz anschaulich und zur Nachfolge bestimmt vormachen könnte; kein Homer aber oder Wieland anzeigen kann, wie sich seine phantasiereichen und doch zugleich gedankenvollen Ideen in seinem Kopfe hervor und zusammen finden, darum weil er es selbst nicht weiß und es also auch keinen andern lehren kann. Im Wissenschaftlichen also ist der größte Erfinder vom mühseligsten Nachahmer und Lehrlinge nur dem Grade nach, dagegen von dem, welchen die Natur für die schöne Kunst begabt hat, specifisch unterschieden. Indeß liegt hierin keine Herabsetzung jener großen Männer, denen das menschliche Geschlecht so viel zu verdanken hat, gegen die Günstlinge der Natur in Ansehung ihres Talents für die schöne Kunst. Eben darin, daß jener Talent zur immer fortschreitenden größeren Vollkommenheit der Erkenntnisse und alles Nutzens, der davon abhängig ist, imgleichen zur Belehrung anderer in eben denselben Kenntnissen gemacht ist, besteht ein großer Vorzug derselben vor denen, welche die Ehre verdienen, Genies zu heißen: weil für diese die Kunst irgendwo still steht, indem ihr eine Gränze gesetzt ist, über die sie nicht weiter gehen kann, die vermuthlich auch schon seit lange her erreicht ist und nicht mehr erweitert werden kann; und überdem eine solche Geschicklichkeit sich auch nicht mittheilen läßt, sondern jedem unmittelbar von der Hand der Natur ertheilt sein will, mit ihm also stirbt, bis die Natur einmal einen andern wiederum eben so begabt, der nichts weiter als eines Beispiels bedarf, um das Talent, dessen er sich bewußt ist, auf ähnliche Art wirken zu lassen.",3
