ID,Absatz,Bundeskanzler
6.639,"Der Regent des Staats ( rex, princeps ) ist diejenige (moralische oder physische ) Person, welcher die ausübende Gewalt ( potestas executoria ) zukommt: der Agent des Staats, der die Magisträte einsetzt, dem Volk die Regeln vorschreibt, nach denen ein jeder in demselben dem Gesetze gemäß (durch Subsumtion eines Falles unter demselben) etwas erwerben, oder das Seine erhalten kann. Als moralische Person betrachtet, heißt er das Directorium, die Regierung. Seine Befehle an das Volk und die Magisträte und ihre Obere (Minister), welchen die Staatsverwaltung ( gubernatio ) obliegt, sind Verordnungen, Decrete (nicht Gesetze); denn sie gehen auf Entscheidung in einem besonderen Fall und werden als abänderlich gegeben. Eine Regierung, die zugleich gesetzgebend wäre, würde despotisch zu nennen sein im Gegensatz mit der patriotischen, unter welcher aber nicht eine väterliche ( regimen paternale ), als die am meisten despotische unter allen (Bürger als Kinder zu behandeln), sondern vaterländische ( regimen civitatis et patriae ) verstanden wird, wo der Staat selbst ( civitas ) seine Unterthanen zwar gleichsam als Glieder einer Familie, doch zugleich als Staatsbürger, d. i. nach Gesetzen ihrer eigenen Selbstständigkeit, behandelt, jeder sich selbst besitzt und nicht vom absoluten Willen eines Anderen neben oder über ihm abhängt.",2
9.2243,Schweden,0
1.624,Ew. Königl. Majestät,0
9.2247,Rußland.,0
3.8,Königsberg den 23sten April 1787. Ew. Excellenz unterthänig-gehorsamster Diener Immanuel Kant.,0
8.538,"Daß Könige philosophiren, oder Philosophen Könige würden, ist nicht zu erwarten, aber auch nicht zu wünschen: weil der Besitz der Gewalt das freie Urtheil der Vernunft unvermeidlich verdirbt. Daß aber Könige oder königliche (sich selbst nach Gleichheitsgesetzen beherrschende) Völker die Classe der Philosophen nicht schwinden oder verstummen, sondern öffentlich sprechen lassen, ist beiden zu Beleuchtung ihres Geschäfts unentbehrlich und, weil diese Classe ihrer Natur nach der Rottirung und Clubbenverbündung unfähig ist, wegen der Nachrede einer Propagande verdachtlos.",6
9.206,"Der Belletrist oder bel esprit ist ein Humanist nach gleichzeitigen Mustern in lebenden Sprachen. Er ist also kein Gelehrter, denn nur todte Sprachen sind jetzt gelehrte Sprachen, sondern ein bloßer Dilettant der Geschmackskenntnisse nach der Mode, ohne der Alten zu bedürfen. Man könnte ihn den Affen des Humanisten nennen. Der Polyhistor muß als Philolog Linguist und Literator und als Humanist muß er Klassiker und ihr Ausleger sein. Als Philolog ist er cultivirt, als Humanist civilisirt.",0
4.7,Königsberg den 29sten März 1781. Ew. Excellenz unterthänig-gehorsamster Diener Immanuel Kant.,0
9.2229,Ungarn.,0
2.101,"Königsberg, Den 6. Jun. 1760. Ew. Gnaden gehorsamster Diener I. Kant.",0
