ID,Absatz,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
6.660,"Was ein bürgerliches Amt anlangt, so kommt hier die Frage vor: hat der Souverän das Recht, einem, dem er ein Amt gegeben, es nach seinem Gutbefinden (ohne ein Verbrechen von Seiten des letzteren) wieder zu nehmen? Ich sage: nein! Denn was der vereinigte Wille des Volks über seine bürgerliche Beamte nie beschließen wird, das kann auch das Staatsoberhaupt über ihn nicht beschließen. Nun will das Volk (das die Kosten tragen soll, welche die Ansetzung eines Beamten ihm machen wird) ohne allen Zweifel, daß dieser seinem ihm auferlegten Geschäfte völlig gewachsen sei; welches aber nicht anders, als durch eine hinlängliche Zeit hindurch fortgesetzte Vorbereitung und Erlernung desselben, über der er diejenige versäumt, die er zur Erlernung eines anderen ihn nährenden Geschäfts hätte verwenden können, geschehen kann; mithin würde in der Regel das Amt mit Leuten versehen werden, die keine dazu erforderliche Geschicklichkeit und durch Übung erlangte Reife Urtheilskraft erworben hätten; welches der Absicht des Staats zuwider ist, als zu welcher auch erforderlich ist, daß jeder vom niedrigeren Amte zu höheren (die sonst lauter untauglichen in die Hände fallen würden) steigen, mithin auch auf lebenswierige Versorgung müsse rechnen können.",3
6.686,"Alle wahre Republik aber ist und kann nichts anders sein, als ein repräsentatives System des Volks, um im Namen desselben, durch alle Staatsbürger vereinigt, vermittelst ihrer Abgeordneten (deputirten) ihre Rechte zu besorgen. Sobald aber ein Staatsoberhaupt der Person nach (es mag sein König, Adelstand, oder die ganze Volkszahl, der demokratische Verein) sich auch repräsentiren läßt, so repräsentirt das vereinigte Volk nicht bloß den Souverän, sondern es ist dieser selbst; denn in ihm (dem Volk) befindet sich ursprünglich die oberste Gewalt, von der alle Rechte der Einzelnen, als bloßer Unterthanen (allenfalls als Staatsbeamten), abgeleitet werden müssen, und die nunmehr errichtete Republik hat nun nicht mehr nöthig, die Zügel der Regierung aus den Händen zu lassen und sie denen wieder zu übergeben, die sie vorher geführt hatten, und die nun alle neue Anordnungen durch absolute Willkür wieder vernichten könnten.",3
6.632,"Diese Abhängigkeit von dem Willen Anderer und Ungleichheit ist gleichwohl keinesweges der Freiheit und Gleichheit derselben als Menschen, die zusammen ein Volk ausmachen, entgegen: vielmehr kann bloß den Bedingungen derselben gemäß dieses Volk ein Staat werden und in eine bürgerliche Verfassung eintreten. In dieser Verfassung aber das Recht der Stimmgebung zu haben, d. i. Staatsbürger, nicht bloß Staatsgenosse zu sein, dazu qualificiren sich nicht alle mit gleichem Recht. Denn daraus, daß sie fordern können, von allen Anderen nach Gesetzen der natürlichen Freiheit und Gleichheit als passive Theile des Staats behandelt zu werden, folgt nicht das Recht, auch als active Glieder den Staat selbst zu behandeln, zu organisiren oder zu Einführung gewisser Gesetze mitzuwirken: sondern nur daß, welcherlei Art die positiven Gesetze, wozu sie stimmen, auch sein möchten, sie doch den natürlichen der Freiheit und der dieser angemessenen Gleichheit Aller im Volk, sich nämlich aus diesem passiven Zustande zu dem activen empor arbeiten zu können, nicht zuwider sein müssen.",3
8.510,Erster Definitivartikel zum ewigen Frieden. Die bürgerliche Verfassung in jedem Staate soll republikanisch sein.,3
6.267,"3. Die einmal geschehende feierliche Einweihung zur Kirchengemeinschaft, d. i. die erste Aufnahme zum Gliede einer Kirche (in der christlichen durch die Taufe), ist eine vielbedeutende Feierlichkeit, die entweder dem Einzuweihenden, wenn er seinen Glauben selbst zu bekennen im Stande ist, oder den Zeugen, die seine Erziehung in demselben zu besorgen sich anheischig machen, große Verbindlichkeit auferlegt und auf etwas Heiliges (die Bildung eines Menschen zum Bürger in einem göttlichen Staate) abzweckt, an sich selbst aber keine Heilige oder Heiligkeit und Empfänglichkeit für die göttliche Gnade in diesem Subject wirkende Handlung anderer, mithin kein Gnadenmittel; in so übergroßem Ansehen es auch in der ersten griechischen Kirche war, alle Sünden auf einmal abwaschen zu können, wodurch dieser Wahn auch seine Verwandtschaft mit einem fast mehr als heidnischen Aberglauben öffentlich an den Tag legte.",0
6.268,"4. Die mehrmals wiederholte Feierlichkeit einer Erneuerung, Fortdauer und Fortpflanzung dieser Kirchengemeinschaft nach Gesetzen der Gleichheit (die Communion), welche allenfalls auch nach dem Beispiele des Stifters einer solchen Kirche (zugleich auch zu seinem Gedächtnisse) durch die Förmlichkeit eines gemeinschaftlichen Genusses an derselben Tafel geschehen kann, enthält etwas großes, die Enge, eigenliebige und unvertragsame Denkungsart der Menschen, vornehmlich in Religionssachen, zur Idee einer weltbürgerlichen moralischen Gemeinschaft Erweiterndes in sich und ist ein gutes Mittel, eine Gemeinde zu der darunter vorgestellten sittlichen Gesinnung der brüderlichen Liebe zu beleben. Daß aber Gott mit der Celebrirung dieser Feierlichkeit besondere Gnaden verbunden habe, zu rühmen und den Satz, daß sie, die doch bloß eine kirchliche Handlung ist, doch noch dazu ein Gnadenmittel sei, unter die Glaubensartikel aufzunehmen, ist ein Wahn der Religion, der nicht anders als dem Geiste derselben gerade entgegen wirken kann. Pfaffenthum also würde überhaupt die usurpirte Herrschaft der Geistlichkeit über die Gemüther sein, dadurch daß sie, im ausschließlichen Besitz der Gnadenmittel zu sein, sich das Ansehn gäbe.",0
8.503,"5. ""Kein Staat soll sich in die Verfassung und Regierung eines andern Staats gewaltthätig einmischen.""",5
6.755,6. Vom Recht der Ersitzung.,0
6.144,"Wenn wir uns aber nicht bloß als Menschen, sondern auch als Bürger in einem göttlichen Staate auf Erden zu betragen und auf die Existenz einer solchen Verbindung unter dem Namen einer Kirche zu wirken uns verpflichtet halten, so scheint die Frage, wie Gott in einer Kirche (als einer Gemeinde Gottes) verehrt sein wolle, nicht durch bloße Vernunft beantwortlich zu sein, sondern einer statutarischen, uns nur durch Offenbarung kund werdenden Gesetzgebung, mithin eines historischen Glaubens, welchen man im Gegensatz mit dem reinen Religionsglauben den Kirchenglauben nennen kann, zu bedürfen. Denn bei dem erstern kommt es bloß auf das, was die Materie der Verehrung Gottes ausmacht, nämlich die in moralischer Gesinnung geschehende Beobachtung aller Pflichten als seiner Gebote, an; eine Kirche aber als Vereinigung vieler Menschen unter solchen Gesinnungen zu einem moralischen gemeinen Wesen bedarf einer öffentlichen Verpflichtung, einer gewissen auf Erfahrungsbedingungen beruhenden kirchlichen Form, die an sich zufällig und mannigfaltig ist, mithin ohne göttliche statutarische Gesetze nicht als Pflicht erkannt werden kann. Aber diese Form zu bestimmen darf darum nicht sofort als ein Geschäft des göttlichen Gesetzgebers angesehen werden, vielmehr kann man mit Grunde annehmen, der göttliche Wille sei: daß wir die Vernunftidee eines solchen gemeinen Wesens selbst ausführen, und ob die Menschen zwar manche Form einer Kirche mit unglücklichem Erfolg versucht haben möchten, sie dennoch nicht aufhören sollen, nöthigenfalls durch neue Versuche, welche die Fehler der vorigen bestmöglichst vermeiden, diesem Zwecke nachzustreben; indem dieses Geschäft, welches zugleich für sie Pflicht ist, gänzlich ihnen selbst überlassen ist. Man hat also nicht Ursache, zur Gründung und Form irgend einer Kirche die Gesetze geradezu für göttliche statutarische zu halten, vielmehr ist es Vermessenheit, sie dafür auszugeben, um sich der Bemühung zu überheben, noch ferner an der Form der letztern zu bessern, oder wohl gar Usurpation höhern Ansehens, um mit Kirchensatzungen durch das Vorgeben göttlicher Autorität der Menge ein Joch aufzulegen; wobei es aber doch eben sowohl Eigendünkel sein würde, schlechtweg zu leugnen, daß die Art, wie eine Kirche angeordnet ist, nicht vielleicht auch eine besondere göttliche Anordnung sein könne, wenn sie, so viel wir einsehen, mit der moralischen Religion in der größten Einstimmung ist, und noch dazu kommt, daß, wie sie ohne die gehörig vorbereiteten Fortschritte des Publicums in Religionsbegriffen auf einmal habe erscheinen können, nicht wohl eingesehen werden kann. In der Zweifelhaftigkeit dieser Aufgabe nun, ob Gott oder die Menschen selbst eine Kirche gründen sollen, beweist sich nun der Hang der letztern zu einer gottesdienstlichen Religion ( cultus ) und, weil diese auf willkürlichen Vorschriften beruht, zum Glauben an statutarische göttliche Gesetze unter der Voraussetzung, daß über dem besten Lebenswandel (den der Mensch nach Vorschrift der rein moralischen Religion immer einschlagen mag) doch noch eine durch Vernunft nicht erkennbare, sondern eine der Offenbarung bedürftige göttliche Gesetzgebung hinzukommen müsse; womit es unmittelbar auf Verehrung des höchsten Wesens (nicht vermittelst der durch Vernunft uns schon vorgeschriebenen Befolgung seiner Gebote) angesehen ist. Hierdurch geschieht es nun, daß Menschen die Vereinigung zu einer Kirche und die Einigung in Ansehung der ihr zu gebenden Form, imgleichen öffentliche Veranstaltungen zur Beförderung des Moralischen in der Religion niemals für an sich nothwendig halten werden; sondern nur um durch Feierlichkeiten, Glaubensbekenntnisse geoffenbarter Gesetze und Beobachtung der zur Form der Kirche (die doch selbst bloß Mittel ist) gehörigen Vorschriften, wie sie sagen, ihrem Gott zu dienen; obgleich alle diese Observanzen im Grunde moralisch-indifferente Handlungen sind, eben darum aber, weil sie bloß um seinetwillen geschehen sollen, für ihm desto gefälliger gehalten werden. Der Kirchenglaube geht also in der Bearbeitung der Menschen zu einem ethischen gemeinen Wesen natürlicherweise† *) vor dem reinen Religionsglauben vorher, und Tempel (dem öffentlichen Gottesdienste geweihte Gebäude) waren eher als Kirchen (Versammlungsörter zur Belehrung und Belebung in moralischen Gesinnungen), Priester (geweihte Verwalter frommer Gebräuche) eher als Geistliche (Lehrer der rein moralischen Religion) und sind es mehrentheils auch noch im Range und Werthe, den ihnen die große Menge zugesteht.",6
7.6,"König Friedrich Wilhelm II. , ein tapferer, redlicher, menschenliebender und - von gewissen Temperamentseigenschaften abgesehen durchaus vortrefflicher Herr, der auch mich persönlich kannte und von Zeit zu Zeit Äußerungen seiner Gnade an mich gelangen ließ, hatte auf Anregung eines Geistlichen, nachmals zum Minister im geistlichen Departement erhobenen Mannes, dem man billigerweise auch keine andere, als auf seine innere Überzeugung sich gründende gut gemeinte Absichten unterzulegen Ursache hat, -im Jahr 1788 ein Religionsedict, bald nachher ein die Schriftstellerei überhaupt sehr einschränkendes, mithin auch jenes mit schärfendes Censuredict ergehen lassen. Man kann nicht in Abrede ziehen: daß gewisse Vorzeichen, die der Explosion, welche nachher erfolgte, vorhergingen, der Regierung die Nothwendigkeit einer Reform in jenem Fache anräthig machen mußten; welches auf dem stillen Wege des akademischen Unterrichts künftiger öffentlicher Volkslehrer zu erreichen war: denn diese hatten als junge Geistliche ihren Kanzelvortrag auf solchen Ton gestimmt, daß, wer Scherz versteht, sich durch solche Lehrer eben nicht wird bekehren lassen.",6
