ID,Absatz,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
6.640,"Der Beherrscher des Volks (der Gesetzgeber) kann also nicht zugleich der Regent sein, denn dieser steht unter dem Gesetz und wird durch dasselbe folglich von einem Anderen, dem Souverän, verpflichtet. Jener kann diesem auch seine Gewalt nehmen, ihn absetzen, oder seine Verwaltung reformiren, aber ihn nicht strafen (und das bedeutet allein der in England gebräuchliche Ausdruck: der König, d. i. die oberste ausübende Gewalt, kann nicht unrecht thun); denn das wäre wiederum ein Act der ausübenden Gewalt, der zu oberst das Vermögen dem Gesetze gemäß zu zwingen zusteht, die aber doch selbst einem Zwange unterworfen wäre; welches sich widerspricht.",3
6.660,"Was ein bürgerliches Amt anlangt, so kommt hier die Frage vor: hat der Souverän das Recht, einem, dem er ein Amt gegeben, es nach seinem Gutbefinden (ohne ein Verbrechen von Seiten des letzteren) wieder zu nehmen? Ich sage: nein! Denn was der vereinigte Wille des Volks über seine bürgerliche Beamte nie beschließen wird, das kann auch das Staatsoberhaupt über ihn nicht beschließen. Nun will das Volk (das die Kosten tragen soll, welche die Ansetzung eines Beamten ihm machen wird) ohne allen Zweifel, daß dieser seinem ihm auferlegten Geschäfte völlig gewachsen sei; welches aber nicht anders, als durch eine hinlängliche Zeit hindurch fortgesetzte Vorbereitung und Erlernung desselben, über der er diejenige versäumt, die er zur Erlernung eines anderen ihn nährenden Geschäfts hätte verwenden können, geschehen kann; mithin würde in der Regel das Amt mit Leuten versehen werden, die keine dazu erforderliche Geschicklichkeit und durch Übung erlangte Reife Urtheilskraft erworben hätten; welches der Absicht des Staats zuwider ist, als zu welcher auch erforderlich ist, daß jeder vom niedrigeren Amte zu höheren (die sonst lauter untauglichen in die Hände fallen würden) steigen, mithin auch auf lebenswierige Versorgung müsse rechnen können.",6
6.1032,Der Pflichten gegen sich selbst,0
6.639,"Der Regent des Staats ( rex, princeps ) ist diejenige (moralische oder physische ) Person, welcher die ausübende Gewalt ( potestas executoria ) zukommt: der Agent des Staats, der die Magisträte einsetzt, dem Volk die Regeln vorschreibt, nach denen ein jeder in demselben dem Gesetze gemäß (durch Subsumtion eines Falles unter demselben) etwas erwerben, oder das Seine erhalten kann. Als moralische Person betrachtet, heißt er das Directorium, die Regierung. Seine Befehle an das Volk und die Magisträte und ihre Obere (Minister), welchen die Staatsverwaltung ( gubernatio ) obliegt, sind Verordnungen, Decrete (nicht Gesetze); denn sie gehen auf Entscheidung in einem besonderen Fall und werden als abänderlich gegeben. Eine Regierung, die zugleich gesetzgebend wäre, würde despotisch zu nennen sein im Gegensatz mit der patriotischen, unter welcher aber nicht eine väterliche ( regimen paternale ), als die am meisten despotische unter allen (Bürger als Kinder zu behandeln), sondern vaterländische ( regimen civitatis et patriae ) verstanden wird, wo der Staat selbst ( civitas ) seine Unterthanen zwar gleichsam als Glieder einer Familie, doch zugleich als Staatsbürger, d. i. nach Gesetzen ihrer eigenen Selbstständigkeit, behandelt, jeder sich selbst besitzt und nicht vom absoluten Willen eines Anderen neben oder über ihm abhängt.",2
6.645,"Hieraus folgt nun der Satz: der Herrscher im Staat hat gegen den Unterthan lauter Rechte und keine (Zwangs-)Pflichten. - Ferner, wenn das Organ des Herrschers, der Regent, auch den Gesetzen zuwider verführe, z. B. mit Auflagen, Recrutirungen u. dergl. wider das Gesetz der Gleichheit in Vertheilung der Staatslasten, so darf der Unterthan dieser Ungerechtigkeit zwar Beschwerden ( gravamina ), aber keinen Widerstand entgegensetzen.",5
7.466,"Der unter gemessenen Befehlen stehende Haus- oder Staatsdiener braucht nur Verstand zu haben; der Officier, dem für das ihm aufgetragene Geschäfte nur die allgemeine Regel vorgeschrieben und nun überlassen wird, was in vorkommendem Falle zu thun sei, selbst zu bestimmen, bedarf Urtheilskraft; der General, der die möglichen Fälle beurtheilen und für sie sich die Regel selbst ausdenken soll, muß Vernunft besitzen. Die zu diesen verschiedenen Vorkehrungen erforderlichen Talente sind sehr verschieden. ""Mancher glänzt auf der zweiten Stufe, welcher auf der obersten unsichtbar wird"" ( Tel brille au second rang, qui s'eclipse au premier ).",5
6.634,"Alle jene drei Gewalten im Staate sind Würden und als wesentliche aus der Idee eines Staats überhaupt zur Gründung desselben (Constitution) nothwendig hervorgehend, Staatswürden. Sie enthalten das Verhältniß eines allgemeinen Oberhaupts (der, nach Freiheitsgesetzen betrachtet, kein Anderer als das vereinigte Volk selbst sein kann) zu der vereinzelten Menge ebendesselben als Unterthans, d. i. des Gebietenden ( imperans ) gegen den Gehorsamenden ( subditus ). - Der Act, wodurch sich das Volk selbst zu einem Staat constituirt, eigentlich aber nur die Idee desselben, nach der die Rechtmäßigkeit desselben allein gedacht werden kann, ist der ursprüngliche Contract, nach welchem alle ( omnes et singuli ) im Volk ihre äußere Freiheit aufgeben, um sie als Glieder eines gemeinen Wesens, d. i. des Volks als Staat betrachtet ( universi ), sofort wieder aufzunehmen, und man kann nicht sagen: der Staat, der Mensch im Staate habe einen Theil seiner angebornen äußeren Freiheit einem Zwecke aufgeopfert, sondern er hat die wilde, gesetzlose Freiheit gänzlich verlassen, um seine Freiheit überhaupt in einer gesetzlichen Abhängigkeit, d. i. in einem rechtlichen Zustande, unvermindert wieder zu finden, weil diese Abhängigkeit aus seinem eigenen gesetzgebenden Willen entspringt.",6
7.799,"Wer soll dann den oberen Befehl im Hause haben? Denn nur einer kann es doch sein, der alle Geschäfte in einen mit dieses seinen Zwecken übereinstimmenden Zusammenhang bringt. - Ich würde in der Sprache der Galanterie (doch nicht ohne Wahrheit) sagen: die Frau soll herrschen und der Mann regieren; denn die Neigung herrscht, und der Verstand regiert. - Das Betragen des Ehemannes muß zeigen: daß ihm das Wohl seiner Frau vor allem anderen am Herzen liege. Weil aber der Mann am besten wissen muß, wie er stehe und wie weit er gehen könne: so wird er, wie ein Minister seinem blos auf Vergnügen bedachten Monarchen, der etwa ein Fest oder den Bau eines Palais beginnt, auf dieses seinen Befehl zuerst seine schuldige Willfährigkeit dazu erklären; nur daß z.B. für jetzt nicht Geld im Schatze sei, daß gewisse dringendere Nothwendigkeiten zuvor abgemacht werden müssen u. s. w., so daß der höchstgebietende Herr alles thun kann, was er will, doch mit dem Umstande, daß diesen Willen ihm sein Minister an die Hand giebt.",6
6.629,"Die gesetzgebende Gewalt kann nur dem vereinigten Willen des Volkes zukommen. Denn da von ihr alles Recht ausgehen soll, so muß sie durch ihr Gesetz schlechterdings niemand unrecht thun können. Nun ist es, wenn jemand etwas gegen einen Anderen verfügt, immer möglich, daß er ihm dadurch unrecht thue, nie aber in dem, was er über sich selbst beschließt (denn volenti non fit iniuria ). Also kann nur der übereinstimmende und vereinigte Wille Aller, so fern ein jeder über Alle und Alle über einen jeden ebendasselbe beschließen, mithin nur der allgemein vereinigte Volkswille gesetzgebend sein.",6
8.424,"Wir sehen auch diese Theorie in der Praxis hinreichend bestätigt. In der Verfassung von Großbritannien, wo das Volk mit seiner Constitution so groß thut, als ob sie das Muster für alle Welt wäre, finden wir doch, daß sie von der Befugniß, die dem Volk, im Fall der Monarch den Contract von 1688 übertreten sollte, zusteht, ganz still schweigt; mithin sich gegen ihn, wenn er sie verletzen wollte, weil kein Gesetz hierüber da ist, ingeheim Rebellion vorbehält. Denn daß die Constitution auf diesen Fall ein Gesetz enthalte, welches die subsistirende Verfassung, von der alle besondern Gesetze ausgehen, (gesetzt auch der Contract sei verletzt) umzustürzen berechtigte, ist ein klarer Widerspruch: weil sie alsdann auch eine öffentlich constituirte *) Gegenmacht enthalten müßte, mithin noch ein zweites Staatsoberhaupt, welches die Volksrechte gegen das erstere beschützte, sein müßte, dann aber auch ein drittes, welches zwischen Beiden, auf wessen Seite das Recht sei, entschiede. - Auch haben jene Volksleiter (oder, wenn man will, Vormünder), besorgt wegen einer solchen Anklage, wenn ihr Unternehmen etwa fehl schlüge, dem von ihnen weggeschreckten Monarchen lieber eine freiwillige Verlassung der Regierung angedichtet, als sich das Recht der Absetzung desselben angemaßt, wodurch sie die Verfassung in offenbaren Widerspruch mit sich selbst würden versetzt haben.",3
