ID,Absatz,freier Wille
6.817,A. Eigene Vollkommenheit.,
4.1035,Die Autonomie des Willens als oberstes Princip der Sittlichkeit.,
6.868,c. Von der Menschenliebe.,
8.492,Zum ewigen Frieden.,
4.1044,"Der schlechterdings gute Wille, dessen Princip ein kategorischer Imperativ sein muß, wird also, in Ansehung aller Objecte unbestimmt, bloß die Form des Wollens überhaupt enthalten und zwar als Autonomie, d. i. die Tauglichkeit der Maxime eines jeden guten Willens, sich selbst zum allgemeinen Gesetze zu machen, ist selbst das alleinige Gesetz, das sich der Wille eines jeden vernünftigen Wesens selbst auferlegt, ohne irgend eine Triebfeder und Interesse derselben als Grund unterzulegen.",
4.1051,Freiheit muß als Eigenschaft des Willens aller vernünftigen Wesen vorausgesetzt werden.,
3.5,Gnädiger Herr!,
4.1047,Der Begriff der Freiheit ist der Schlüssel zur Erklärung der Autonomie des Willens.,
7.545,3) Jederzeit mit sich selbst einstimmig zu denken.,
6.382,"Freiheit (Unabhängigkeit von eines Anderen nöthigender Willkür), sofern sie mit jedes Anderen Freiheit nach einem allgemeinen Gesetz zusammen bestehen kann, ist dieses einzige, ursprüngliche, jedem Menschen kraft seiner Menschheit zustehende Recht. - Die angeborne Gleichheit, d. i. die Unabhängigkeit nicht zu mehrerem von Anderen verbunden zu werden, als wozu man sie wechselseitig auch verbinden kann; mithin die Qualität des Menschen sein eigener Herr ( sui iuris ) zu sein, imgleichen die eines unbescholtenen Menschen ( iusti ), weil er vor allem rechtlichen Act keinem Unrecht gethan hat; endlich auch die Befugniß, das gegen andere zu thun, was an sich ihnen das Ihre nicht schmälert, wenn sie sich dessen nur nicht annehmen wollen; dergleichen ist ihnen bloß seine Gedanken mitzutheilen, ihnen etwas zu erzählen oder zu versprechen, es sei wahr und aufrichtig, oder unwahr und unaufrichtig ( veriloquium aut falsiloquium ), weil es bloß auf ihnen beruht, ob sie ihm glauben wollen oder nicht *) ; - alle diese Befugnisse liegen schon im Princip der angebornen Freiheit und sind wirklich von ihr nicht (als Glieder der Eintheilung unter einem höheren Rechtsbegriff) unterschieden.",
9.2241,Portugal,
9.2243,Schweden,
9.2127,Ceylon,
9.2064,Religion.,
9.2146,Religion.,
9.2158,Religion.,
8.678,1800,
9.2229,Ungarn.,
9.2113,Java.,
4.1282,Zusatz.,
9.1543,Es ist,
6.1032,Der Pflichten gegen sich selbst,
6.1005,Des zweiten Hauptstücks,
9.1946,c . Betel.,
6.618,Des öffentlichen Rechts,
6.688,Des öffentlichen Rechts,
6.722,Des öffentlichen Rechts,
9.704,III . Schlüsse der Urtheilskraft.,
8.30,1784,
1.1,1747,
9.2070,Tunquin,
4.1088,1786,
8.158,1786,
4.585,1783,
8.23,1783,
8.1,1782,
5.1,1788,
8.646,Über ein vermeintes Recht aus Menschenliebe zu lügen.,
8.647,Über ein vermeintes Recht aus Menschenliebe zu lügen.,
6.534,Des Rechts der häuslichen Gesellschaft dritter Titel: Das Hausherren=Recht.,
7.190,Von der Macht des Gemüths des Menschen über seine krankhafte Gefühle durch den bloßen festen Vorsatz Meister zu sein.,
7.324,Von dem erlaubten moralischen Schein.,
7.186,Von der Macht des Gemüths durch den bloßen Vorsatz seiner krankhaften Gefühle Meister zu sein. Ein Antwortschreiben an Herrn Hofrath und Professor Hufeland.,
7.256,Vom Egoism.,
8.119,Nun ist das Recht zum Verlage ein persönliches bejahendes Recht.,
8.488,"Das ist die moralische Liebenswürdigkeit, welche das Christenthum bei sich führt, die durch manchen äußerlich ihm beigefügten Zwang bei dem öftern Wechsel der Meinungen immer noch durchgeschimmert und es gegen die Abneigung erhalten hat, die es sonst hätte treffen müssen, und welche (was merkwürdig ist) zur Zeit der größten Aufklärung, die je unter Menschen war, sich immer in einem nur desto hellern Lichte zeigt.",
8.486,"Es ist also die liberale Denkungsart - gleichweit entfernt vom Sklavensinn und von Bandenlosigkeit - , wovon das Christenthum für seine Lehre Effect erwartet, durch die es die Herzen der Menschen für sich zu gewinnen vermag, deren Verstand schon durch die Vorstellung des Gesetzes ihrer Pflicht erleuchtet ist. Das Gefühl der Freiheit in der Wahl des Endzwecks ist das, was ihnen die Gesetzgebung liebenswürdig macht. - Obgleich also der Lehrer desselben auch Strafen ankündigt, so ist das doch nicht so zu verstehen, wenigstens ist es der eigenthümlichen Beschaffenheit des Christenthums nicht angemessen es so zu erklären, als sollten diese die Triebfedern werden, seinen Geboten Folge zu leisten: denn sofern würde es aufhören liebenswürdig zu sein. Sondern man darf dies nur als liebreiche, aus dem Wohlwollen des Gesetzgebers entspringende Warnung, sich vor dem Schaden zu hüten, welcher unvermeidlich aus der Übertretung des Gesetzes entspringen müßte (denn: lex est res surda et inexorabilis. livius), auslegen: weil nicht das Christenthum als freiwillig angenommene Lebensmaxime, sondern das Gesetz hier droht: welches, als unwandelbar in der Natur der Dinge liegende Ordnung, selbst nicht der Willkür des Schöpfers, die Folge derselben so oder anders zu entscheiden, überlassen ist.",
6.4,"Die Moral, so fern sie auf dem Begriffe des Menschen als eines freien, eben darum aber auch sich selbst durch seine Vernunft an unbedingte Gesetze bindenden Wesens gegründet ist, bedarf weder der Idee eines andern Wesens über ihm, um seine Pflicht zu erkennen, noch einer andern Triebfeder als des Gesetzes selbst, um sie zu beobachten. Wenigstens ist es seine eigene Schuld, wenn sich ein solches Bedürfniß an ihm vorfindet, dem aber alsdann auch durch nichts anders abgeholfen werden kann: weil, was nicht aus ihm selbst und seiner Freiheit entspringt, keinen Ersatz für den Mangel seiner Moralität abgiebt. - Sie bedarf also zum Behuf ihrer selbst (sowohl objectiv, was das Wollen, als subjectiv, was das Können betrifft) keinesweges der Religion, sondern Vermöge der reinen praktischen Vernunft ist sie sich selbst genug. - Denn da ihre Gesetze durch die bloße Form der allgemeinen Gesetzmäßigkeit der darnach zu nehmenden Maximen, als oberster (selbst unbedingter) Bedingung aller Zwecke, verbinden: so bedarf sie überhaupt gar keines materialen Bestimmungsgrundes der freien Willkür *) , das ist keines Zwecks, weder um, was Pflicht sei, zu erkennen, noch dazu, daß sie ausgeübt werde, anzutreiben: sondern sie kann gar wohl und soll, wenn es auf Pflicht ankommt, von allen Zwecken abstrahiren. So bedarf es zum Beispiel, um zu wissen: ob ich vor Gericht in meinem Zeugnisse wahrhaft, oder bei Abforderung eines mir anvertrauten fremden Guts treu sein soll (oder auch kann), gar nicht der Nachfrage nach einem Zweck, den ich mir bei meiner Erklärung zu bewirken etwa vorsetzen möchte, denn das ist gleichviel, was für einer es sei; vielmehr ist der, welcher, indem ihm sein Geständniß rechtmäßig abgefordert wird, noch nöthig findet, sich nach irgend einem Zwecke umzusehen, hierin schon ein Nichtswürdiger.",
7.694,Von dem höchsten moralisch=physischen Gut.,
6.995,"Allein der Mensch, als Person betrachtet, d. i. als Subject einer moralisch-praktischen Vernunft, ist über allen Preis erhaben; denn als ein solcher ( homo noumenon ) ist er nicht blos als Mittel zu anderer ihren, ja selbst seinen eigenen Zwecken, sondern als Zweck an sich selbst zu schätzen, d. i. er besitzt eine Würde (einen absoluten innern Werth), wodurch er allen andern vernünftigen Weltwesen Achtung für ihn abnöthigt, sich mit jedem Anderen dieser Art messen und auf den Fuß der Gleichheit schätzen kann.",
6.108,"Wenn eine moralische Religion (die nicht in Satzungen und Observanzen, sondern in der Herzensgesinnung zu Beobachtung aller Menschenpflichten als göttlicher Gebote zu setzen ist) gegründet werden soll, so müssen alle Wunder, die die Geschichte mit ihrer Einführung verknüpft, den Glauben an Wunder überhaupt endlich selbst entbehrlich machen; denn es verräth einen sträflichen Grad moralischen Unglaubens, wenn man den Vorschriften der Pflicht, wie sie ursprünglich ins Herz des Menschen durch die Vernunft geschrieben sind, anders nicht hinreichende Autorität zugestehen will, als wenn sie noch dazu durch Wunder beglaubigt werden: ""wenn ihr nicht Zeichen und Wunder sehet, so glaubt ihr nicht"". Nun ist es doch der gemeinen Denkungsart der Menschen ganz angemessen, daß, wenn eine Religion des bloßen Cultus und der Observanzen ihr Ende erreicht, und dafür eine im Geist und in der Wahrheit (der moralischen Gesinnung) gegründete eingeführt werden soll, die Introduction der letzteren, ob sie es zwar nicht bedarf, in der Geschichte noch mit Wundern begleitet und gleichsam ausgeschmückt werde, um die Endschaft der ersteren, die ohne Wunder gar keine Autorität gehabt haben würde, anzukündigen: ja auch wohl so, daß, um die Anhänger der ersteren für die neue Revolution zu gewinnen, sie als jetzt in Erfüllung gegangenes älteres Vorbild dessen, was in der letztern der Endzweck der Vorsehung war, ausgelegt wird; und unter solchen Umständen kann es nichts fruchten, jene Erzählungen oder Ausdeutungen jetzt zu bestreiten, wenn die wahre Religion einmal da ist und sich nun und fernerhin durch Vernunftgründe selbst erhalten kann, die zu ihrer Zeit durch solche Hülfsmittel introducirt zu werden bedurfte; man müßte denn annehmen wollen, daß das bloße Glauben und Nachsagen unbegreiflicher Dinge (was ein jeder kann, ohne darum ein besserer Mensch zu sein, oder jemals dadurch zu werden) eine Art und gar die einzige sei, Gott wohl zu gefallen; als wider welches Vorgeben mit aller Macht gestritten werden muß. Es mag also sein, daß die Person des Lehrers der alleinigen für alle Welten gültigen Religion ein Geheimniß, daß seine Erscheinung auf Erden, so wie seine Entrückung von derselben, daß sein thatenvolles Leben und Leiden lauter Wunder, ja gar, daß die Geschichte, welche die Erzählung aller jener Wunder beglaubigen soll, selbst auch ein Wunder (übernatürliche Offenbarung) sei: so können wir sie insgesammt auf ihrem Werthe beruhen lassen, ja auch die Hülle noch ehren, welche gedient hat, eine Lehre, deren Beglaubigung auf einer Urkunde beruht, die unauslöschlich in jeder Seele aufbehalten ist und keiner Wunder bedarf, öffentlich in Gang zu bringen; wenn wir nur, den Gebrauch dieser historischen Nachrichten betreffend, es nicht zum Religionsstücke machen, daß das Wissen, Glauben und Bekennen derselben für sich etwas sei, wodurch wir uns Gott wohlgefällig machen können.",
6.835,"1. Eigene Vollkommenheit als Zweck, der zugleich Pflicht ist.",
2.213,1. Das nothwendige Wesen ist ein Geist.,
2.203,4. Das nothwendige Wesen ist einfach.,
6.840,"2. Fremde Glückseligkeit als Zweck, der zugleich Pflicht ist.",
2.200,3. Das nothwendige Wesen ist einig.,
4.1133,Grundsatz.,
6.937,"Die, wenn gleich nicht vornehmste, doch erste Pflicht des Menschen gegen sich selbst in der Qualität seiner Thierheit ist die Selbsterhaltung in seiner animalischen Natur.",
6.1117,"Ein jeder Mensch hat rechtmäßigen Anspruch auf Achtung von seinen Nebenmenschen, und wechselseitig ist er dazu auch gegen jeden Anderen verbunden.",
3.694,"Es ist keine Freiheit, sondern alles in der Welt geschieht lediglich nach Gesetzen der Natur.",
2.132,Alle Menschen sind Sünder; Alle Menschen sind vernünftig; Also einige Vernünftige sind Sünder.,
8.347,Erstlich die Heiligkeit desselben als Gesetzgebers (Schöpfers) im Gegensatze mit dem Moralisch-Bösen in der Welt.,
