ID,Absatz,"Grund für das Handeln, Willensbegrenzung"
9.348,"Die Zulänglichkeit des Fürwahrhaltens (im Glauben) läßt sich auf die Probe stellen durch Wetten oder durch Schwören. Zu dem ersten ist comparative, zum zweiten absolute Zulänglichkeit objectiver Gründe nöthig, statt deren, wenn sie nicht vorhanden sind, dennoch ein schlechterdings subjectiv zureichendes Fürwahrhalten gilt. Man pflegt sich oft der Ausdrücke zu bedienen: Seinem Urtheile",
9.389,"Ein bloß subjectiv gültiger Gegengrund des Fürwahrhaltens ist ein Scrupel. Beim Scrupel weiß man nicht: ob das Hinderniß des Fürwahrhaltens objectiv oder nur subjectiv, z. B. nur in der Neigung, der Gewohnheit u. dgl. m. gegründet sei. Man zweifelt, ohne sich über den Grund des Zweifelns deutlich und bestimmt erklären und ohne einsehen zu können: ob dieser Grund im Object selbst oder nur im Subjecte liege. Sollen nun solche Scrupel hinweggenommen werden können: so müssen sie zur Deutlichkeit und Bestimmtheit eines Einwurfs erhoben werden. Denn durch Einwürfe wird die Gewißheit zur Deutlichkeit und Vollständigkeit gebracht, und keiner kann von einer Sache gewiß sein, wenn nicht Gegengründe rege gemacht worden, wodurch bestimmt werden kann: wie weit man noch von der Gewißheit entfernt, oder wie nahe man noch derselben sei. Auch ist es nicht genug: daß ein jeder Zweifel bloß beantwortet werde, man muß ihn auch auflösen, das heißt: begreiflich machen, wie der Scrupel entstanden ist. Geschieht dieses nicht: so wird der Zweifel nur abgewiesen, aber nicht aufgehoben, der Same des Zweifelns bleibt dann immer noch übrig. In vielen Fällen können wir freilich nicht wissen: ob das Hinderniß des Fürwahrhaltens in uns nur subjective oder objective Gründe habe und also den Scrupel nicht heben durch Aufdeckung des Scheines, da wir unsere Erkenntnisse nicht immer mit dem Object, sondern oft nur unter einander selbst vergleichen können. Es ist daher Bescheidenheit, seine Einwürfe nur als Zweifel vorzutragen.",
9.621,"Die Erkenntniß, daß die Bedingung (irgendwo) stattfinde, ist die Subsumtion.",
9.2376,"Was die Stärkung der Aufmerksamkeit anbetrifft: so ist zu bemerken, daß diese allgemein gestärkt werden muß. Eine starre Anheftung unserer Gedanken an ein Object ist nicht sowohl ein Talent, als vielmehr eine Schwäche unsers innern Sinnes, da er in diesem Falle unbiegsam ist und sich nicht nach Gefallen anwenden läßt. Zerstreuung ist der Feind aller Erziehung. Das Gedächtniß aber beruht auf der Aufmerksamkeit.",
9.250,"Nur die Schuld der Unwissenheit liegt demnach in den Schranken des Verstandes, die Schuld des Irrthums haben wir uns selbst beizumessen. Die Natur hat uns zwar viele Kenntnisse versagt, sie läßt uns über so Manches in einer unvermeidlichen Unwissenheit, aber den Irrthum verursacht sie doch nicht. Zu diesem verleitet uns unser eigener Hang zu urtheilen und zu entscheiden, auch da, wo wir wegen unsrer Begrenztheit zu urtheilen und zu entscheiden nicht vermögend sind.",
8.293,Was soll man hier an Herrn Eberhard bezweifeln: die Einsicht oder die Aufrichtigkeit?,
6.572,"Denn setzet: die Versäumung dieses Besitzacts hätte nicht die Folge, daß ein Anderer auf seinen gesetzmäßigen und ehrlichen Besitz ( possessio bonae fidei ) einen zu Recht beständigen ( possessio irrefragabilis ) gründe und die Sache, die in seinem Besitz ist, als von ihm erworben ansehe, so würde gar keine Erwerbung peremtorisch (gesichert), sondern alle nur provisorisch (einstweilig) sein: weil die Geschichtskunde ihre Nachforschung bis zum ersten Besitzer und dessen Erwerbact hinauf zurückzuführen nicht vermögend ist. - Die Präsumtion, auf welcher sich die Ersitzung ( usucapio ) gründet, ist also nicht bloß rechtmäßig (erlaubt, iusta ) als Vermuthung, sondern auch rechtlich ( praesumtio iuris et de iure ) als Voraussetzung nach Zwangsgesetzen ( suppositio legalis ): wer seinen Besitzact zu documentiren verabsäumt, hat seinen Anspruch auf den dermaligen Besitzer verloren, wobei die Länge der Zeit der Verabsäumung (die gar nicht bestimmt werden kann und darf) nur zum Behuf der Gewißheit dieser Unterlassung angeführt wird. Daß aber ein bisher unbekannter Besitzer, wenn jener Besitzact (es sei auch ohne seine Schuld) unterbrochen worden, die Sache immer wiedererlangen (vindiciren) könne ( dominia rerum incerta facere ), widerspricht dem obigen Postulat der rechtlich praktischen Vernunft.",
9.622,"Die Verbindung desjenigen, was unter der Bedingung subsumirt worden, mit der Assertion der Regel, ist der Schluß.",
6.42,"Unter den Hange ( propensio ) verstehe ich den subjectiven Grund der Möglichkeit einer Neigung (habituellen Begierde, concupiscentia ), sofern sie für die Menschheit überhaupt zufällig ist.† *) Er unterscheidet sich darin von einer Anlage, daß er zwar angeboren sein kann, aber doch nicht als solcher vorgestellt werden darf: sondern auch (wenn er gut ist) als erworben, oder (wenn er böse ist) als von dem Menschen selbst sich zugezogen gedacht werden kann. - Es ist aber hier nur vom Hange zum eigentlich, d. i. zum Moralisch-Bösen die Rede, welches, da es nur als Bestimmung der freien Willkür möglich ist, diese aber als gut oder böse nur durch ihre Maximen beurtheilt werden kann, in dem subjectiven Grunde der Möglichkeit der Abweichung der Maximen vom moralischen Gesetze bestehen muß und, wenn dieser Hang als allgemein zum Menschen (also als zum Charakter seiner Gattung) gehörig angenommen werden darf, ein natürlicher Hang des Menschen zum Bösen genannt werden wird. - Man kann noch hinzusetzen, daß die aus dem natürlichen Hange entspringende Fähigkeit oder Unfähigkeit der Willkür, das moralische Gesetz in seine Maxime aufzunehmen oder nicht, das gute oder böse Herz genannt werde.",
9.353,"Die Zurückhaltung des Urtheils kann in zwiefacher Absicht geschehen: entweder, um die Gründe des bestimmenden Urtheils aufzusuchen, oder um niemals zu urtheilen. Im erstern Falle heißt die Aufschiebung des Urtheils eine kritische ( suspensio judicii indagatoria ), im letztern eine skeptische ( suspensio judicii sceptica ). Denn der Skeptiker thut auf alles Urtheilen Verzicht, der wahre Philosoph dagegen suspendirt bloß sein Urtheil, wofern er noch nicht genugsame Gründe hat, etwas für wahr zu halten.",
