ID,Absatz,Gibt es einen Grund für das Handeln?
6.983,"In wirklichen Geschäften, wo es aufs Mein und Dein ankommt, wenn ich da eine Unwahrheit sage, muß ich alle die Folgen verantworten, die daraus entspringen möchten? Z. B. ein Hausherr hat befohlen: daß, wenn ein gewisser Mensch nach ihm fragen würde, er ihn verläugnen solle. Der Dienstbote thut dieses: veranlaßt aber dadurch, daß jener entwischt und ein großes Verbrechen ausübt, welches sonst durch die gegen ihn ausgeschickte Wache wäre verhindert worden. Auf wen fällt hier die Schuld (nach ethischen Grundsätzen)? Allerdings auch auf den letzteren, welcher hier eine Pflicht gegen sich selbst durch eine Lüge verletzte; deren Folgen ihm nun durch sein eigen Gewissen zugerechnet werden.",3
4.1059,"Eine Auskunft bleibt uns aber noch übrig, nämlich zu suchen: ob wir, wenn wir uns durch Freiheit als a priori wirkende Ursachen denken, nicht einen anderen Standpunkt einnehmen, als wenn wir uns selbst nach unseren Handlungen als Wirkungen, die wir vor unseren Augen sehen, uns vorstellen.",3
6.591,"Wenn ich, z. B. bei einfallendem Regen, in ein Haus eintrete und erbitte mir einen Mantel zu leihen, der aber, etwa durch unvorsichtige Ausgießung abfärbender Materien aus dem Fenster, auf immer verdorben, oder wenn er, indem ich ihn in einem anderen Hause, wo ich eintrete, ablege, mir gestohlen wird, so muß doch die Behauptung jedem Menschen als ungereimt auffallen, ich hätte nichts weiter zu thun, als jenen, so wie er ist, zurückzuschicken, oder den geschehenen Diebstahl nur zu melden; allenfalls sei es noch eine Höflichkeit den Eigenthümer dieses Verlustes wegen zu beklagen, da er aus seinem Recht nichts fordern könne. - Ganz anders lautet es, wenn ich bei der Erbittung dieses Gebrauchs zugleich auf den Fall, daß die Sache unter meinen Händen verunglückte, mir zum voraus erbäte, auch diese Gefahr zu übernehmen, weil ich arm und den Verlust zu ersetzen unvermögend wäre. Niemand wird das letztere überflüssig und lächerlich finden, außer etwa, wenn der Anleihende ein bekanntlich vermögender und wohldenkender Mann wäre, weil es alsdann beinahe Beleidigung sein würde, die großmüthige Erlassung meiner Schuld in diesem Falle nicht zu präsumiren.",3
8.357,"b) Auf die zweite Rechtfertigung: daß nämlich das Übergewicht der schmerzhaften Gefühle über die angenehmen von der Natur eines thierischen Geschöpfes, wie der Mensch ist, nicht könne getrennt werden (wie etwa Graf Veri in dem Buche über die Natur des Vergnügens behauptet), - würde man erwidern: daß, wenn dem also ist, sich eine andre Frage einfinde, woher nämlich der Urheber unsers Daseins uns überhaupt ins Leben gerufen, wenn es nach unserm richtigen Überschlage für uns nicht wünschenswerth ist. Der Unmuth würde hier, wie jene indianische Frau dem Dschingischan, der ihr wegen erlittener Gewaltthätigkeit keine Genugthuung, noch wegen der künftigen Sicherheit verschaffen konnte, antworten: ""Wenn du uns nicht schützen willst, warum eroberst du uns denn?""",3
6.572,"Denn setzet: die Versäumung dieses Besitzacts hätte nicht die Folge, daß ein Anderer auf seinen gesetzmäßigen und ehrlichen Besitz ( possessio bonae fidei ) einen zu Recht beständigen ( possessio irrefragabilis ) gründe und die Sache, die in seinem Besitz ist, als von ihm erworben ansehe, so würde gar keine Erwerbung peremtorisch (gesichert), sondern alle nur provisorisch (einstweilig) sein: weil die Geschichtskunde ihre Nachforschung bis zum ersten Besitzer und dessen Erwerbact hinauf zurückzuführen nicht vermögend ist. - Die Präsumtion, auf welcher sich die Ersitzung ( usucapio ) gründet, ist also nicht bloß rechtmäßig (erlaubt, iusta ) als Vermuthung, sondern auch rechtlich ( praesumtio iuris et de iure ) als Voraussetzung nach Zwangsgesetzen ( suppositio legalis ): wer seinen Besitzact zu documentiren verabsäumt, hat seinen Anspruch auf den dermaligen Besitzer verloren, wobei die Länge der Zeit der Verabsäumung (die gar nicht bestimmt werden kann und darf) nur zum Behuf der Gewißheit dieser Unterlassung angeführt wird. Daß aber ein bisher unbekannter Besitzer, wenn jener Besitzact (es sei auch ohne seine Schuld) unterbrochen worden, die Sache immer wiedererlangen (vindiciren) könne ( dominia rerum incerta facere ), widerspricht dem obigen Postulat der rechtlich praktischen Vernunft.",4
6.592,"Da nun über das Mein und Dein aus dem Leihvertrage, wenn (wie es die Natur dieses Vertrages so mit sich bringt) über die mögliche Verunglückung ( casus ), die die Sache treffen möchte, nichts verabredet worden, er also, weil die Einwilligung nur präsumirt worden, ein ungewisser Vertrag ( pactum incertum ) ist, das Urtheil darüber, d. i. die Entscheidung, wen das Unglück treffen müsse, nicht aus den Bedingungen des Vertrages an sich selbst, sondern wie sie allein vor einem Gerichtshofe, der immer nur auf das Gewisse in jenem sieht (welches hier der Besitz der Sache als Eigenthum ist), entschieden werden kann, so wird das Urtheil im Naturzustande, d. i. nach der Sache innerer Beschaffenheit, so lauten: der Schade aus der Verunglückung einer geliehenen Sache fällt auf den Beliehenen ( casum sentit commodatarius ); dagegen im bürgerlichen, also vor einem Gerichtshofe, wird die Sentenz so ausfallen: der Schade fällt auf den Anleiher ( casum sentit dominus ), und zwar aus dem Grunde verschieden von dem Ausspruche der bloßen gesunden Vernunft, weil ein öffentlicher Richter sich nicht auf Präsumtionen von dem, was der eine oder andere Theil gedacht haben mag, einlassen kann, sondern der, welcher sich nicht die Freiheit von allem Schaden an der geliehenen Sache durch einen besonderen angehängten Vertrag ausbedungen hat, diesen selbst tragen muß. - Also ist der Unterschied zwischen dem Urtheile, wie es ein Gericht fällen müßte, und dem, was die Privatvernunft eines jeden für sich zu fällen berechtigt ist, ein durchaus nicht zu übersehender Punkt in Berichtigung der Rechtsurtheile.",4
1.140,"Die Vertheidiger dieses Mannes scheinen den Einwurf gemerkt zu haben, den man ihnen wegen der Zeit machen könnte. Daher haben sie ihre Beweise so einzurichten gesucht, als wenn der Unterschied der Zeit bei der Kraft, welche die Körper durch den Fall erlangen, durchaus für nichts anzusehen sei.",0
1.142,"So schließt Herr Hermann, indem er behauptet, daß die Wirkung, welche die Schwere in einem Körper thut, welcher frei fällt, sich nach dem Raume richte, den er im Fallen zurück legt.",0
6.951,"Kann man es einem großen unlängst verstorbenen Monarchen zum verbrecherischen Vorhaben anrechnen, daß er ein behend wirkendes Gift bei sich führte, vermuthlich damit, wenn er in dem Kriege, den er persönlich führte, gefangen würde, er nicht etwa genöthigt sei, Bedingungen der Auslösung einzugehn, die seinem Staate nachtheilig sein könnten; denn diese Absicht kann man ihm unterlegen, ohne daß man nötig hat, hierunter einen bloßen Stolz zu vermuthen?",3
9.350,"Unmittelbar hat der Wille keinen Einfluß auf das Fürwahrhalten; dies wäre auch sehr ungereimt. Wenn es heißt: Wir glauben gern, was wir wünschen, so bedeutet das nur unsre gutartigen Wünsche, z. B. die des Vaters von seinen Kindern. Hätte der Wille einen unmittelbaren Einfluß auf unsre Überzeugung von dem, was wir wünschen: so würden wir uns beständig Chimären von einem glücklichen Zustande machen und sie sodann auch immer für wahr halten. Der Wille kann aber nicht wider überzeugende Beweise von Wahrheiten streiten, die seinen Wünschen und Neigungen zuwider sind.",0
8.446,Etwas über den Einfluß des Mondes auf die Witterung.,0
6.441,"Der Gegensatz: Es ist nicht möglich, etwas Äußeres als das Meine zu haben, wenn ich nicht im Besitz desselben bin.",6
9.378,"Es giebt mehrere Ursachen, durch die das Vorurtheil des Alterthums erzeugt und unterhalten wird.",0
6.440,"Der Satz heißt: Es ist möglich, etwas Äußeres als das Meine zu haben, ob ich gleich nicht im Besitz desselben bin.",6
9.805,Bei jeder Eintheilung eines Begriffs ist darauf zu sehen:,0
