ID,Absatz,Linguistik
9.45,"Man pflegt die Logik ferner einzutheilen 2) in die natürliche oder populare und in die künstliche oder wissenschaftliche Logik ( logica naturalis, log. scholastica s. artificialis ).",0
9.40,Die Logik wird eingetheilt,0
9.62,"Die jetzige Logik schreibt sich her von Aristoteles' Analytik. Dieser Philosoph kann als der Vater der Logik angesehen werden. Er trug sie als Organon vor und theilte sie ein in Analytik und Dialektik. Seine Lehrart ist sehr scholastisch und geht auf die Entwickelung der allgemeinsten Begriffe, die der Logik zum Grunde liegen, wovon man indessen keinen Nutzen hat, weil fast alles auf bloße Subtilitäten hinausläuft, außer daß man die Benennungen verschiedener Verstandeshandlungen daraus gezogen.",0
7.335,"Die Sinne von der ersteren Classe sind 1) der der Betastung ( tactus ), 2) des Gesichts ( visus ), 3) des Gehörs ( auditus ). - Von der zweiten a) des Geschmacks ( gustus ), b) des Geruchs ( olfactus ); insgesammt lauter Sinne der Organempfindung, gleichsam so vieler äußerer, von der Natur für das Thier zum Unterscheiden der Gegenstände zubereiteten Eingänge.",0
9.18,I. Begriff der Logik.,0
5.276,I. Von der Eintheilung der Philosophie.,6
7.404,C. Das sinnliche Dichtungsvermögen der Verwandtschaft.,5
7.398,A. Von dem sinnlichen Dichtungsvermögen der Bildung.,5
9.87,"Zur Philosophie nach dem Schulbegriffe gehören zwei Stücke: Erstlich ein zureichender Vorrath von Vernunfterkenntnissen, für's Andre: ein systematischer Zusammenhang dieser Erkenntnisse oder eine Verbindung derselben in der Idee eines Ganzen.",0
7.338,Vom Gehör.,0
9.2070,Tunquin,0
9.2086,Pegu,0
1.936,Conclusio.,0
4.609,Prolegomena.,0
9.2094,Indostan.,0
9.2092,Assam.,0
9.2194,Monomotapa.,0
9.1990,5. Galmei,0
9.2111,Borneo,0
9.1799,Meerwunder.,0
2.759,Scholion.,0
1.893,Experientia.,0
9.1986,3. Wismuth,0
3.661,II. zur Antithesis.,0
3.703,II. zur Antithesis.,0
3.724,II. zur Antithesis.,0
3.683,II. zur Antithesis.,0
1.1163,PROP. II. THEOREMA. Corpora constant monadibus.,0
1.619,1755,0
6.270,1797,0
