ID,Absatz,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
4.907,"Mein so genannter (eigentlich kritischer) Idealism ist also von ganz eigenthümlicher Art, nämlich so, daß er den gewöhnlichen umstürzt, daß durch ihn alle Erkenntniß a priori, selbst die der Geometrie, zuerst objective Realität bekommt, welche ohne diese meine bewiesene Idealität des Raumes und der Zeit selbst von den eifrigsten Realisten gar nicht behauptet werden könnte. Bei solcher Bewandtniß der Sachen wünschte ich, um allen Mißverstand zu Verhüten, daß ich diesen meinen Begriff anders benennen könnte; aber ihn ganz abzuändern will sich nicht wohl thun lassen. Es sei mir also erlaubt, ihn künftig, wie oben schon angeführt worden, den formalen, besser noch den kritischen Idealism zu nennen, um ihn vom dogmatischen des Berkeley und vom sceptischen des Cartesius zu unterscheiden.",2
3.1217,"Die Philosophie der reinen Vernunft ist nun entweder Propädeutik (Vorübung), welche das Vermögen der Vernunft in Ansehung aller reinen Erkenntniß a priori untersucht, und heißt Kritik, oder zweitens das System der reinen Vernunft (Wissenschaft), die ganze (wahre sowohl als scheinbare) philosophische Erkenntniß aus reiner Vernunft im systematischen Zusammenhange, und heißt Metaphysik; wiewohl dieser Name auch der ganzen reinen Philosophie mit Inbegriff der Kritik gegeben werden kann, um sowohl die Untersuchung alles dessen, was jemals a priori erkannt werden kann, als auch die Darstellung desjenigen, was ein System reiner philosophischen Erkenntnisse dieser Art ausmacht, von allem empirischen aber, imgleichen dem mathematischen Vernunftgebrauche unterschieden ist, zusammenzufassen.",4
4.927,"Auf solche Weise entspringt die Idee einer zwiefachen Metaphysik, einer Metaphysik der Natur und einer Metaphysik der Sitten. Die Physik wird also ihren empirischen, aber auch einen rationalen Theil haben; die Ethik gleichfalls, wiewohl hier der empirische Theil besonders praktische Anthropologie, der rationale aber eigentlich Moral heißen könnte.",5
3.592,"In dem Verfahren der rationalen Psychologie herrscht ein Paralogism, der durch folgenden Vernunftschluß dargestellt wird.",4
4.883,"Metaphysik als Naturanlage der Vernunft ist wirklich, aber sie ist auch für sich allein (wie die analytische Auflösung der dritten Hauptfrage bewies) dialektisch und trüglich. Aus dieser also die Grundsätze hernehmen wollen und in dem Gebrauche derselben dem zwar natürlichen, nichts destoweniger aber falschen Scheine folgen, kann niemals Wissenschaft, sondern nur eitele dialektische Kunst hervorbringen, darin es eine Schule der andern zuvorthun, keine aber jemals einen rechtmäßigen und dauernden Beifall erwerben kann.",3
8.323,"Nun sieht man aus dem, was ich nur eben als das kurzgefaßte Resultat des analytischen Theils der Kritik des Verstandes angeführt habe, daß diese das Princip synthetischer Urtheile überhaupt, welches nothwendig aus ihrer Definition folgt, mit aller erforderlichen Ausführlichkeit darlege, nämlich: daß sie nicht anders möglich sind, als unter der Bedingung einer dem Begriffe ihres Subjects untergelegten Anschauung, welche, wenn sie Erfahrungsurtheile sind, empirisch, sind es synthetische Urtheile a priori, reine Anschauung a priori ist. Welche Folgen dieser Satz nicht allein zur Grenzbestimmung des Gebrauchs der menschlichen Vernunft, sondern selbst auf die Einsicht in die wahre Natur unserer Sinnlichkeit habe (denn dieser Satz kann unabhängig von der Ableitung der Vorstellungen des Raums und der Zeit bewiesen werden und so der Idealität der letzteren zum Beweise dienen, noch ehe wir sie aus deren inneren Beschaffenheit gefolgert haben), das muß ein jeder Leser leicht einsehen.",2
3.977,"Der Ausgang aller dialektischen Versuche der reinen Vernunft bestätigt nicht allein, was wir schon in der transscendentalen Analytik bewiesen, nämlich daß alle unsere Schlüsse, die uns über das Feld möglicher Erfahrung hinausführen wollen, trüglich und grundlos sind; sondern er lehrt uns zugleich dieses Besondere: daß die menschliche Vernunft dabei einen natürlichen Hang habe, diese Grenze zu überschreiten, daß transscendentale Ideen ihr eben so natürlich seien, als dem Verstande die Kategorien, obgleich mit dem Unterschiede, daß, so wie die letztern zur Wahrheit, d. i. der Übereinstimmung unserer Begriffe mit dem Objecte, führen, die erstern einen bloßen, aber unwiderstehlichen Schein bewirken, dessen Täuschung man kaum durch die schärfste Kritik abhalten kann.",3
8.624,"Kritische Philosophie ist diejenige, welche nicht mit den Versuchen Systeme zu bauen oder zu stürzen, oder gar nur (wie der Moderatism) ein Dach ohne Haus zum gelegentlichen unterkommen auf Stützen zu stellen, sondern von der Untersuchung der Vermögen der menschlichen Vernunft (in welcher Absicht es auch sei) Eroberung zu machen anfängt und nicht so ins Blaue hinein vernünftelt, wenn von Philosophemen die Rede ist, die ihre Beläge in keiner möglichen Erfahrung haben können. - Nun giebt es doch etwas in der menschlichen Vernunft, was uns durch keine Erfahrung bekannt werden kann und doch seine Realität und Wahrheit in Wirkungen beweiset, die in der Erfahrung dargestellt, also auch (und zwar nach einem Princip a priori) schlechterdings können geboten werden. Dieses ist der Begriff der Freiheit und das von dieser abstammende Gesetz des kategorischen, d. i. schlechthin gebietenden, Imperativs. Durch dieses bekommen Ideen, die für die bloß speculative Vernunft völlig leer sein würden, ob wir gleich durch diese zu ihnen, als Erkenntnißgründen unseres Endzwecks, unvermeidlich hingewiesen werden, eine obzwar nur moralisch-praktische Realität: nämlich uns so zu verhalten, als ob ihre Gegenstände (Gott und Unsterblichkeit), die man also in jener (praktischen) Rücksicht postuliren darf, gegeben wären.",3
5.162,"Die Analytik der reinen theoretischen Vernunft hatte es mit dem Erkenntnisse der Gegenstände, die dem Verstande gegeben werden mögen, zu thun und mußte also von der Anschauung, mithin (weil diese jederzeit sinnlich ist) von der Sinnlichkeit anfangen, von da aber allererst zu Begriffen (der Gegenstände dieser Anschauung) fortschreiten und durfte nur nach beider Voranschickung mit Grundsätzen endigen. Dagegen, weil praktische Vernunft es nicht mit Gegenständen, sie zu erkennen, sondern mit ihrem eigenen Vermögen, jene (der Erkenntniß derselben gemäß) wirklich zu machen, d. i. es mit einem Willen zu thun hat, welcher eine Causalität ist, so fern Vernunft den Bestimmungsgrund derselben enthält, da sie folglich kein Object der Anschauung, sondern (weil der Begriff der Causalität jederzeit die Beziehung auf ein Gesetz enthält, welches die Existenz des Mannigfaltigen im Verhältnisse zu einander bestimmt) als praktische Vernunft nur ein Gesetz derselben anzugeben hat: so muß eine Kritik der Analytik derselben, so fern sie eine praktische Vernunft sein soll (welches die eigentliche Aufgabe ist), von der Möglichkeit praktischer Grundsätze a priori anfangen. Von da konnte sie allein zu Begriffen der Gegenstände einer praktischen Vernunft, nämlich denen des schlechthin Guten und Bösen, fortgehen, um sie jenen Grundsätzen gemäß allererst zu geben (denn diese sind vor jenen Principien als Gutes und Böses durch gar kein Erkenntnißvermögen zu geben möglich), und nur alsdann konnte allererst das letzte Hauptstück, nämlich das von dem Verhältnisse der reinen praktischen Vernunft zur Sinnlichkeit und ihrem nothwendigen, a priori zu erkennenden Einflusse auf dieselbe, d. i. vom moralischen Gefühle, den Theil beschließen. So theilte denn die Analytik der praktischen reinen Vernunft ganz analogisch mit der theoretischen den ganzen Umfang aller Bedingungen ihres Gebrauchs, aber in umgekehrter Ordnung. Die Analytik der theoretischen reinen Vernunft wurde in transscendentale Ästhetik und transscendentale Logik eingetheilt, die der praktischen umgekehrt in Logik und Ästhetik der reinen praktischen Vernunft (wenn es mir erlaubt ist, diese sonst gar nicht angemessene Benennungen blos der Analogie wegen hier zu gebrauchen), die Logik wiederum dort in die Analytik der Begriffe und die der Grundsätze, hier in die der Grundsätze und Begriffe. Die Ästhetik hatte dort noch zwei Theile wegen der doppelten Art einer sinnlichen Anschauung; hier wird die Sinnlichkeit gar nicht als Anschauungsfähigkeit, sondern blos als Gefühl (das ein subjectiver Grund des Begehrens sein kann) betrachtet, und in Ansehung dessen verstattet die reine praktische Vernunft keine weitere Eintheilung.",2
9.46,"Aber diese Eintheilung ist unstatthaft. Denn die natürliche Logik oder die Logik der gemeinen Vernunft ( sensus communis ) ist eigentlich keine Logik, sondern eine anthropologische Wissenschaft, die nur empirische Principien hat, indem sie von den Regeln des natürlichen Verstandes und Vernunftgebrauchs handelt, die nur in concreto , also ohne Bewußtsein derselben in abstracto , erkannt werden. - die künstliche oder wissenschaftliche Logik verdient daher allein diesen Namen, als eine Wissenschaft der nothwendigen und allgemeinen Regeln des Denkens, die unabhängig von dem natürlichen Verstandes- und Vernunftgebrauche in concreto a priori erkannt werden können und müssen, ob sie gleich zuerst nur durch Beobachtung jenes natürlichen Gebrauchs gefunden werden können.",3
