ID,Absatz,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
7.447,"Art der Gedankenbezeichnung ist die durch Sprache, dieses größte Mittel, sich selbst und andere zu verstehen. Denken ist Reden mit sich selbst (die Indianer auf Otaheite nennen das Denken: die Sprache im Bauch), folglich sich auch innerlich (durch reproductive Einbildungskraft) Hören. Dem Taubgebornen ist sein Sprechen ein Gefühl des Spiels seiner Lippen, Zunge und Kinnbackens, und es ist kaum möglich, sich vorzustellen, daß er bei seinem Sprechen etwas mehr thue als ein Spiel mit körperlichen Gefühlen zu treiben, ohne eigentliche Begriffe zu haben und zu denken. Aber auch die, so sprechen und hören können, verstehen darum nicht immer sich selbst oder Andere, und an dem Mangel des Bezeichnungsvermögens, oder dem fehlerhaften Gebrauch desselben (da Zeichen für Sachen und umgekehrt genommen werden) liegt es, vornehmlich in Sachen der Vernunft, daß Menschen, die der Sprache nach einig sind, in Begriffen himmelweit von einander abstehen; welches nur zufälligerweise, wenn ein jeder nach dem seinigen handelt, offenbar wird.",1
5.384,"Die subjective allgemeine Mittheilbarkeit der Vorstellungsart in einem Geschmacksurtheile, da sie, ohne einen bestimmten Begriff vorauszusetzen, statt finden soll, kann nichts anders als der Gemüthszustand in dem freien Spiele der Einbildungskraft und des Verstandes (sofern sie unter einander, wie es zu einem Erkenntnisse überhaupt erforderlich ist, zusammen stimmen) sein, indem wir uns bewußt sind, daß dieses zum Erkenntniß überhaupt schickliche subjective Verhältniß eben so wohl für jedermann gelten und folglich allgemein mittheilbar sein müsse, als es eine jede bestimmte Erkenntniß ist, die doch immer auf jenem Verhältniß als subjectiver Bedingung beruht.",3
9.2374,"2) Die besondere Cultur der Gemüthskräfte. Hier kommt vor die Cultur des Erkenntnißvermögens, der Sinne, der Einbildungskraft, des Gedächtnisses, der Stärke der Aufmerksamkeit und des Witzes, was also die untern Kräfte des Verstandes betrifft. Von der Cultur der Sinne, z. E. des Augenmaßes, ist schon oben geredet worden. Was die Cultur der Einbildungskraft anlangt, so ist folgendes zu merken. Kinder haben eine ungemein starke Einbildungskraft, und sie braucht gar nicht erst durch Märchen mehr gespannt und extendirt zu werden. Sie muß vielmehr gezügelt und unter Regeln gebracht werden, aber doch muß man sie auch nicht ganz unbeschäftigt lassen.",5
5.593,"Die Geschicklichkeit der Menschen sich ihre Gedanken mitzutheilen erfordert auch ein Verhältniß der Einbildungskraft und des Verstandes, um den Begriffen Anschauungen und diesen wiederum Begriffe zuzugesellen, die in ein Erkenntniß zusammenfließen; aber alsdann ist die Zusammenstimmung beider Gemüthskräfte gesetzlich unter dem Zwange bestimmter Begriffe. Nur da, wo Einbildungskraft in ihrer Freiheit den Verstand erweckt, und dieser ohne Begriffe die Einbildungskraft in ein regelmäßiges Spiel versetzt: da theilt sich die Vorstellung, nicht als Gedanke, sondern als inneres Gefühl eines zweckmäßigen Zustandes des Gemüths, mit.",1
4.95,"Wollen wir die Receptivität unseres Gemüths, Vorstellungen zu empfangen, so fern es auf irgend eine Weise afficirt wird, Sinnlichkeit nennen, so ist dagegen das Vermögen, Vorstellungen selbst hervorzubringen, oder die Spontaneität des Erkenntnisses der Verstand. Unsre Natur bringt es so mit sich, daß die Anschauung niemals anders als sinnlich sein kann, d. i. nur die Art enthält, wie wir von Gegenständen afficirt werden. Dagegen ist das Vermögen, den Gegenstand sinnlicher Anschauung zu denken, der Verstand. Keine dieser Eigenschaften ist der andern vorzuziehen. Ohne Sinnlichkeit würde uns kein Gegenstand gegeben und ohne Verstand keiner gedacht werden. Gedanken ohne Inhalt sind leer, Anschauungen ohne Begriffe sind blind. Daher ist es eben so nothwendig, seine Begriffe sinnlich zu machen (d. i. ihnen den Gegenstand in der Anschauung beizufügen), als seine Anschauungen sich verständlich zu machen (d. i. sie unter Begriffe zu bringen). Beide Vermögen oder Fähigkeiten können auch ihre Functionen nicht vertauschen. Der Verstand vermag nichts anzuschauen und die Sinne nichts zu denken. Nur daraus, daß sie sich vereinigen, kann Erkenntniß entspringen. Deswegen darf man aber doch nicht ihren Antheil vermischen, sondern man hat große Ursache, jedes von dem andern sorgfältig abzusondern und zu unterscheiden. Daher unterscheiden wir die Wissenschaft der Regeln der Sinnlichkeit überhaupt, d. i. Ästhetik, von der Wissenschaft der Verstandesregeln überhaupt, d. i. der Logik.",1
3.992,"Dem logischen Princip der Gattungen, welches Identität postulirt, steht ein anderes, nämlich das der Arten, entgegen, welches Mannigfaltigkeit und Verschiedenheiten der Dinge unerachtet ihrer Übereinstimmung unter derselben Gattung bedarf und es dem Verstande zur Vorschrift macht, auf diese nicht weniger als auf jene aufmerksam zu sein. Dieser Grundsatz (der Scharfsinnigkeit oder des Unterscheidungsvermögens) schränkt den Leichtsinn des ersteren (des Witzes) sehr ein, und die Vernunft zeigt hier ein doppeltes, einander widerstreitendes Interesse, einerseits das Interesse des Umfanges (der Allgemeinheit) in Ansehung der Gattungen, andererseits des Inhalts (der Bestimmtheit) in Absicht auf die Mannigfaltigkeit der Arten, weil der Verstand im ersteren Falle zwar viel unter seinen Begriffen, im zweiten aber desto mehr in denselben denkt. Auch äußert sich dieses an der sehr verschiedenen Denkungsart der Naturforscher, deren einige (die vorzüglich speculativ sind), der Ungleichartigkeit gleichsam feind, immer auf die Einheit der Gattung hinaussehen, die anderen (vorzüglich empirische Köpfe) die Natur unaufhörlich in so viel Mannigfaltigkeit zu spalten suchen, daß man beinahe die Hoffnung aufgeben müßte, ihre Erscheinungen nach allgemeinen Principien zu beurtheilen.",4
7.542,"Der Verstand ist positiv und vertreibt die Finsterniß der Unwissenheit die Urtheilskraft mehr negativ zu Verhütung der Irrthümer aus dem dämmernden Lichte, darin die Gegenstände erscheinen. - Die Vernunft verstopft die Quelle der Irrthümer (die Vorurtheile) und sichert hiemit den Verstand durch die Allgemeinheit der Principien. - - Büchergelehrsamkeit vermehrt zwar die Kenntnisse, aber erweitert nicht den Begriff und die Einsicht, wo nicht Vernunft dazu kommt. Diese ist aber noch vom Vernünfteln, dem Spiel mit bloßen Versuchen im Gebrauche der Vernunft ohne ein Gesetz derselben, unterschieden. Wenn die Frage ist, ob ich Gespenster glauben soll, so kann ich über die Möglichkeit derselben auf allerlei Art vernünfteln; aber die Vernunft verbietet, abergläubisch, d. i. ohne ein Princip der Erklärung des Phänomens nach Erfahrungsgesetzen, die Möglichkeit desselben anzunehmen. Durch die große Verschiedenheit der Köpfe, in der Art wie sie eben dieselben Gegenstände, imgleichen sich untereinander ansehen, durch das Reiben derselben an einander und die Verbindung derselben sowohl als ihre Trennung bewirkt die Natur ein sehenswürdiges Schauspiel auf der Bühne der Beobachter und Denker von unendlich verschiedener Art. Für die Klasse der Denker können folgende Maximen (die als zur Weisheit führend bereits oben erwähnt worden) zu unwandelbaren Geboten gemacht werden:",2
3.131,"Wollen wir die Receptivität unseres Gemüths, Vorstellungen zu empfangen, so fern es auf irgend eine Weise afficirt wird, Sinnlichkeit nennen: so ist dagegen das Vermögen, Vorstellungen selbst hervorzubringen, oder die Spontaneität des Erkenntnisses der Verstand. Unsre Natur bringt es so mit sich, daß die Anschauung niemals anders als sinnlich sein kann, d. i. nur die Art enthält, wie wir von Gegenständen afficirt werden. Dagegen ist das Vermögen, den Gegenstand sinnlicher Anschauung zu denken, der Verstand. Keine dieser Eigenschaften ist der andern vorzuziehen. Ohne Sinnlichkeit würde uns kein Gegenstand gegeben und ohne Verstand keiner gedacht werden. Gedanken ohne Inhalt sind leer, Anschauungen ohne Begriffe sind blind. Daher ist es eben so nothwendig, seine Begriffe sinnlich zu machen (d. i. ihnen den Gegenstand in der Anschauung beizufügen), als seine Anschauungen sich verständlich zu machen (d. i. sie unter Begriffe zu bringen). Beide Vermögen oder Fähigkeiten können auch ihre Functionen nicht vertauschen. Der Verstand vermag nichts anzuschauen und die Sinne nichts zu denken. Nur daraus, daß sie sich vereinigen, kann Erkenntniß entspringen. Deswegen darf man aber doch nicht ihren Antheil vermischen, sondern man hat große Ursache, jedes von dem andern sorgfältig abzusondern und zu unterscheiden. Daher unterscheiden wir die Wissenschaft der Regeln der Sinnlichkeit überhaupt, d. i. Ästhetik, von der Wissenschaft der Verstandesregeln überhaupt, d. i. der Logik.",1
3.612,"Das Denken, für sich genommen, ist bloß die logische Function, mithin lauter Spontaneität der Verbindung des Mannigfaltigen einer bloß möglichen Anschauung und stellt das Subject des Bewußtseins keinesweges als Erscheinung dar, bloß darum weil es gar keine Rücksicht auf die Art der Anschauung nimmt, ob sie sinnlich oder intellectuell sei. Dadurch stelle ich mich mir selbst weder wie ich bin, noch wie ich mir er/scheine, vor, sondern ich denke mich nur wie ein jedes Object überhaupt, von dessen Art der Anschauung ich abstrahire. Wenn ich mich hier als Subject der Gedanken oder auch als Grund des Denkens vorstelle, so bedeuten diese Vorstellungsarten nicht die Kategorien der Substanz oder der Ursache, denn diese sind jene Functionen des Denkens (Urtheilens), schon auf unsere sinnliche Anschauung angewandt, welche freilich erfordert werden würde, wenn ich mich erkennen wollte. Nun will ich mich meiner aber nur als denkend bewußt werden; wie mein eigenes Selbst in der Anschauung gegeben sei, das setze ich bei Seite, und da könnte es mir, der ich denke, aber nicht so fern ich denke, bloß Erscheinung sein; im Bewußtsein meiner selbst beim bloßen Denken bin ich das Wesen selbst, von dem mir aber freilich dadurch noch nichts zum Denken gegeben ist.",4
5.453,"Wenn man das Resultat aus den obigen Zergliederungen zieht, so findet sich, daß alles auf den Begriff des Geschmacks herauslaufe: daß er ein Beurtheilungsvermögen eines Gegenstandes in Beziehung auf die freie Gesetzmäßigkeit der Einbildungskraft sei. Wenn nun im Geschmacksurtheile die Einbildungskraft in ihrer Freiheit betrachtet werden muß, so wird sie erstlich nicht reproductiv, wie sie den Associationsgesetzen unterworfen ist, sondern als productiv und selbstthätig (als Urheberin willkürlicher Formen möglicher Anschauungen) angenommen; und ob sie zwar bei der Auffassung eines gegebenen Gegenstandes der Sinne an eine bestimmte Form dieses Objects gebunden ist und sofern kein freies Spiel (wie im Dichten) hat, so läßt sich doch noch wohl begreifen: daß der Gegenstand ihr gerade eine solche Form an die Hand geben könne, die eine Zusammensetzung des Mannigfaltigen enthält, wie sie die Einbildungskraft, wenn sie sich selbst frei überlassen wäre, in Einstimmung mit der Verstandesgesetzmäßigkeit überhaupt entwerfen würde. Allein daß die Einbildungskraft frei und doch von selbst gesetzmäßig sei, d. i. daß sie eine Autonomie bei sich führe, ist ein Widerspruch. Der Verstand allein giebt das Gesetz. Wenn aber die Einbildungskraft nach einem bestimmten Gesetze zu verfahren genöthigt wird, so wird ihr Product der Form nach durch Begriffe bestimmt, wie es sein soll; aber alsdann ist das Wohlgefallen, wie oben gezeigt, nicht das am Schönen, sondern am Guten (der Vollkommenheit, allenfalls bloß der formalen), und das Urtheil ist kein Urtheil durch Geschmack. Es wird also eine Gesetzmäßigkeit ohne Gesetz und eine subjective Übereinstimmung der Einbildungskraft zum Verstande ohne eine objective, da die Vorstellung auf einen bestimmten Begriff von einem Gegenstande bezogen wird, mit der freien Gesetzmäßigkeit des Verstandes (welche auch Zweckmäßigkeit ohne Zweck genannt worden) und mit der Eigenthümlichkeit eines Geschmacksurtheils allein zusammen bestehen können.",3
