ID,Absatz,Sprachlichkeit
7.447,"Art der Gedankenbezeichnung ist die durch Sprache, dieses größte Mittel, sich selbst und andere zu verstehen. Denken ist Reden mit sich selbst (die Indianer auf Otaheite nennen das Denken: die Sprache im Bauch), folglich sich auch innerlich (durch reproductive Einbildungskraft) Hören. Dem Taubgebornen ist sein Sprechen ein Gefühl des Spiels seiner Lippen, Zunge und Kinnbackens, und es ist kaum möglich, sich vorzustellen, daß er bei seinem Sprechen etwas mehr thue als ein Spiel mit körperlichen Gefühlen zu treiben, ohne eigentliche Begriffe zu haben und zu denken. Aber auch die, so sprechen und hören können, verstehen darum nicht immer sich selbst oder Andere, und an dem Mangel des Bezeichnungsvermögens, oder dem fehlerhaften Gebrauch desselben (da Zeichen für Sachen und umgekehrt genommen werden) liegt es, vornehmlich in Sachen der Vernunft, daß Menschen, die der Sprache nach einig sind, in Begriffen himmelweit von einander abstehen; welches nur zufälligerweise, wenn ein jeder nach dem seinigen handelt, offenbar wird.",1
7.739,"Wenn man unter dieser Benennung überhaupt das versteht, wessen man sich zu ihm sicher zu versehen hat, es mag Gutes oder Schlimmes sein, so pflegt man dazu zu setzen: er hat diesen oder jenen Charakter, und dann bezeichnet der Ausdruck die Sinnesart. - Einen Charakter aber schlechthin zu haben, bedeutet diejenige Eigenschaft des Willens, nach welcher das Subject sich selbst an bestimmte praktische Principien bindet, die er sich durch seine eigene Vernunft unabänderlich vorgeschrieben hat. Ob nun zwar diese Grundsätze auch bisweilen falsch und fehlerhaft sein dürften, so hat doch das Formelle des Wollens überhaupt, nach festen Grundsätzen zu handeln (nicht wie in einem Mückenschwarm bald hiehin bald dahin abzuspringen), etwas Schätzbares und Bewundernswürdiges in sich; wie es denn auch etwas Seltenes ist.",3
7.290,Von der Sinnlichkeit im Gegensatz mit dem Verstande.,0
9.204,"Einen Theil der Philologie machen die Humaniora aus, worunter man die Kenntniß der Alten versteht, welche die Vereinigung der Wissenschaft mit Geschmack befördert, die Rauhigkeit abschleift und die Communicabilität und Urbanität, worin Humanität besteht, befördert.",4
7.101,Allgemeine Anmerkung. Von Religionssecten.,0
7.710,"In pragmatischer Rücksicht bedient sich die allgemeine, natürliche (nicht bürgerliche) Zeichenlehre ( semiotica universalis ) des Worts Charakter in zwiefacher Bedeutung, da man theils sagt: ein gewisser Mensch hat diesen oder jenen (physischen) Charakter, theils: er hat überhaupt einen Charakter (einen moralischen), der nur ein einziger, oder gar keiner sein kann. Das erste ist das Unterscheidungszeichen des Menschen als eines sinnlichen oder Naturwesens; das zweite desselben als eines vernünftigen, mit Freiheit begabten Wesens. Der Mann von Grundsätzen, von dem man sicher weiß, wessen man sich nicht etwa von seinem Instinct, sondern von seinem Willen zu versehen hat, hat einen Charakter. - Daher kann man in der Charakteristik ohne Tautologie in dem, was zu seinem Begehrungsvermögen gehört (praktisch ist), das Charakteristische in a) Naturell oder Naturanlage, b) Temperament oder Sinnesart und c) Charakter schlechthin oder Denkungsart eintheilen. - Die beiden ersteren Anlagen zeigen an, was sich aus dem Menschen machen läßt; die zweite (moralische), was er aus sich selbst zu machen bereit ist.",0
7.335,"Die Sinne von der ersteren Classe sind 1) der der Betastung ( tactus ), 2) des Gesichts ( visus ), 3) des Gehörs ( auditus ). - Von der zweiten a) des Geschmacks ( gustus ), b) des Geruchs ( olfactus ); insgesammt lauter Sinne der Organempfindung, gleichsam so vieler äußerer, von der Natur für das Thier zum Unterscheiden der Gegenstände zubereiteten Eingänge.",6
7.592,"§ 70. Gesittet, wohlanständig, manierlich, geschliffen (mit Abstoßung der Rauhigkeit) zu sein, ist doch nur die negative Bedingung des Geschmacks. Die Vorstellung dieser Eigenschaften in der Einbildungskraft kann eine äußerlich intuitive Vorstellungsart eines Gegenstandes oder seiner eigenen Person mit Geschmack sein, aber nur für zwei Sinne, für das Gehör und Gesicht. Musik und bildende Kunst (Malerei, Bildhauer-, Bau- und Gartenkunst) machen Ansprüche auf Geschmack als Empfänglichkeit eines Gefühls der Lust für die bloßen Formen äußerer Anschauung, erstere in Ansehung des Gehörs, die andere des Gesichts. Dagegen enthält die discursive Vorstellungsart durch laute Sprache oder durch Schrift zwei Künste, darin der Geschmack sich zeigen kann: die Beredsamkeit und Dichtkunst.",2
2.470,"Derjenige, so zuerst das Frauenzimmer unter dem Namen des schönen Geschlechts begriffen hat, kann vielleicht etwas Schmeichelhaftes haben sagen wollen, aber er hat es besser getroffen, als er wohl selbst geglaubt haben mag. Denn ohne in Erwägung zu ziehen, daß ihre Gestalt überhaupt feiner, ihre Züge zärter und sanfter, ihre Miene im Ausdrucke der Freundlichkeit, des Scherzes und der Leutseligkeit bedeutender und einnehmender ist, als bei dem männlichen Geschlecht, ohne auch dasjenige zu vergessen, was man für die geheime Zauberkraft abrechnen muß, wodurch sie unsere Leidenschaft zum vortheilhaften Urtheile für sie geneigt machen, so liegen vornehmlich in dem Gemüthscharakter dieses Geschlechts eigenthümliche Züge, die es von dem unseren deutlich unterscheiden und die darauf hauptsächlich hinauslaufen, sie durch das Merkmal des Schönen kenntlich zu machen. Andererseits könnten wir auf die Benennung des edlen Geschlechts Anspruch machen, wenn es nicht auch von einer edlen Gemüthsart erfordert würde, Ehrennamen abzulehnen und sie lieber zu ertheilen als zu empfangen. Hiedurch wird nun nicht verstanden: daß das Frauenzimmer edeler Eigenschaften ermangelte, oder das männliche Geschlecht der Schönheiten gänzlich entbehren müßte, vielmehr erwartet man, daß ein jedes Geschlecht beide vereinbare, doch so, daß von einem Frauenzimmer alle andere Vorzüge sich nur dazu vereinigen sollen, um den Charakter des Schönen zu erhöhen, welcher der eigentliche Beziehungspunkt ist, und dagegen unter den männlichen Eigenschaften das Erhabene als das Kennzeichen seiner Art deutlich hervorsteche. Hierauf müssen alle Urtheile von diesen zwei Gattungen, sowohl die rühmliche als die des Tadels, sich beziehen, alle Erziehung und Unterweisung muß dieses vor Augen haben und alle Bemühung, die sittliche Vollkommenheit des einen oder des andern zu befördern, wo man nicht den reizenden Unterschied unkenntlich machen will, den die Natur zwischen zwei Menschengattungen hat treffen wollen. Denn es ist hier nicht genug sich vorzustellen, daß man Menschen vor sich habe, man muß zugleich nicht aus der Acht lassen, daß diese Menschen nicht von einerlei Art sind. Das Frauenzimmer hat ein angebornes stärkeres Gefühl für alles, was schön, zierlich und geschmückt ist. Schon in der Kindheit sind sie gerne geputzt und gefallen sich, wenn sie geziert sind. Sie sind reinlich und sehr zärtlich in Ansehung alles dessen, was Ekel verursacht. Sie lieben den Scherz und können durch Kleinigkeiten, wenn sie nur munter und lachend sind, unterhalten werden. Sie haben sehr früh ein sittsames Wesen an sich, wissen sich einen feinen Anstand zu geben und besitzen sich selbst; und dieses in einem Alter, wenn unsere wohlerzogene männliche Jugend noch unbändig, tölpisch und verlegen ist. Sie haben viel theilnehmende Empfindungen, Gutherzigkeit und Mitleiden, ziehen das Schöne dem Nützlichen vor und werden den Überfluß des Unterhalts gerne in Sparsamkeit verwandeln, um den Aufwand auf das Schimmernde und den Putz zu unterstützen. Sie sind von sehr zärtlicher Empfindung in Ansehung der mindesten Beleidigung und überaus fein, den geringsten Mangel der Aufmerksamkeit und Achtung gegen sie zu bemerken. Kurz, sie enthalten in der menschlichen Natur den Hauptgrund der Abstechung der schönen Eigenschaften mit den edelen und verfeinern selbst das männliche Geschlecht.",5
7.271,"Das Aufmerken ( attentio ) auf sich selbst, wenn man mit Menschen zu thun hat, ist zwar nothwendig, muß aber im Umgange nicht sichtbar werden; denn da macht es entweder genirt (verlegen) oder affectirt (geschroben). Das Gegentheil von beiden ist die Ungezwungenheit (das air dçgagç ): ein Vertrauen zu sich selbst von Andern in seinem Anstande nicht nachtheilig beurtheilt zu werden. Der, welcher sich so stellt, als ob er sich vor dem Spiegel beurtheilen wolle, wie es ihm lasse, oder so spricht, als ob er sich (nicht blos als ob ein Anderer ihn) sprechen höre, ist eine Art von Schauspieler. Er will repräsentiren und erkünstelt einen Schein von seiner eigenen Person; wodurch, wenn man diese Bemühung an ihm wahrnimmt, er im Urtheil Anderer einbüßt, weil sie den Verdacht einer Absicht zu betrügen erregt. - Man nennt die Freimüthigkeit in der Manier sich äußerlich zu zeigen, die zu keinem solchen Verdacht Anlaß giebt, das natürliche Betragen (welches darum doch nicht alle schöne Kunst und Geschmacks-Bildung ausschließt), und es gefällt durch die bloße Wahrhaftigkeit in Äußerungen. Wo aber zugleich Offenherzigkeit aus Einfalt, d. i. aus Mangel einer schon zur Regel gewordenen Verstellungskunst, aus der Sprache hervorblickt, da heißt sie Naivetät.",4
