ID,Absatz
,Determinismus
4.1037,Die Heteronomie des Willens als der Quell aller unächten Principien der Sittlichkeit.
4.1066,Wie ist ein kategorischer Imperativ möglich?
5.967,§ 89. Von dem Nutzen des moralischen Arguments.
3.125,Beschluß der transscendentalen Ästhetik.
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:"
3.650,Der Antinomie der reinen Vernunft Erster Widerstreit der transscendentalen Ideen.
3.427,Widerlegung des Idealismus.
4.511,"Zweiter Paralogism, der Simplicität."
6.225,"Die wahre, alleinige Religion enthält nichts als Gesetze, d. i. solche praktische Principien, deren unbedingter Nothwendigkeit wir uns bewußt werden können, die wir also als durch reine Vernunft (nicht empirisch) offenbart anerkennen. Nur zum Behuf einer Kirche, deren es verschiedene gleich gute Formen geben kann, kann es Statuten, d. i. für göttlich gehaltene Verordnungen, geben, die für unsere reine moralische Beurtheilung willkürlich und zufällig sind. Diesen statutarischen Glauben nun (der allenfalls auf ein Volk eingeschränkt ist und nicht die allgemeine Weltreligion enthalten kann) für wesentlich zum Dienste Gottes überhaupt zu halten und ihn zur obersten Bedingung des göttlichen Wohlgefallens am Menschen zu machen, ist ein Religionswahn *) , dessen Befolgung ein Afterdienst, d. i. eine solche vermeintliche Verehrung Gottes ist, wodurch dem wahren, von ihm selbst geforderten Dienste gerade entgegen gehandelt wird."
6.228,§ 2. Das dem Religionswahne entgegengesetzte moralische Princip der Religion.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
5.67,"Die Autonomie des Willens ist das alleinige Princip aller moralischen Gesetze und der ihnen gemäßen Pflichten: alle Heteronomie der Willkür gründet dagegen nicht allein gar keine Verbindlichkeit, sondern ist vielmehr dem Princip derselben und der Sittlichkeit des Willens entgegen. In der Unabhängigkeit nämlich von aller Materie des Gesetzes (nämlich einem begehrten Objecte) und zugleich doch Bestimmung der Willkür durch die bloße allgemeine gesetzgebende Form, deren eine Maxime fähig sein muß, besteht das alleinige Princip der Sittlichkeit. Jene Unabhängigkeit aber ist Freiheit im negativen, diese eigene Gesetzgebung aber der reinen und als solche praktischen Vernunft ist Freiheit im positiven Verstande. Also drückt das moralische Gesetz nichts anders aus, als die Autonomie der reinen praktischen Vernunft, d. i. der Freiheit, und diese ist selbst die formale Bedingung aller Maximen, unter der sie allein mit dem obersten praktischen Gesetze zusammenstimmen können. Wenn daher die Materie des wollens, welche nichts anders als das Object einer Begierde sein kann, die mit dem Gesetz verbunden wird, in das praktische Gesetz als Bedingung der Möglichkeit desselben hineinkommt, so wird daraus Heteronomie der Willkür, nämlich Abhängigkeit vom Naturgesetze, irgend einem Antriebe oder Neigung zu folgen, und der Wille giebt sich nicht selbst das Gesetz, sondern nur die Vorschrift zur vernünftigen Befolgung pathologischer Gesetze; die Maxime aber, die auf solche Weise niemals die allgemein-gesetzgebende Form in sich enthalten kann, stiftet auf diese Weise nicht allein keine Verbindlichkeit, sondern ist selbst dem Princip einer reinen praktischen Vernunft, hiemit also auch der sittlichen Gesinnung entgegen, wenn gleich die Handlung, die daraus entspringt, gesetzmäßig sein sollte."
