ID,Absatz
,Determinismus
1.960,Adstructio realitatis definitionis.
2.761,SECTIO V. De methodo circa sensitiva et intellectualia in metaphysicis.
1.998,"Instantiarum confutatio, quas indifferentiae aequilibrii defensores in subsidium vocant."
1.957,"SECTIO II. De principio rationis determinantis, vulgo sufficientis."
1.921,Naturam aeris et principii in ipso elastici causam indagare.
6.1101,Casuistische Fragen.
6.1083,Casuistische Fragen.
6.1003,Casuistische Fragen.
6.990,Casuistische Fragen.
6.981,Casuistische Fragen.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
4.1048,"Der Wille ist eine Art von Causalität lebender Wesen, so fern sie vernünftig sind, und Freiheit würde diejenige Eigenschaft dieser Causalität sein, da sie unabhängig von fremden sie bestimmenden Ursachen wirkend sein kann: so wie Naturnothwendigkeit die Eigenschaft der Causalität aller vernunftlosen Wesen, durch den Einfluß fremder Ursachen zur Thätigkeit bestimmt zu werden."
5.214,"Das moralische Gesetz führte in der vorhergehenden Zergliederung zur praktischen Aufgabe, welche ohne allen Beitritt sinnlicher Triebfedern, blos durch reine Vernunft vorgeschrieben wird, nämlich der nothwendigen Vollständigkeit des ersten und vornehmsten Theils des höchsten Guts, der Sittlichkeit, und, da diese nur in einer Ewigkeit völlig aufgelöset werden kann, zum Postulat der Unsterblichkeit. Eben dieses Gesetz muß auch zur Möglichkeit des zweiten Elements des höchsten Guts, nämlich der jener Sittlichkeit angemessenen Glückseligkeit, eben so uneigennützig wie vorher, aus bloßer unparteiischer Vernunft, nämlich auf die Voraussetzung des Daseins einer dieser Wirkung adäquaten Ursache führen, d. i. die Existenz Gottes, als zur Möglichkeit des höchsten Guts (welches Object unseres Willens mit der moralischen Gesetzgebung der reinen Vernunft nothwendig verbunden ist) nothwendig gehörig, postuliren. Wir wollen diesen Zusammenhang überzeugend darstellen."
6.499,"Aber die transscendentale Deduction des Begriffs der Erwerbung durch Vertrag kann allein alle diese Schwierigkeiten heben. In einem rechtlichen äußeren Verhältnisse wird meine Besitznehmung der Willkür eines Anderen (und so wechselseitig), als Bestimmungsgrund desselben zu einer That, zwar erst empirisch durch Erklärung und Gegenerklärung der Willkür eines jeden von beiden in der Zeit, als sinnlicher Bedingung der Apprehension, gedacht, wo beide rechtliche Acte immer nur auf einander folgen: weil jenes Verhältniß (als ein rechtliches) rein intellectuell ist, durch den Willen als ein gesetzgebendes Vernunftvermögen jener Besitz als ein intelligibeler ( possessio noumenon ) nach Freiheitsbegriffen mit Abstraction von jenen empirischen Bedingungen als das Mein oder Dein vorgestellt; wo beide Acte, des Versprechens und der Annehmung, nicht als aufeinander folgend, sondern (gleich als pactum re initum ) aus einem einzigen gemeinsamen Willen hervorgehend (welches durch das Wort zugleich ausgedrückt wird) und der Gegenstand ( promissum ) durch Weglassung der empirischen Bedingungen nach dem Gesetz der reinen praktischen Vernunft als erworben vorgestellt wird."
6.475,"Die bürgerliche Verfassung, obzwar ihre Wirklichkeit subjectiv zufällig ist, ist gleichwohl objectiv, d. i. als Pflicht, nothwendig. Mithin giebt es in Hinsicht auf dieselbe und ihre Stiftung ein wirkliches Rechtsgesetz der Natur, dem alle äußere Erwerbung unterworfen ist."
6.317,Verbindlichkeit ist die Nothwendigkeit einer freien Handlung unter einem kategorischen Imperativ der Vernunft.
4.1064,"Als ein vernünftiges, mithin zur intelligibelen Welt gehöriges Wesen kann der Mensch die Causalität seines eigenen Willens niemals anders als unter der Idee der Freiheit denken; denn Unabhängigkeit von den bestimmenden Ursachen der Sinnenwelt (dergleichen die Vernunft jederzeit sich selbst beilegen muß) ist Freiheit. Mit der Idee der Freiheit ist nun der Begriff der Autonomie unzertrennlich verbunden, mit diesem aber das allgemeine Princip der Sittlichkeit, welches in der Idee allen Handlungen vernünftiger Wesen eben so zum Grunde liegt, als das Naturgesetz allen Erscheinungen."
6.315,"Auf diesem (in praktischer Rücksicht) positiven Begriffe der Freiheit gründen sich unbedingte praktische Gesetze, welche moralisch heißen, die in Ansehung Unser, deren Willkür sinnlich afficirt und so dem reinen Willen nicht von selbst angemessen, sondern oft widerstrebend ist, Imperativen (Gebote oder Verbote) und zwar kategorische (unbedingte) Imperativen sind, wodurch sie sich von den technischen (den Kunst-Vorschriften), als die jederzeit nur bedingt gebieten, unterscheiden, nach denen gewisse Handlungen erlaubt oder unerlaubt, d. i. moralisch möglich oder unmöglich, einige derselben aber, oder ihr Gegentheil moralisch nothwendig, d. i. verbindlich, sind, woraus dann für jene der Begriff einer Pflicht entspringt, deren Befolgung oder Übertretung zwar auch mit einer Lust oder Unlust von besonderer Art (der eines moralischen Gefühls) verbunden ist, auf welche wir aber [ weil sie nicht den Grund der praktischen Gesetze, sondern nur die subjective Wirkung im Gemüth bei der Bestimmung unserer Willkür durch jene betreffen und (ohne jener ihrer Gültigkeit oder Einflusse objectiv, d. i. im Urtheil der Vernunft, etwas hinzuzuthun oder zu benehmen) nach Verschiedenheit der Subjecte verschieden sein kann ] in praktischen Gesetzen der Vernunft gar nicht Rücksicht nehmen."
5.226,"Diese Postulate sind die der Unsterblichkeit, der Freiheit, positiv betrachtet (als der Causalität eines Wesens, so fern es zur intelligibelen Welt gehört), und des Daseins Gottes. Das erste fließt aus der praktisch nothwendigen Bedingung der Angemessenheit der Dauer zur Vollständigkeit der Erfüllung des moralischen Gesetzes; das zweite aus der nothwendigen Voraussetzung der Unabhängigkeit von der Sinnenwelt und des Vermögens der Bestimmung seines Willens nach dem Gesetze einer intelligibelen Welt, d. i. der Freiheit; das dritte aus der Nothwendigkeit der Bedingung zu einer solchen intelligibelen Welt, um das höchste Gut zu sein, durch die Voraussetzung des höchsten selbstständigen Guts, d. i. des Daseins Gottes."
6.308,"Man nennt die bloße Übereinstimmung oder Nichtübereinstimmung einer Handlung mit dem Gesetze ohne Rücksicht auf die Triebfeder derselben die Legalität (Gesetzmäßigkeit), diejenige aber, in welcher die Idee der Pflicht aus dem Gesetze zugleich die Triebfeder der Handlung ist, die Moralität (Sittlichkeit) derselben."
