ID,Absatz
,Determinismus
3.739,Auf der Seite des Empirismus in Bestimmung der kosmologischen Ideen oder der Antithesis findet sich
3.427,Widerlegung des Idealismus.
7.753,Von der Physiognomik.
7.756,Von der Leitung der Natur zur Physiognomik.
6.313,( Philosophia practica universalis. )
4.647,Wie sind synthetische Sätze a priori möglich?
3.596,Widerlegung des Mendelssohnschen Beweises der Beharrlichkeit der Seele.
8.616,A. Von den physischen Ursachen der Philosophie des Menschen.
6.779,Die Metaphysik der Sitten. Abgefaßt von Immanuel Kant.
8.618,Von der physischen Wirkung der Philosophie.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
4.1035,Die Autonomie des Willens als oberstes Princip der Sittlichkeit.
6.1050,Also sind alle Pflichten gegen sich selbst in Ansehung des Zwecks der Menschheit in unserer eigenen Person nur unvollkommene Pflichten.
6.1042,"Die Pflicht des Menschen gegen sich selbst in Ansehung seiner physischen Vollkommenheit ist aber nur weite und unvollkommene Pflicht: weil sie zwar ein Gesetz für die Maxime der Handlungen enthält, in Ansehung der Handlungen selbst aber ihrer Art und ihrem Grade nach nichts bestimmt, sondern der freien Willkür einen Spielraum verstattet."
4.1071,"Alle Menschen denken sich dem Willen nach als frei. Daher kommen alle Urtheile über Handlungen als solche, die hätten geschehen sollen, ob sie gleich nicht geschehen sind. Gleichwohl ist diese Freiheit kein Erfahrungsbegriff und kann es auch nicht sein, weil er immer bleibt, obgleich die Erfahrung das Gegentheil von denjenigen Forderungen zeigt, die unter Voraussetzung derselben als nothwendig vorgestellt werden. Auf der anderen Seite ist es eben so nothwendig, daß alles, was geschieht, nach Naturgesetzen unausbleiblich bestimmt sei, und diese Naturnothwendigkeit ist auch kein Erfahrungsbegriff, eben darum weil er den Begriff der Nothwendigkeit, mithin einer Erkenntniß a priori bei sich führt. Aber dieser Begriff von einer Natur wird durch Erfahrung bestätigt und muß selbst unvermeidlich vorausgesetzt werden, wenn Erfahrung, d. i. nach allgemeinen Gesetzen zusammenhängende Erkenntniß der Gegenstände der Sinne, möglich sein soll. Daher ist Freiheit nur eine Idee der Vernunft, deren objective Realität an sich zweifelhaft ist, Natur aber ein Verstandesbegriff, der seine Realität an Beispielen der Erfahrung beweiset und nothwendig beweisen muß."
4.1080,"Denn wir können nichts erklären, als was wir auf Gesetze zurückführen können, deren Gegenstand in irgend einer möglichen Erfahrung gegeben werden kann. Freiheit aber ist eine bloße Idee, deren objective Realität auf keine Weise nach Naturgesetzen, mithin auch nicht in irgend einer möglichen Erfahrung dargethan werden kann, die also darum, weil ihr selbst niemals nach irgend einer Analogie ein Beispiel untergelegt werden mag, niemals begriffen, oder auch nur eingesehen werden kann. Sie gilt nur als nothwendige Voraussetzung der Vernunft in einem Wesen, das sich eines Willens, d. i. eines vom bloßen Begehrungsvermögen noch verschiedenen Vermögens, (nämlich sich zum Handeln als Intelligenz, mithin nach Gesetzen der Vernunft unabhängig von Naturinstincten zu bestimmen) bewußt zu sein glaubt. Wo aber Bestimmung nach Naturgesetzen aufhört, da hört auch alle Erklärung auf, und es bleibt nichts übrig als Vertheidigung, d. i. Abtreibung der Einwürfe derer, die tiefer in das Wesen der Dinge geschaut zu haben vorgeben und darum die Freiheit dreust für unmöglich erklären. Man kann ihnen nur zeigen, daß der vermeintlich von ihnen darin entdeckte Widerspruch nirgend anders liege als darin, daß, da sie, um das Naturgesetz in Ansehung menschlicher Handlungen geltend zu machen, den Menschen nothwendig als Erscheinung betrachten mußten und nun, da man von ihnen fordert, daß sie ihn als Intelligenz auch als Ding an sich selbst denken sollten, sie ihn immer auch da noch als Erscheinung betrachten, wo denn freilich die Absonderung seiner Causalität (d. i. seines Willens) von allen Naturgesetzen der Sinnenwelt in einem und demselben Subjecte im Widerspruche stehen würde, welcher aber wegfällt, wenn sie sich besinnen und wie billig eingestehen wollten, daß hinter den Erscheinungen doch die Sachen an sich selbst (obzwar verborgen) zum Grunde liegen müssen, von deren Wirkungsgesetzen man nicht verlangen kann, daß sie mit denen einerlei sein sollten, unter denen ihre Erscheinungen stehen."
6.398,"Von der Eintheilung der Moral, als eines Systems der Pflichten überhaupt."
6.348,"Das Recht ist also der Inbegriff der Bedingungen, unter denen die Willkür des einen mit der Willkür des andern nach einem allgemeinen Gesetze der Freiheit zusammen vereinigt werden kann."
4.1047,Der Begriff der Freiheit ist der Schlüssel zur Erklärung der Autonomie des Willens.
6.1047,"Diese Pflicht gegen sich selbst ist eine der Qualität nach enge und vollkommene, obgleich dem Grade nach weite und unvollkommene Pflicht und das wegen der Gebrechlichkeit ( fragilitas ) der menschlichen Natur."
6.882,2) Tugend ist die Beobachtung der Mittelstraße zwischen entgegengesetzten Lastern.
,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
7.794,Pragmatische Folgerungen.
4.1066,Wie ist ein kategorischer Imperativ möglich?
