ID,Absatz
,Determinismus
9.1776,Amphibien.
1.943,MONITUM.
9.2218,Abyssinien.
3.713,Antithesis.
3.693,Antithesis.
3.672,Antithesis.
3.651,Antithesis.
1.936,Conclusio.
7.759,Eintheilung der Physiognomik.
1.893,Experientia.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
6.317,Verbindlichkeit ist die Nothwendigkeit einer freien Handlung unter einem kategorischen Imperativ der Vernunft.
6.1047,"Diese Pflicht gegen sich selbst ist eine der Qualität nach enge und vollkommene, obgleich dem Grade nach weite und unvollkommene Pflicht und das wegen der Gebrechlichkeit ( fragilitas ) der menschlichen Natur."
6.475,"Die bürgerliche Verfassung, obzwar ihre Wirklichkeit subjectiv zufällig ist, ist gleichwohl objectiv, d. i. als Pflicht, nothwendig. Mithin giebt es in Hinsicht auf dieselbe und ihre Stiftung ein wirkliches Rechtsgesetz der Natur, dem alle äußere Erwerbung unterworfen ist."
4.1048,"Der Wille ist eine Art von Causalität lebender Wesen, so fern sie vernünftig sind, und Freiheit würde diejenige Eigenschaft dieser Causalität sein, da sie unabhängig von fremden sie bestimmenden Ursachen wirkend sein kann: so wie Naturnothwendigkeit die Eigenschaft der Causalität aller vernunftlosen Wesen, durch den Einfluß fremder Ursachen zur Thätigkeit bestimmt zu werden."
6.1042,"Die Pflicht des Menschen gegen sich selbst in Ansehung seiner physischen Vollkommenheit ist aber nur weite und unvollkommene Pflicht: weil sie zwar ein Gesetz für die Maxime der Handlungen enthält, in Ansehung der Handlungen selbst aber ihrer Art und ihrem Grade nach nichts bestimmt, sondern der freien Willkür einen Spielraum verstattet."
4.1035,Die Autonomie des Willens als oberstes Princip der Sittlichkeit.
5.35,"Alle materiale praktische Principien sind, als solche, insgesammt von einer und derselben Art und gehören unter das allgemeine Princip der Selbstliebe oder eigenen Glückseligkeit."
4.1064,"Als ein vernünftiges, mithin zur intelligibelen Welt gehöriges Wesen kann der Mensch die Causalität seines eigenen Willens niemals anders als unter der Idee der Freiheit denken; denn Unabhängigkeit von den bestimmenden Ursachen der Sinnenwelt (dergleichen die Vernunft jederzeit sich selbst beilegen muß) ist Freiheit. Mit der Idee der Freiheit ist nun der Begriff der Autonomie unzertrennlich verbunden, mit diesem aber das allgemeine Princip der Sittlichkeit, welches in der Idee allen Handlungen vernünftiger Wesen eben so zum Grunde liegt, als das Naturgesetz allen Erscheinungen."
6.794,"Nun ist das Vermögen und der überlegte Vorsatz einem starken, aber ungerechten Gegner Widerstand zu thun die Tapferkeit ( fortitudo ) und in Ansehung des Gegners der sittlichen Gesinnung in uns Tugend ( virtus, fortitudo moralis ). Also ist die allgemeine Pflichtenlehre in dem Theil, der nicht die äußere Freiheit, sondern die innere unter Gesetze bringt, eine Tugendlehre."
6.308,"Man nennt die bloße Übereinstimmung oder Nichtübereinstimmung einer Handlung mit dem Gesetze ohne Rücksicht auf die Triebfeder derselben die Legalität (Gesetzmäßigkeit), diejenige aber, in welcher die Idee der Pflicht aus dem Gesetze zugleich die Triebfeder der Handlung ist, die Moralität (Sittlichkeit) derselben."
,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
6.317,Verbindlichkeit ist die Nothwendigkeit einer freien Handlung unter einem kategorischen Imperativ der Vernunft.
9.631,"§. 61. Eigenthümlicher Unterschied zwischen kategorischen, hypothetischen und disjunctiven Vernunftschlüssen."
8.623,Von der wirklichen Vereinbarkeit der kritischen Philosophie mit einem beharrlichen Friedenszustande derselben.
