ID,Absatz
,Determinismus
3.875,( Prototypon transscendentale ).
2.820,"Aufsätze, das Philanthropin betreffend."
9.795,§. 109. Regeln zu Verfertigung der Definitionen.
9.1675,D. Vierklauichte Thiere.
9.573,§. 45. Modi der Verstandesschlüsse.
5.939,§ 86. Von der Ethikotheologie.
5.927,§ 85. Von der Physikotheologie.
9.575,§. 46. 1. Verstandesschlüsse (in Beziehung auf die Quantität der Urtheile) per judicia subalternata.
9.1939,"Die Calabassenbäume in Afrika und Indien tragen eine Frucht, die, von einander geschnitten, gute Kochtöpfe und nach Wegnehmung des Halses gute Geschirre abgiebt."
9.789,§. 108. Regeln zu Prüfung der Definitionen.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
6.1072,"Eintheilung der Liebespflichten. Sie sind: A) Pflichten der Wohlthätigkeit, B) der Dankbarkeit, C) der Theilnehmung."
6.767,"Religion (in der Erscheinung), als Glaube an die Satzungen der Kirche und die Macht der Priester als Aristokraten einer solchen Verfassung, oder auch, wenn diese monarchisch (päpstlich) ist, kann von keiner staatsbürgerlichen Gewalt dem Volke weder aufgedrungen, noch genommen werden, noch auch (wie es wohl in Großbritannien mit der irländischen Nation gehalten wird) der Staatsbürger wegen einer von des Hofes seiner unterschiedenen Religion von den Staatsdiensten und den Vortheilen, die ihm dadurch erwachsen, ausgeschlossen werden."
7.92,"III. Das Thun muß als aus des Menschen eigenem Gebrauch seiner moralischen Kräfte entspringend und nicht als Wirkung vom Einfluß einer äußeren höheren wirkenden Ursache, in Ansehung deren der Mensch sich leidend verhielte, vorgestellt werden; die Auslegung der Schriftstellen welche buchstäblich das letztere zu enthalten scheinen, muß also auf die Übereinstimmung mit dem ersteren Grundsatze absichtlich gerichtet werden."
4.1310,"Die Benennung der Trägheitskraft ( vis inertiae ) muß also unerachtet des berühmten Namens ihres Urhebers aus der Naturwissenschaft gänzlich weggeschafft werden, nicht allein weil sie einen Widerspruch im Ausdrucke selbst bei sich führt, oder auch deswegen weil das Gesetz der Trägheit (Leblosigkeit) dadurch leicht mit dem Gesetze der Gegenwirkung in jeder mitgetheilten Bewegung verwechselt werden könnte, sondern vornehmlich weil dadurch die irrige Vorstellung derer, die der mechanischen Gesetze nicht recht kundig sind, erhalten und bestärkt wird, nach welcher die Gegenwirkung der Körper, von der unter dem Namen der Trägheitskraft die Rede ist, darin bestehe, daß die Bewegung dadurch in der Welt aufgezehrt, vermindert oder vertilgt, nicht aber die bloße Mittheilung derselben dadurch bewirkt werde, indem nämlich der bewegende Körper einen Theil seiner Bewegung blos dazu aufwenden müßte, um die Trägheit des ruhenden zu überwinden (welches denn reiner Verlust wäre), mit dem übrigen Theile allein könne er den letzteren in Bewegung setzen; bliebe ihm aber nichts übrig, so würde er durch seinen Sto den letzteren seiner großen Masse wegen gar nicht in Bewegung bringen. Einer Bewegung kann nichts widerstehen, als entgegengesetzte Bewegung eines anderen, keinesweges aber dessen Ruhe. Hier ist also nicht Trägheit der Materie, d. i. bloßes Unvermögen sich von selbst zu bewegen, die Ursache eines Widerstandes. Eine besondere, ganz eigenthümliche Kraft, blos um zu widerstehen, ohne einen Körper bewegen zu können, wäre unter dem Namen einer Trägheitskraft ein Wort ohne alle Bedeutung. Man könnte also die drei Gesetze der allgemeinen Mechanik schicklicher so benennen: das Gesetz der Selbstständigkeit, der Trägheit und der Gegenwirkung der Materien ( lex Subsistentiae, Inertiae et Antagonismi ) bei allen ihren Veränderungen derselben. Daß diese, mithin die gesammten Lehrsätze gegenwärtiger Wissenschaft den Kategorien der Substanz, der Causalität und der Gemeinschaft, so fern diese Begriffe auf Materie angewandt werden, genau antworten, bedarf keiner weiteren Erörterung."
