ID,Absatz
,Determinismus
1.926,Observationum barometricarum cum hypothesi consensus.
3.651,Antithesis.
3.672,Antithesis.
3.693,Antithesis.
3.713,Antithesis.
1.942,SECTIO I. De principio contradictionis.
1.994,Additamenta problematis IX.
1.889,Corollarium generale.
1.989,Confutatio dubiorum.
4.609,Prolegomena.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
7.592,"§ 70. Gesittet, wohlanständig, manierlich, geschliffen (mit Abstoßung der Rauhigkeit) zu sein, ist doch nur die negative Bedingung des Geschmacks. Die Vorstellung dieser Eigenschaften in der Einbildungskraft kann eine äußerlich intuitive Vorstellungsart eines Gegenstandes oder seiner eigenen Person mit Geschmack sein, aber nur für zwei Sinne, für das Gehör und Gesicht. Musik und bildende Kunst (Malerei, Bildhauer-, Bau- und Gartenkunst) machen Ansprüche auf Geschmack als Empfänglichkeit eines Gefühls der Lust für die bloßen Formen äußerer Anschauung, erstere in Ansehung des Gehörs, die andere des Gesichts. Dagegen enthält die discursive Vorstellungsart durch laute Sprache oder durch Schrift zwei Künste, darin der Geschmack sich zeigen kann: die Beredsamkeit und Dichtkunst."
2.280,"1. Sie betrachtet alle Vollkommenheit, Harmonie und Schönheit der Natur als zufällig und als eine Anordnung durch Weisheit, da doch viele derselben mit nothwendiger Einheit aus den wesentlichsten Regeln der Natur abfließen. Das, was der Absicht der Physikotheologie hiebei am schädlichsten ist, besteht darin, daß sie diese Zufälligkeit der Naturvollkommenheit als höchstnöthig zum Beweise eines weisen Urhebers ansieht, daher alle nothwendige Wohlgereimtheiten der Dinge der Welt bei dieser Voraussetzung gefährliche Einwürfe werden."
7.729,"Phlegma, als Schwäche, ist Hang zur Unthätigkeit, sich durch selbst starke Triebfedern zu Geschäften nicht bewegen zu lassen. Die Unempfindlichkeit dafür ist willkürliche Unnützlichkeit, und die Neigungen gehen nur auf Sättigung und Schlaf."
9.2433,"Die Tugenden sind entweder Tugenden des Verdienstes, oder blos der Schuldigkeit, oder der Unschuld. Zu den erstern gehört Großmuth (in Selbstüberwindung sowohl der Rache, als der Gemächlichkeit und der Habsucht), Wohlthätigkeit, Selbstbeherrschung; zu den zweiten Redlichkeit, Anständigkeit und Friedfertigkeit; zu den dritten endlich Ehrlichkeit, Sittsamkeit und Genügsamkeit."
5.538,"Einfalt (kunstlose Zweckmäßigkeit) ist gleichsam der Stil der Natur im Erhabenen und so auch der Sittlichkeit, welche eine zweite (übersinnliche) Natur ist, wovon wir nur die Gesetze kennen, ohne das übersinnliche Vermögen in uns selbst, was den Grund dieser Gesetzgebung enthält, durch Anschauen erreichen zu können."
3.974,"Das höchste Wesen bleibt also für den bloß speculativen Gebrauch der Vernunft ein bloßes, aber doch fehlerfreies Ideal, ein Begriff welcher die ganze menschliche Erkenntniß schließt und krönt, dessen objective Realität auf diesem Wege zwar nicht bewiesen, aber auch nicht widerlegt werden kann; und wenn es eine Moraltheologie geben sollte, die diesen Mangel ergänzen kann, so beweiset alsdann die vorher nur problematische transscendentale Theologie ihre Unentbehrlichkeit durch Bestimmung ihres Begriffs und unaufhörliche Censur einer durch Sinnlichkeit oft genug getäuschten und mit ihren eigenen Ideen nicht immer einstimmigen Vernunft. Die Nothwendigkeit, die Unendlichkeit, die Einheit, das Dasein außer der Welt (nicht als Weltseele), die Ewigkeit ohne Bedingungen der Zeit, die Allgegenwart ohne Bedingungen des Raumes, die Allmacht etc. sind lauter transscendentale Prädicate, und daher kann der gereinigte Begriff derselben, den eine jede Theologie so sehr nöthig hat, bloß aus der transscendentalen gezogen werden."
2.566,"Vierte Betrachtung. Von der Deutlichkeit und Gewißheit, deren die erste Gründe der natürlichen Gottesgelahrtheit und Moral fähig sind."
