ID,Absatz
,Determinismus
1.889,Corollarium generale.
9.1779,b . Der Alligator
6.1166,Der ethischen Methodenlehre
9.1836,g . Der Nautilus
9.2171,Kalmücken.
6.917,Der ethischen Elementarlehre
6.1051,Der ethischen Elementarlehre
9.2104,3. Kaschmir
9.1984,2. Antimonium
3.672,Antithesis.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
7.729,"Phlegma, als Schwäche, ist Hang zur Unthätigkeit, sich durch selbst starke Triebfedern zu Geschäften nicht bewegen zu lassen. Die Unempfindlichkeit dafür ist willkürliche Unnützlichkeit, und die Neigungen gehen nur auf Sättigung und Schlaf."
9.202,"Historisch unwissend sind gemeiniglich Vernunftlehrer. Das historische Wissen ohne bestimmte Grenzen ist Polyhistorie; diese bläht auf. Polymathie geht auf das Vernunfterkenntniß. Beides, das ohne bestimmte Grenzen ausgedehnte historische so wohl als rationale Wissen kann Pansophie heißen. Zum historischen Wissen gehört die Wissenschaft von den Werkzeugen der Gelehrsamkeit - die Philologie, die eine kritische Kenntniß der Bücher und Sprachen (Literatur und Linguistik) in sich faßt."
4.735,"Zuletzt gehört auch zu den Erfahrungsurtheilen die Erkenntniß der Übereinstimmung und Verknüpfung: nicht sowohl der Erscheinungen unter einander in der Erfahrung, als vielmehr ihr Verhältniß zur Erfahrung überhaupt, welches entweder ihre Übereinstimmung mit den formalen Bedingungen, die der Verstand erkennt, oder Zusammenhang mit dem Materialen der Sinne und der Wahrnehmung, oder beiden in einen Begriff vereinigt, folglich Möglichkeit, Wirklichkeit und Nothwendigkeit nach allgemeinen Naturgesetzen enthält; welches die physiologische Methodenlehre (Unterscheidung der Wahrheit und Hypothesen und die Grenzen der Zuverlässigkeit der letzteren) ausmachen würde."
9.232,"Dieses zweite, den logischen Zusammenhang eines Erkenntnisses mit Gründen und Folgen betreffende Kriterium der äußerlichen logischen Wahrheit oder der Rationabilität des Erkenntnisses ist positiv. Und hier gelten folgende Regeln:"
7.714,"Physiologisch betrachtet versteht man, wenn vom Temperament die Rede ist, die körperliche Constitution (den starken oder schwachen Bau) und Complexion (das Flüssige, durch die Lebenskraft gesetzmäßig Bewegliche im Körper, worin die Wärme oder Kälte in Bearbeitung dieser Säfte mit begriffen ist)."
4.1320,"Die geradlinichte Bewegung einer Materie in Ansehung eines empirischen Raumes ist zum Unterschiede von der entgegengesetzten Bewegung des Raums ein blos mögliches Prädicat. Eben dasselbe in gar keiner Relation auf eine Materie außer ihr, d. i. als absolute Bewegung gedacht, ist unmöglich."
4.217,"Verstand und Urtheilskraft haben demnach ihren Kanon des objectiv gültigen, mithin wahren Gebrauchs in der transscendentalen Logik und gehören also in ihren analytischen Theil. Allein Vernunft in ihren Versuchen, über Gegenstände a priori etwas auszumachen und das Erkenntniß über die Grenzen möglicher Erfahrung zu erweitern, ist ganz und gar dialektisch, und ihre Scheinbehauptungen schicken sich durchaus nicht in einen Kanon, dergleichen doch die Analytik enthalten soll."
3.266,"Verstand und Urtheilskraft haben demnach ihren Kanon des objectiv gültigen, mithin wahren Gebrauchs in der transscendentalen Logik und gehören also in ihren analytischen Theil. Allein Vernunft in ihren Versuchen, über Gegenstände a priori etwas auszumachen und das Erkenntniß über die Grenzen möglicher Erfahrung zu erweitern, ist ganz und gar dialektisch, und ihre Scheinbehauptungen schicken sich durchaus nicht in einen Kanon, dergleichen doch die Analytik enthalten soll."
5.140,"Die negative Wirkung auf Gefühl (der Unannehmlichkeit) ist, so wie aller Einfluß auf dasselbe und wie jedes Gefühl überhaupt, pathologisch. Als Wirkung aber vom Bewußtsein des moralischen Gesetzes, folglich in Beziehung auf eine intelligibele Ursache, nämlich das Subject der reinen praktischen Vernunft als obersten Gesetzgeberin, heißt dieses Gefühl eines vernünftigen von Neigungen afficirten Subjects zwar Demüthigung (intellectuelle Verachtung), aber in Beziehung auf den positiven Grund derselben, das Gesetz, zugleich Achtung für dasselbe, für welches Gesetz gar kein Gefühl stattfindet, sondern im Urtheile der Vernunft, indem es den Widerstand aus dem Wege schafft, die Wegräumung eines Hindernisses einer positiven Beförderung der Causalität gleichgeschätzt wird. Darum kann dieses Gefühl nun auch ein Gefühl der Achtung fürs moralische Gesetz, aus beiden Gründen zusammen aber ein moralisches Gefühl genannt werden."
9.209,"Eine zweckmäßige Genauigkeit in Formalien ist Gründlichkeit (schulgerechte, scholastische Vollkommenheit). Pedanterie ist also eine affectirte Gründlichkeit, so wie Galanterie, als eine bloße Buhlerin um den Beifall des Geschmacks, nichts als eine affectirte Popularität ist. Denn die Galanterie ist nur bemüht, sich dem Leser gewogen zu machen und ihn daher auch nicht einmal durch ein schweres Wort zu beleidigen."
,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
7.480,"In Ansehung der Sinnenvorstellung ist die Gemüthsstörung entweder Unsinnigkeit oder Wahnsinn. Als Verkehrtheit der Urtheilskraft und der Vernunft heißt sie Wahnwitz oder Aberwitz. Wer bei seinen Einbildungen die Vergleichung mit den Gesetzen der Erfahrung habituell unterläßt (wachend träumt), ist Phantast (Grillenfänger); ist er es mit Affect, so heißt er Enthusiast. Unerwartete Anwandlungen des Phantasten heißen Überfälle der Phantasterei ( raptus )."
3.804,"Nun ist zur Auflösung der ersten kosmologischen Aufgabe nichts weiter nöthig, als noch auszumachen: ob in dem Regressus zu der unbedingten Größe des Weltganzen (der Zeit und dem Raume nach) dieses niemals begränzte Aufsteigen ein Rückgang ins Unendliche heißen könne, oder nur ein unbestimmbar fortgesetzter Regressus ( in indefinitum ),"
