ID,Absatz
,Determinismus
9.731,"Anmerkung. Die Alten beschäftigten sich sehr mit der Kunst, dergleichen Sophismen zu machen. Daher sind viele von der Art aufgekommen; z. B. das Sophisma figurae dictionis , worin der medius terminus in verschiedener Bedeutung genommen wird - fallacia a dicto secundum quid ad dictum simpliciter, sophisma heterozeteseos, elenchi, ignorationis u. dgl. m."
9.206,"Der Belletrist oder bel esprit ist ein Humanist nach gleichzeitigen Mustern in lebenden Sprachen. Er ist also kein Gelehrter, denn nur todte Sprachen sind jetzt gelehrte Sprachen, sondern ein bloßer Dilettant der Geschmackskenntnisse nach der Mode, ohne der Alten zu bedürfen. Man könnte ihn den Affen des Humanisten nennen. Der Polyhistor muß als Philolog Linguist und Literator und als Humanist muß er Klassiker und ihr Ausleger sein. Als Philolog ist er cultivirt, als Humanist civilisirt."
8.599,"Die wegwerfende Art über das Formale in unserer Erkenntniß (welches doch das hauptsächlichste Geschäft der Philosophie ist) als eine Pedanterei unter dem Namen ""einer Formgebungsmanufactur"" abzusprechen bestätigt diesen Verdacht, nämlich einer geheimen Absicht: unter dem Aushängeschilde der Philosophie in der That alle Philosophie zu verbannen und als Sieger über sie vornehm zu thun ( pedibus subiecta vicissim Obteritur, nos exaequat victoria coelo. Lucret. ). - Wie wenig aber dieser Versuch unter Beleuchtung einer immer wachsamen Kritik gelingen könne, ist aus folgendem Beispiel zu ersehen."
9.128,"Fängt man die Epoche des Skepticismus mit dem Pyrrho an, so bekommt man eine ganze Schule von Skeptikern, die sich in ihrer Denkart und Methode des Philosophirens von den Dogmatikern wesentlich unterschieden, indem sie es zur ersten Maxime alles philosophirenden Vernunftgebrauchs machten: auch selbst bei dem größten Scheine der Wahrheit sein Urtheil zurückzuhalten, und das Princip aufstellten: die Philosophie bestehe im Gleichgewichte des Urtheilens und lehre uns den falschen Schein aufzudecken. Von diesen Skeptikern ist uns aber weiter nichts übrig geblieben als die beiden Werke des Sextus Empiricus, worin er alle Zweifel zusammengebracht hat."
2.761,SECTIO V. De methodo circa sensitiva et intellectualia in metaphysicis.
1.883,"Lex, secundum quam elastra comperta sunt comprimi in spatia viribus proportionalia, optime cum allegata nostra hypothesi conspirat."
5.19,"Doch da es in diesem philosophischen und kritischen Zeitalter schwerlich mit jenem Empirism ernst sein kann, und er vermuthlich nur zur Übung der Urtheilskraft, und um durch den Contrast die Nothwendigkeit rationaler Principien a priori in ein helleres Licht zu setzen, aufgestellt wird: so kann man es denen doch Dank wissen, die sich mit dieser sonst eben nicht belehrenden Arbeit bemühen wollen."
5.692,Der Kritik der ästhetischen Urtheilskraft
1.331,"Nec Deus intersit, nisi dignus vindice nodus Inciderit - - Horat. de arte poet."
