ID,Absatz
,Determinismus
9.1986,3. Wismuth
1.994,Additamenta problematis IX.
1.967,Idem aliter.
9.583,§. 49. b. Verstandesschlüsse per judicia Contrarie opposita.
1.1163,PROP. II. THEOREMA. Corpora constant monadibus.
9.1924,p . Medicinalische Bäume.
2.761,SECTIO V. De methodo circa sensitiva et intellectualia in metaphysicis.
4.513,Kritik des zweiten Paralogisms der transscendentalen Psychologie.
3.683,II. zur Antithesis.
3.703,II. zur Antithesis.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:"
9.26,"Als eine Wissenschaft, die auf alles Denken überhaupt geht, unangesehen der Objecte als der Materie des Denkens ist die Logik"
5.81,Praktische materiale Bestimmungsgründe im Princip der Sittlichkeit sind
4.583,"1. Die unbedingte Einheit des Verhältnisses d.i. sich selbst, nicht als inhärirend, sondern subsistirend 2. Die unbedingte Einheit der Qualität, d.i. nicht als reales Ganze, sondern einfach *) 3. Die unbedingte Einheit bei der Vielheit in der Zeit, d.i. nicht in verschiedenen Zeiten numerisch verschieden, sondern als Eines und eben dasselbe Subject 4. Die unbedingte Einheit des Daseins im Raume, d.i. nicht als das Bewußtsein mehrerer Dinge außer ihr, sondern nur des Daseins ihrer selbst, anderer Dinge aber blos als ihrer Vorstellungen"
3.735,Auf der Seite also des Dogmatismus in Bestimmung der kosmologischen Vernunftideen oder der Thesis zeigt sich
9.397,"Und etwas muß doch auch in jeder Hypothese apodiktisch gewiß sein, nämlich"
5.82,Subjective Objective äußere innere innere äußere Der Erziehung (nach Montaigne) Der bürgerlichen Verfassung (nach Mandeville) Des physischen Gefühls (nach Epikur) Des moralischen Gefühls (nach Hutcheson) Der Vollkommenheit (nach Wolff und den Stoikern) Des Willens Gottes (nach Crusius und andern theologischen Moralisten)
3.964,"Die natürliche Theologie schließt auf die Eigenschaften und das Dasein eines Welturhebers aus der Beschaffenheit, der Ordnung und Einheit, die in dieser Welt angetroffen wird, in welcher zweierlei Causalität und deren Regel angenommen werden muß, nämlich Natur und Freiheit. Daher steigt sie von dieser Welt zur höchsten Intelligenz auf, entweder als dem Princip aller natürlichen, oder aller sittlichen Ordnung und Vollkommenheit. Im ersteren Falle heißt sie Physikotheologie, im letzten Moraltheologie *) ."
6.136,"2. Die Beschaffenheit (Qualität) derselben; d. i. die Lauterkeit, die Vereinigung unter keinen andern als moralischen Triebfedern (gereinigt vom Blödsinn des Aberglaubens und dem Wahnsinn der Schwärmerei)."
7.853,"Man sieht, daß nur die letztere eine wahre bürgerliche Verfassung genannt zu werden verdiene; wobei man aber nicht auf eine der drei Staatsformen (Demokratie) hinzielt, sondern unter Republik nur einen Staat überhaupt versteht und das alte Brocardicon: Salus civitatis (nicht civium ) suprema lex esto nicht bedeutet: Das Sinnenwohl des gemeinen Wesens (die Glückseligkeit der Bürger) solle zum obersten Princip der Staatsverfassung dienen; denn dieses Wohlergehen, was ein jeder nach seiner Privatneigung, so oder anders, sich vormalt, taugt gar nicht zu irgend einem objectiven Princip, als welches Allgemeinheit fordert, sondern jene Sentenz sagt nichts weiter als: Das Verstandeswohl, die Erhaltung der einmal bestehenden Staatsverfassung, ist das höchste Gesetz einer bürgerlichen Gesellschaft überhaupt; denn diese besteht nur durch jene."
,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
9.10,"Ob nun aber wirklich der logische Satz der Identität und des Widerspruchs an sich und schlechthin keiner weitern Deduction fähig und bedürftig sei, das ist freilich eine andre Frage, die auf die vielbedeutende Frage führt: ob es überhaupt ein absolut erstes Princip aller Erkenntnis und Wissenschaft gebe, ob ein solches möglich sei und gefunden werden könne?"
3.804,"Nun ist zur Auflösung der ersten kosmologischen Aufgabe nichts weiter nöthig, als noch auszumachen: ob in dem Regressus zu der unbedingten Größe des Weltganzen (der Zeit und dem Raume nach) dieses niemals begränzte Aufsteigen ein Rückgang ins Unendliche heißen könne, oder nur ein unbestimmbar fortgesetzter Regressus ( in indefinitum ),"
9.91,Das Feld der Philosophie in dieser weltbürgerlichen Bedeutung läßt sich auf folgende Fragen bringen:
5.487,"Weil alles, was der bloß reflectirenden Urtheilskraft ohne Interesse gefallen soll, in seiner Vorstellung subjective und als solche allgemein-gültige Zweckmäßigkeit bei sich führen muß, gleichwohl aber hier keine Zweckmäßigkeit der Form des Gegenstandes (wie beim Schönen) der Beurtheilung zum Grunde liegt, so fragt sich: welches ist diese subjective Zweckmäßigkeit? und wodurch wird sie als Norm vorgeschrieben, um in der bloßen Größenschätzung und zwar der, welche gar bis zur Unangemessenheit unseres Vermögens der Einbildungskraft in Darstellung des Begriffs von einer Größe getrieben worden, einen Grund zum allgemein gültigen Wohlgefallen abzugeben?"
4.1066,Wie ist ein kategorischer Imperativ möglich?
9.192,"7) Bei Bestimmung seines besondern Horizonts selbst prüfe man sorgfältig: zu welchem Theile des Erkenntnisses man die größte Fähigkeit und Wohlgefallen habe, was in Ansehung gewisser Pflichten mehr oder weniger nöthig sei, was mit den nothwendigen Pflichten nicht zusammen bestehen könne und endlich"
