ID,Absatz
,Determinismus
1.1156,PRAENOTANDA.
9.2194,Monomotapa.
3.672,Antithesis.
3.713,Antithesis.
3.693,Antithesis.
3.651,Antithesis.
1.1026,DILUCIDATIO.
1.1038,DILUCIDATIO.
1.958,DEFINITIO.
9.2127,Ceylon
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
5.154,"Wenn Schwärmerei in der allergemeinsten Bedeutung eine nach Grundsätzen unternommene Überschreitung der Grenzen der menschlichen Vernunft ist, so ist moralische Schwärmerei diese Überschreitung der Grenzen, die die praktische reine Vernunft der Menschheit setzt, dadurch sie verbietet den subjectiven Bestimmungsgrund pflichtmäßiger Handlungen, d. i. die moralische Triebfeder derselben, irgend worin anders als im Gesetze selbst und die Gesinnung, die dadurch in die Maximen gebracht wird, irgend anderwärts als in der Achtung für dies Gesetz zu setzen, mithin den alle Arroganz sowohl als eitele Philautie niederschlagenden Gedanken von Pflicht zum obersten Lebensprincip aller Moralität im Menschen zu machen gebietet."
3.1174,"Praktische Gesetze, so fern sie zugleich subjective Gründe der Handlungen, d. i. subjective Grundsätze, werden, heißen Maximen. Die Beurtheilung der Sittlichkeit ihrer Reinigkeit und Folgen nach geschieht nach Ideen, die Befolgung ihrer Gesetze nach Maximen."
9.746,"Wie die Elementarlehre in der Logik die Elemente und Bedingungen der Vollkommenheit einer Erkenntniß zu ihrem Inhalt hat: so hat dagegen die allgemeine Methodenlehre, als der andre Theil der Logik, von der Form einer Wissenschaft überhaupt, oder von der Art und Weise zu handeln, das Mannigfaltige der Erkenntniß zu einer Wissenschaft zu verknüpfen."
5.637,"Zur Beurtheilung schöner Gegenstände als solcher wird Geschmack, zur schönen Kunst selbst aber, d. i. der Hervorbringung solcher Gegenstände, wird Genie erfordert."
6.295,"Unter dem Willen kann die Willkür, aber auch der bloße Wunsch enthalten sein, sofern die Vernunft das Begehrungsvermögen überhaupt bestimmen kann. Die Willkür, die durch reine Vernunft bestimmt werden kann, heißt die freie Willkür. Die, welche nur durch Neigung (sinnlichen Antrieb, stimulus ) bestimmbar ist, würde thierische Willkür ( arbitrium brutum ) sein. Die menschliche Willkür ist dagegen eine solche, welche durch Antriebe zwar afficirt, aber nicht bestimmt wird, und ist also für sich (ohne erworbene Fertigkeit der Vernunft) nicht rein, kann aber doch zu Handlungen aus reinem Willen bestimmt werden. Die Freiheit der Willkür ist jene Unabhängigkeit ihrer Bestimmung durch sinnliche Antriebe; dies ist der negative Begriff derselben. Der positive ist: das Vermögen der reinen Vernunft für sich selbst praktisch zu sein. Dieses ist aber nicht anders möglich, als durch die Unterwerfung der Maxime einer jeden Handlung unter die Bedingung der Tauglichkeit der erstern zum allgemeinen Gesetze. Denn als reine Vernunft, auf die Willkür unangesehen dieser ihres Objects angewandt, kann sie als Vermögen der Principien (und hier praktischer Principien, mithin als gesetzgebendes Vermögen), da ihr die Materie des Gesetzes abgeht, nichts mehr als die Form der Tauglichkeit der Maxime der Willkür zum allgemeinen Gesetze selbst zum obersten Gesetze und Bestimmungsgrunde der Willkür machen und, da die Maximen des Menschen aus subjectiven Ursachen mit jenen objectiven nicht von selbst übereinstimmen, dieses Gesetz nur schlechthin als Imperativ des Verbots oder Gebots vorschreiben."
5.621,"Schöne Kunst dagegen ist eine Vorstellungsart, die für sich selbst zweckmäßig ist und, obgleich ohne Zweck, dennoch die Cultur der Gemüthskräfte zur geselligen Mittheilung befördert."
6.308,"Man nennt die bloße Übereinstimmung oder Nichtübereinstimmung einer Handlung mit dem Gesetze ohne Rücksicht auf die Triebfeder derselben die Legalität (Gesetzmäßigkeit), diejenige aber, in welcher die Idee der Pflicht aus dem Gesetze zugleich die Triebfeder der Handlung ist, die Moralität (Sittlichkeit) derselben."
7.590,Der Geschmack enthält eine Tendenz zur äußeren Beförderung der Moralität.
2.280,"1. Sie betrachtet alle Vollkommenheit, Harmonie und Schönheit der Natur als zufällig und als eine Anordnung durch Weisheit, da doch viele derselben mit nothwendiger Einheit aus den wesentlichsten Regeln der Natur abfließen. Das, was der Absicht der Physikotheologie hiebei am schädlichsten ist, besteht darin, daß sie diese Zufälligkeit der Naturvollkommenheit als höchstnöthig zum Beweise eines weisen Urhebers ansieht, daher alle nothwendige Wohlgereimtheiten der Dinge der Welt bei dieser Voraussetzung gefährliche Einwürfe werden."
5.661,"Zur schönen Kunst würden also Einbildungskraft, Verstand, Geist und Geschmack erforderlich sein *) ."
