ID,Absatz
,Determinismus
9.2218,Abyssinien.
9.568,I. Verstandesschlüsse.
3.713,Antithesis.
3.672,Antithesis.
3.651,Antithesis.
3.693,Antithesis.
9.2169,Mongolische Tatarn.
7.759,Eintheilung der Physiognomik.
7.204,1. Von der Hypochondrie.
9.2171,Kalmücken.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
7.736,"Frohsinn und Leichtsinn, Tiefsinn und Wahnsinn, Hochsinn und Starrsinn, endlich Kaltsinn und Schwachsinn sind nur als Wirkungen des Temperaments in Beziehung auf ihre Ursache unterschieden. *)"
9.217,"2) Logisch wichtig ist jedes Erkenntniß zu nennen, das die logische Vollkommenheit der Form nach befördert, z. B. jeder mathematische Satz, jedes deutlich eingesehene Gesetz der Natur, jede richtige philosophische Erklärung. Die praktische Wichtigkeit kann man nicht voraussehen, sondern man muß sie abwarten."
7.105,"Glaubenssätze, welche zugleich als göttliche Gebote gedacht werden sollen, sind nun entweder blos statutarisch, mithin für uns zufällig und Offenbarungslehren, oder moralisch, mithin mit dem Bewußtsein ihrer Nothwendigkeit verbunden und a priori erkennbar, d. i. Vernunftlehren des Glaubens. Der Inbegriff der ersteren Lehren macht den Kirchen-, der anderen aber den reinen Religionsglauben aus. *)"
7.433,"§ 36. Vorhersagen, Wahrsagen und Weissagen sind darin unterschieden: daß das erstere ein Vorhersehen nach Erfahrungsgesetzen (mithin natürlich), das zweite den bekannten Erfahrungsgesetzen entgegen (widernatürlich), das dritte aber Eingebung einer von der Natur unterschiedenen Ursache (übernatürlich) ist, oder dafür gehalten wird, deren Fähigkeit, weil sie von dem Einflusse eines Gottes herzurühren scheint, auch das eigentliche Divinationsvermögen genannt wird (denn uneigentlich wird jede scharfsinnige Errathung des Künftigen auch Divination genannt)."
6.515,"Geschlechtsgemeinschaft ( commercium sexuale ) ist der wechselseitige Gebrauch, den ein Mensch von eines anderen Geschlechtsorganen und Vermögen macht ( usus membrorum et facultatum sexualium alterius ), und entweder ein natürlicher (wodurch seines Gleichen erzeugt werden kann), oder unnatürlicher Gebrauch und dieser entweder an einer Person ebendesselben Geschlechts, oder einem Thiere von einer anderen als der Menschen-gattung; Welche Übertretungen der Gesetze, unnatürliche Laster ( crimina carnis contra naturam ), die auch unnennbar heißen, als Läsion der Menschheit in unserer eigenen Person durch gar keine Einschränkungen und Ausnahmen wider die gänzliche Verwerfung gerettet werden können."
7.464,"Ein richtiger Verstand ist der gesunde Verstand, so fern er Angemessenheit der Begriffe zum Zwecke ihres Gebrauchs enthält. So wie nun Zulänglichkeit ( sufficientia ) und Abgemessenheit ( praecisio ), vereinigt, die Angemessenheit, d. i. die Beschaffenheit des Begriffs ausmacht, nicht mehr, auch nicht weniger, als der Gegenstand erfordert, zu enthalten ( conceptus rem adaequans ): so ist ein richtiger Verstand unter den intellectuellen Vermögen das erste und Vornehmste: weil er mit den wenigsten Mitteln seinem Zweck ein Gnüge thut."
7.760,"Von dem Charakteristischen 1. in der Gesichtsbildung, 2. in den Gesichtszügen, 3. in der habituellen Gesichtsgeberdung (den Mienen)."
5.702,2) Antithesis. Das Geschmacksurtheil gründet sich auf Begriffen; denn sonst ließe sich ungeachtet der Verschiedenheit desselben darüber auch nicht einmal streiten (auf die nothwendige Einstimmung anderer mit diesem Urtheile Anspruch machen).
7.451,"Die prognostischen Zeichen interessiren unter allen am meisten: weil in der Reihe der Veränderungen die Gegenwart nur ein Augenblick ist, und der Bestimmungsgrund des Begehrungsvermögens das Gegenwärtige nur um der künftigen Folgen willen ( ob futura consequentia ) beherzigt und auf diese vorzüglich aufmerksam macht. - In Ansehung künftiger Weltbegebenheiten findet sich die sicherste Prognose in der Astronomie; sie ist aber kindisch und phantastisch, wenn die Sterngestalten, Verbindungen und veränderte Planetenstellungen als allegorische Schriftzeichen am Himmel von bevorstehenden Schicksalen des Menschen (in der Astrologia iudiciaria ) vorgestellt werden. Die natürlichen prognostischen Zeichen einer bevorstehenden Krankheit oder Genesung oder (wie die facies Hippocratica ) des nahen Todes sind Erscheinungen, die, auf lange und öftere Erfahrung gegründet, auch nach der Einsicht des Zusammenhanges derselben als Ursachen und Wirkungen dem Arzt zur Leitung in seiner Cur dienen; dergleichen die kritischen Tage sind. Aber die von den Römern in staatskluger Absicht veranstalteten Augurien und Haruspicinen waren ein durch den Staat geheiligter Aberglaube, um in gefährlichen Zeitläuften das Volk zu lenken."
7.523,"Der Witz ist entweder der vergleichende ( ingenium comparans ), oder der vernünftelnde Witz ( ingenium argutans ). Der Witz paart (assimilirt) heterogene Vorstellungen, die oft nach dem Gesetze der Einbildungskraft (der Association) weit auseinander liegen, und ist ein eigenthümliches Verähnlichungsvermögen, welches dem Verstande (als dem Vermögen der Erkenntniß des Allgemeinen), so fern er die Gegenstände unter Gattungen bringt, angehört. Er bedarf nachher der Urtheilskraft, um das Besondere unter dem Allgemeinen zu bestimmen und das Denkungsvermögen zum erkennen anzuwenden. - Witzig (im Reden oder Schreiben) zu sein, kann durch den Mechanism der Schule und ihren Zwang nicht erlernt werden, sondern gehört, als ein besonderes Talent, zur Liberalität der Sinnesart in der wechselseitigen Gedankenmittheilung ( veniam damus petimusque vicissim ); einer schwer zu erklärenden Eigenschaft des Verstandes überhaupt - gleichsam seiner Gefälligkeit - , die mit der Strenge der Urtheilskraft ( iudicium discretivum ) in der Anwendung des Allgemeinen auf das Besondere (der Gattungsbegriffe auf die der Species) contrastirt, als welche das Assimilationsvermögen sowohl, als auch den Hang dazu einschränkt."
,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
7.115,"Die Idee von einer moralischen, aber nur durch übernatürlichen Einfluß möglichen Metamorphose des Menschen mag wohl schon längst in den Köpfen der Gläubigen rumort haben: sie ist aber in neueren Zeiten allererst recht zur Sprache gekommen und hat den Spener-Franckischen und den Mährisch-Zinzendorfschen Sectenunterschied (den Pietism und Moravianism) in der Bekehrungslehre hervorgebracht."
9.628,"Und hierauf gründet sich die Eintheilung aller Vernunftschlüsse in kategorische, hypothetische und disjunctive."
3.801,I. Auflösung der kosmologischen Idee von der Totalität der Zusammensetzung der Erscheinungen zu einem Weltganzen.
3.745,Dies ist der Gegensatz des Epikureisms *) gegen den Platonism.
3.1103,Von der Unmöglichkeit einer sceptischen Befriedigung der mit sich selbst veruneinigten reinen Vernunft.
8.349,"Drittens die Gerechtigkeit desselben als Richters in Vergleichung mit dem Übelstande, den das Mißverhältniß zwischen der Straflosigkeit der Lasterhaften und ihren Verbrechen in der Welt zu zeigen scheint *) ."
8.497,"Wenn aber nach aufgeklärten Begriffen der Staatsklugheit in beständiger Vergrößerung der Macht, durch welche Mittel es auch sei, die wahre Ehre des Staats gesetzt wird, so fällt freilich jenes Urtheil als schulmäßig und pedantisch in die Augen."
3.855,IV. Auflösung der kosmologischen Idee von der Totalität der Abhängigkeit der Erscheinungen ihrem Dasein nach überhaupt.
1.436,"Denjenigen Zustand, da die Kraft des Körpers zwar noch nicht lebendig ist, aber doch dazu fortschreitet, nenne ich die Lebendigwerdung oder Vivification derselben."
9.131,"Endlich verschwand die Cultur auch bei den Römern und es entstand Barbarei, bis die Araber im 6ten und 7ten Jahrhundert anfingen, sich auf die Wissenschaften zu legen und den Aristoteles wieder in Flor zu bringen. Nun kamen also die Wissenschaften im Occident wieder empor und insbesondere das Ansehen des Aristoteles, dem man aber auf eine sklavische Weise folgte. Im 11ten und 12ten Jahrhundert traten die Scholastiker auf; sie erläuterten den Aristoteles und trieben seine Subtilitäten ins Unendliche. Man beschäftigte sich mit nichts als lauter Abstractionen. Diese scholastische Methode des After-Philosophirens wurde zur Zeit der Reformation verdrängt, und nun gab es Eklektiker in der Philosophie, d. i. solche Selbstdenker, die sich zu keiner Schule bekannten, sondern die Wahrheit suchten und annahmen, wo sie sie fanden."
,freier Wille
2.577,1765
2.789,1775
2.675,1768
1.1048,1756
1.577,1754
2.71,1759
8.578,1796
2.592,1766
2.153,1763
8.691,1764
,"Grund für das Handeln, Willensbegrenzung"
5.345,"§ 2. Das Wohlgefallen, welches das Geschmacksurtheil bestimmt, ist ohne alles Interesse."
7.674,"C. Von der Neigung zum Vermögen, Einfluß überhaupt auf andere Menschen zu haben."
7.305,Rechtfertigung der Sinnlichkeit wider die Dritte Anklage.
6.912,Erste Eintheilung der Ethik nach dem Unterschiede der Subjecte und ihrer Gesetze.
5.400,§ 13. Das reine Geschmacksurtheil ist von Reiz und Rührung unabhängig.
5.353,§ 4. Das Wohlgefallen am Guten ist mit Interesse verbunden.
6.835,"1. Eigene Vollkommenheit als Zweck, der zugleich Pflicht ist."
9.312,Der zweite: sich mit Bewußtsein etwas vorstellen oder wahrnehmen ( percipere );
5.394,§ 11. Das Geschmacksurtheil hat nichts als die Form der Zweckmäßigkeit eines Gegenstandes (oder der Vorstellungsart desselben) zum Grunde.
5.436,"Schönheit ist Form der Zweckmäßigkeit eines Gegenstandes, sofern sie ohne Vorstellung eines Zwecks an ihm wahrgenommen wird. *)"
,Gibt es einen Grund für das Handeln?
8.293,Was soll man hier an Herrn Eberhard bezweifeln: die Einsicht oder die Aufrichtigkeit?
7.242,"Allen Versuchen aber, zu einer solchen Wissenschaft mit Gründlichkeit zu gelangen, stehen erhebliche, der menschlichen Natur selber anhängende Schwierigkeiten entgegen."
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?"
6.381,Das angeborne Recht ist nur ein einziges.
8.54,Beantwortung der Frage: Was ist Aufklärung?
9.1913,"Es giebt auch ein Holz, welches so hart ist, daß man Anker und Schwerter daraus macht."
7.181,10. in welcher Ordnung allein kann der Fortschritt zum Besseren erwartet werden?
8.187,Was heißt: Sich im Denken orientiren?
9.271,Ein jedes Merkmal läßt sich von zwei Seiten betrachten:
6.562,Der Büchernachdruck ist von rechtswegen verboten.
,Linguistik
9.2127,Ceylon
7.682,b. Herrschsucht.
9.2092,Assam.
1.44,XIII.
6.385,Eintheilung der Metaphysik der Sitten überhaupt.
9.2192,Eiland Madagaskar.
7.628,Von der Furchtsamkeit und der Tapferkeit.
7.298,Apologie für die Sinnlichkeit.
9.1776,Amphibien.
3.325,1. Axiomen der Anschauung.
,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
4.114,IV. Von der Eintheilung der transscendentalen Logik in die Transscendentale Analytik und Dialektik.
3.150,IV. Von der Eintheilung der transscendentalen Logik in die Transscendentale Analytik und Dialektik.
3.113,§ 8. Allgemeine Anmerkungen zur Transscendentalen Ästhetik.
